Hawaii Ocean Time-series : 17-Dec-2023 00:04:12
https://hahana.soest.hawaii.edu/hot/hot-dogs/cextraction.html

crn, julian, press, fluor, 
#, day, dbar, ug/l, 
  1,   30,   50.0,  0.2874,
  2,   62,   50.0,  0.1841,
  3,   99,   50.0,  0.2807,
  4,  148,   50.0,  0.1433,
  5,  177,   50.0, -9.0000,
  6,  229,   50.0,  0.1414,
  7,  266,   50.0, -9.0000,
  8,  301,   50.0,  0.1770,
  9,  327,   50.0, -9.0000,
 10,  356,   50.0,  0.1453,
 11,  382,   50.0,  0.1842,
 12,  422,   50.0,  0.1278,
 13,  461,   50.0,  0.0914,
 14,  502,   50.0,  0.1098,
 15,  534,   50.0,  0.1334,
 16,  559,   50.0,  0.0614,
 17,  585,   50.0,  0.0861,
 18,  620,   50.0,  0.0717,
 19,  662,   50.0,  0.0808,
 20,  714,   50.0, -9.0000,
 22,  808,   50.0,  0.1278,
 23,  855,   50.0,  0.0977,
 24,  887,   50.0,  0.0680,
 25,  921,   50.0, -9.0000,
 26,  949,   50.0, -9.0000,
 27,  977,   50.0,  0.1588,
 28, 1012,   50.0,  0.1398,
 29, 1043,   50.0,  0.1507,
 30, 1082,   50.0,  0.1210,
 31, 1115,   50.0,  0.2006,
 32, 1162,   50.0,  0.2520,
 33, 1191,   50.0,  0.2569,
 34, 1232,   50.0,  0.2708,
 35, 1252,   50.0,  0.1596,
 36, 1294,   50.0,  0.0959,
 37, 1347,   50.0, -9.0000,
 38, 1373,   50.0,  0.1333,
 39, 1404,   50.0,  0.1415,
 40, 1453,   50.0,  0.1737,
 41, 1480,   50.0,  0.1875,
 42, 1515,   50.0, -9.0000,
 43, 1537,   50.0, -9.0000,
 44, 1572,   50.0,  0.2515,
 45, 1600,   50.0,  0.1776,
 46, 1657,   50.0,  0.1091,
 47, 1693,   50.0,  0.1606,
 49, 1810,   50.0,  0.1229,
 50, 1855,   50.0,  0.1451,
 51, 1937,   50.0,  0.2591,
 52, 1965,   50.0,  0.3491,
 53, 1985,   50.0,  0.1399,
 54, 2087,   50.0,  0.1515,
 55, 2123,   50.0,  0.2570,
 56, 2159,   50.0,  0.1474,
 57, 2183,   50.0,  0.1335,
 58, 2205,   50.0,  0.1336,
 59, 2240,   50.0,  0.2115,
 60, 2319,   50.0,  0.1573,
 61, 2345,   50.0,  0.1534,
 62, 2378,   50.0,  0.1469,
 63, 2409,   50.0,  0.1690,
 64, 2493,   50.0,  0.1358,
 65, 2523,   50.0,  0.1160,
 66, 2551,   50.0,  0.1373,
 67, 2582,   50.0,  0.1274,
 68, 2603,   50.0,  0.1572,
 69, 2664,   50.0,  0.1081,
 70, 2734,   50.0,  0.0945,
 71, 2762,   50.0,  0.1000,
 72, 2790,   50.0,  0.1004,
 73, 2825,   50.0,  0.0942,
 74, 2856,   50.0,  0.2064,
 75, 2881,   50.0,  0.2037,
 76, 2923,   50.0,  0.2024,
 77, 2951,   50.0,  0.1734,
 78, 2993,   50.0,  0.2437,
 79, 3021,   50.0,  0.2007,
 80, 3062,   50.0,  0.1713,
 81, 3084,   50.0,  0.1809,
 82, 3112,   50.0, -9.0000,
 83, 3140,   50.0,  0.1513,
 84, 3168,   50.0,  0.1279,
 85, 3203,   50.0,  0.1447,
 86, 3227,   50.0,  0.1314,
 87, 3281,   50.0,  0.0963,
 88, 3352,   50.0,  0.2756,
 89, 3389,   50.0,  0.2366,
 90, 3428,   50.0,  0.1648,
 91, 3455,   50.0,  0.1728,
 92, 3483,   50.0,  0.2130,
 93, 3511,   50.0,  0.1553,
 94, 3546,   50.0,  0.1550,
 95, 3574,   50.0,  0.1625,
 96, 3600,   50.0,  0.3127,
 97, 3649,   50.0,  0.0962,
 98, 3670,   50.0,  0.1383,
 99, 3693,   50.0,  0.2034,
100, 3721,   50.0,  0.2452,
101, 3756,   50.0,  0.2525,
102, 3792,   50.0,  0.2655,
103, 3819,   50.0,  0.2085,
