Hawaii Ocean Time-series : 14-Feb-2024 03:44:43
https://hahana.soest.hawaii.edu/hot/hot-dogs/cextraction.html

crn, julian, press, fluor, 
#, day, dbar, ug/l, 
131, 4770,    0.0,  0.2057,
131, 4770,    2.0,  0.2176,
131, 4770,    4.0,  0.2244,
131, 4770,    6.0,  0.2052,
131, 4770,    8.0,  0.2109,
131, 4770,   10.0,  0.2154,
131, 4770,   12.0,  0.2168,
131, 4770,   14.0,  0.2324,
131, 4770,   16.0,  0.2370,
131, 4770,   18.0,  0.2527,
131, 4770,   20.0,  0.2660,
131, 4770,   22.0,  0.2409,
131, 4770,   24.0,  0.2469,
131, 4770,   26.0,  0.2708,
131, 4770,   28.0,  0.2683,
131, 4770,   30.0,  0.2769,
131, 4770,   32.0,  0.2581,
131, 4770,   34.0,  0.2602,
131, 4770,   36.0,  0.2713,
131, 4770,   38.0,  0.2737,
131, 4770,   40.0,  0.2969,
131, 4770,   42.0,  0.3103,
131, 4770,   44.0,  0.3056,
131, 4770,   46.0,  0.3142,
131, 4770,   48.0,  0.3255,
131, 4770,   50.0,  0.3265,
131, 4770,   52.0,  0.3448,
131, 4770,   54.0,  0.3395,
131, 4770,   56.0,  0.3743,
131, 4770,   58.0,  0.3765,
131, 4770,   60.0,  0.3857,
131, 4770,   62.0,  0.3944,
131, 4770,   64.0,  0.3939,
131, 4770,   66.0,  0.4230,
131, 4770,   68.0,  0.4598,
131, 4770,   70.0,  0.4575,
131, 4770,   72.0,  0.4677,
131, 4770,   74.0,  0.4826,
131, 4770,   76.0,  0.5279,
131, 4770,   78.0,  0.5333,
131, 4770,   80.0,  0.5592,
131, 4770,   82.0,  0.5569,
131, 4770,   84.0,  0.5788,
131, 4770,   86.0,  0.5772,
131, 4770,   88.0,  0.5795,
131, 4770,   90.0,  0.5760,
131, 4770,   92.0,  0.5979,
131, 4770,   94.0,  0.5899,
131, 4770,   96.0,  0.5987,
131, 4770,   98.0,  0.5970,
131, 4770,  100.0,  0.5909,
131, 4770,  102.0,  0.5790,
131, 4770,  104.0,  0.5945,
131, 4770,  106.0,  0.5622,
131, 4770,  108.0,  0.5596,
131, 4770,  110.0,  0.5713,
131, 4770,  112.0,  0.5385,
131, 4770,  114.0,  0.5388,
131, 4770,  116.0,  0.5093,
131, 4770,  118.0,  0.4929,
131, 4770,  120.0,  0.4857,
131, 4770,  122.0,  0.4607,
131, 4770,  124.0,  0.4494,
131, 4770,  126.0,  0.4318,
131, 4770,  128.0,  0.4099,
131, 4770,  130.0,  0.3958,
131, 4770,  132.0,  0.3731,
131, 4770,  134.0,  0.3612,
131, 4770,  136.0,  0.3439,
131, 4770,  138.0,  0.3200,
131, 4770,  140.0,  0.3002,
131, 4770,  142.0,  0.2844,
131, 4770,  144.0,  0.2723,
131, 4770,  146.0,  0.2581,
131, 4770,  148.0,  0.2438,
131, 4770,  150.0,  0.2291,
131, 4770,  152.0,  0.2220,
131, 4770,  154.0,  0.2073,
131, 4770,  156.0,  0.1974,
131, 4770,  158.0,  0.1843,
131, 4770,  160.0,  0.1762,
131, 4770,  162.0,  0.1629,
131, 4770,  164.0,  0.1530,
131, 4770,  166.0,  0.1454,
131, 4770,  168.0,  0.1430,
131, 4770,  170.0,  0.1349,
131, 4770,  172.0,  0.1300,
131, 4770,  174.0,  0.1249,
131, 4770,  176.0,  0.1174,
131, 4770,  178.0,  0.1104,
131, 4770,  180.0,  0.1067,
131, 4770,  182.0,  0.1011,
131, 4770,  184.0,  0.0971,
131, 4770,  186.0,  0.0929,
131, 4770,  188.0,  0.0890,
131, 4770,  190.0,  0.0851,
131, 4770,  192.0,  0.0804,
131, 4770,  194.0,  0.0768,
131, 4770,  196.0,  0.0734,
131, 4770,  198.0,  0.0697,
131, 4770,  200.0,  0.0671,
132, 4795,    0.0,  0.1106,
132, 4795,    2.0,  0.1117,
132, 4795,    4.0,  0.1143,
132, 4795,    6.0,  0.1185,
132, 4795,    8.0,  0.1194,
132, 4795,   10.0,  0.1267,
132, 4795,   12.0,  0.1387,
132, 4795,   14.0,  0.1333,
132, 4795,   16.0,  0.1325,
132, 4795,   18.0,  0.1349,
132, 4795,   20.0,  0.1404,
132, 4795,   22.0,  0.1464,
132, 4795,   24.0,  0.1552,
132, 4795,   26.0,  0.1610,
132, 4795,   28.0,  0.1666,
132, 4795,   30.0,  0.1730,
132, 4795,   32.0,  0.1925,
132, 4795,   34.0,  0.1915,
132, 4795,   36.0,  0.1959,
132, 4795,   38.0,  0.2018,
132, 4795,   40.0,  0.2133,
132, 4795,   42.0,  0.2191,
132, 4795,   44.0,  0.2255,
132, 4795,   46.0,  0.2362,
132, 4795,   48.0,  0.2502,
132, 4795,   50.0,  0.2654,
132, 4795,   52.0,  0.2758,
132, 4795,   54.0,  0.2931,
132, 4795,   56.0,  0.3114,
132, 4795,   58.0,  0.3321,
132, 4795,   60.0,  0.3427,
132, 4795,   62.0,  0.3538,
132, 4795,   64.0,  0.3674,
132, 4795,   66.0,  0.3837,
132, 4795,   68.0,  0.3965,
132, 4795,   70.0,  0.4117,
132, 4795,   72.0,  0.4356,
132, 4795,   74.0,  0.4506,
132, 4795,   76.0,  0.4667,
132, 4795,   78.0,  0.4875,
132, 4795,   80.0,  0.5110,
132, 4795,   82.0,  0.5359,
132, 4795,   84.0,  0.5763,
132, 4795,   86.0,  0.5925,
132, 4795,   88.0,  0.6027,
132, 4795,   90.0,  0.6212,
132, 4795,   92.0,  0.6367,
132, 4795,   94.0,  0.6338,
132, 4795,   96.0,  0.6343,
132, 4795,   98.0,  0.6470,
132, 4795,  100.0,  0.6541,
132, 4795,  102.0,  0.6451,
132, 4795,  104.0,  0.6331,
132, 4795,  106.0,  0.6106,
132, 4795,  108.0,  0.5908,
132, 4795,  110.0,  0.5659,
132, 4795,  112.0,  0.5385,
132, 4795,  114.0,  0.5156,
132, 4795,  116.0,  0.4944,
132, 4795,  118.0,  0.4734,
132, 4795,  120.0,  0.4540,
132, 4795,  122.0,  0.4350,
132, 4795,  124.0,  0.4128,
132, 4795,  126.0,  0.3867,
132, 4795,  128.0,  0.3586,
132, 4795,  130.0,  0.3380,
132, 4795,  132.0,  0.3173,
132, 4795,  134.0,  0.2996,
132, 4795,  136.0,  0.2827,
132, 4795,  138.0,  0.2685,
132, 4795,  140.0,  0.2543,
132, 4795,  142.0,  0.2431,
132, 4795,  144.0,  0.2304,
132, 4795,  146.0,  0.2155,
132, 4795,  148.0,  0.2000,
132, 4795,  150.0,  0.1859,
132, 4795,  152.0,  0.1776,
132, 4795,  154.0,  0.1694,
132, 4795,  156.0,  0.1598,
132, 4795,  158.0,  0.1521,
132, 4795,  160.0,  0.1454,
132, 4795,  162.0,  0.1394,
132, 4795,  164.0,  0.1303,
132, 4795,  166.0,  0.1224,
132, 4795,  168.0,  0.1166,
132, 4795,  170.0,  0.1117,
132, 4795,  172.0,  0.1077,
132, 4795,  174.0,  0.1044,
132, 4795,  176.0,  0.1006,
132, 4795,  178.0,  0.0956,
132, 4795,  180.0,  0.0918,
132, 4795,  182.0,  0.0876,
132, 4795,  184.0,  0.0859,
132, 4795,  186.0,  0.0845,
132, 4795,  188.0,  0.0840,
132, 4795,  190.0,  0.0815,
132, 4795,  192.0,  0.0784,
132, 4795,  194.0,  0.0792,
132, 4795,  196.0,  0.0774,
132, 4795,  198.0,  0.0761,
132, 4795,  200.0,  0.0753,
133, 4822,    0.0, -9.0000,
133, 4822,    2.0,  0.3351,
133, 4822,    4.0,  0.3430,
133, 4822,    6.0,  0.3394,
