Hawaii Ocean Time-series : 18-Mar-2024 23:31:21
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
1560201423, 022604, 070154,    4.1,  90.0,
1560201421, 022604, 070038,   23.9,  98.0,
1560201419, 022604, 065919,   44.3, 128.0,
1560201416, 022604, 065713,   74.2, 195.0,
1560201414, 022604, 065609,   84.6, 222.0,
1560201413, 022604, 065504,   99.7, 273.0,
1560201411, 022604, 065343,  114.1, 317.0,
1560201410, 022604, 065238,  123.6, 304.0,
1560201408, 022604, 065019,  134.7, 319.0,
1560201406, 022604, 064504,  151.5, 242.0,
1560201404, 022604, 064333,  178.1, 101.0,
1570201323, 032104, 051634,    4.6,  76.0,
1570201319, 032104, 051305,   24.5, 119.0,
1570201317, 032104, 051110,   44.5, 115.0,
1570201316, 032104, 050914,   58.3, 116.0,
1570201315, 032104, 050740,   74.5, 126.0,
1570201314, 032104, 050620,   85.1, 154.0,
1570201313, 032104, 050439,   98.1, 180.0,
1570201312, 032104, 050315,  115.4, 237.0,
1570201310, 032104, 050134,  123.6, 279.0,
1570201309, 032104, 050015,  133.6, 251.0,
1570201303, 032104, 045404,  176.0, 105.0,
1580201421, 042204, 064313,    4.4,  87.0,
1580201419, 042204, 064045,   24.1,  91.0,
1580201417, 042204, 063844,   44.4,  90.0,
1580201416, 042204, 063703,   59.2,  97.0,
1580201414, 042204, 063504,   74.1, 148.0,
1580201413, 042204, 063325,   84.6, 198.0,
1580201411, 042204, 063134,   99.4, 283.0,
1580201410, 042204, 062944,  114.9, 383.0,
1580201408, 042204, 062744,  124.5, 356.0,
1580201407, 042204, 062614,  133.7, 359.0,
1580201405, 042204, 062404,  148.5, 255.0,
1580201403, 042204, 062144,  174.0, 119.0,
1590201421, 052004, 065509,    3.8,  67.0,
1590201419, 052004, 065324,   24.4,  83.0,
1590201417, 052004, 065135,   43.6, 105.0,
1590201416, 052004, 065005,   58.8, 141.0,
1590201414, 052004, 064834,   74.0, 173.0,
1590201413, 052004, 064719,   83.7, 231.0,
1590201411, 052004, 064554,   99.0, 298.0,
1590201410, 052004, 064435,  113.6, 431.0,
1590201408, 052004, 064315,  123.7, 385.0,
1590201407, 052004, 064154,  134.2, 277.0,
1590201405, 052004, 064025,  148.7, 229.0,
1590201403, 052004, 063845,  173.5,  90.0,
1600201521, 061704, 065458,    4.5, 104.0,
1600201519, 061704, 065323,   24.1,  81.0,
1600201517, 061704, 065143,   43.5, 131.0,
1600201516, 061704, 065038,   58.8, 140.0,
1600201514, 061704, 064913,   72.8, 176.0,
1600201513, 061704, 064753,   83.9, 221.0,
1600201511, 061704, 064623,   98.8, 265.0,
1600201510, 061704, 064514,  114.2, 379.0,
1600201508, 061704, 064413,  123.9, 345.0,
1600201507, 061704, 064314,  133.7, 232.0,
1600201505, 061704, 064133,  149.0,  89.0,
1600201503, 061704, 063944,  174.6,  51.0,
1610200321, 071404, 002502,    4.9,  89.0,
1610200319, 071404, 002333,   25.1, 110.0,
1610200316, 071404, 002147,   43.4, 106.0,
1610200315, 071404, 002038,   60.0, 122.0,
1610200313, 071404, 001923,   74.3, 157.0,
1610200312, 071404, 001814,   84.5, 175.0,
1610200310, 071404, 001653,   99.6, 273.0,
1610200309, 071404, 001548,  114.4, 332.0,
1610200307, 071404, 001442,  124.9, 350.0,
1610200306, 071404, 001347,  135.5, 341.0,
1610200304, 071404, 001232,  149.7, 213.0,
1610200302, 071404, 001102,  174.8,  73.0,
1620201021, 081704, 064943,    5.0,  94.0,
1620201019, 081704, 064818,   25.1,  81.0,
1620201017, 081704, 064653,   45.9, 122.0,
1620201016, 081704, 064643,   45.9, 110.0,
1620201014, 081704, 064453,   74.7, 175.0,
1620201013, 081704, 064443,   74.7, 178.0,
1620201011, 081704, 064259,  100.6, 265.0,
1620201010, 081704, 064249,  100.4, 276.0,
1620201008, 081704, 063909,  123.5, 294.0,
1620201007, 081704, 063810,  134.4, 232.0,
1620201005, 081704, 063654,  149.7, 142.0,
1620201003, 081704, 063539,  175.5,  86.0,
1630201521, 093004, 065401,    4.6,  47.0,
1630201519, 093004, 065219,   24.5,  46.0,
1630201517, 093004, 064951,   44.4,  71.0,
1630201516, 093004, 064841,   60.8, 103.0,
1630201514, 093004, 064731,   74.1, 173.0,
1630201513, 093004, 064627,   85.6, 247.0,
1630201511, 093004, 064511,  100.3, 336.0,
1630201510, 093004, 064406,  114.5, 334.0,
1630201508, 093004, 064241,  124.4, 293.0,
1630201507, 093004, 064141,  135.6, 188.0,
1630201505, 093004, 063941,  150.5, 103.0,
1630201503, 093004, 063811,  175.2,  48.0,
1640201421, 110104, 065554,    4.8, 140.0,
1640201419, 110104, 065433,   25.9, 155.0,
1640201417, 110104, 065239,   44.3, 192.0,
1640201416, 110104, 065130,   59.5, 222.0,
1640201414, 110104, 065009,   74.5, 253.0,
1640201413, 110104, 064904,   85.9, 288.0,
1640201411, 110104, 064714,  100.8, 332.0,
1640201410, 110104, 064534,  113.7, 245.0,
1640201408, 110104, 064344,  123.9, 198.0,
1640201407, 110104, 064229,  134.5, 177.0,
1640201405, 110104, 064034,  150.5,  86.0,
1640201403, 110104, 063814,  176.4,  30.0,
1650200722, 112804, 065435,    5.0,  78.0,
1650200720, 112804, 065300,   24.7,  75.0,
1650200718, 112804, 065130,   45.0,  99.0,
1650200717, 112804, 065020,   59.4, 145.0,
1650200715, 112804, 064850,   75.0, 296.0,
1650200714, 112804, 064749,   84.8, 416.0,
1650200711, 112804, 064535,   99.3, 362.0,
1650200710, 112804, 064420,  115.0, 210.0,
1650200709, 112804, 064305,  124.7, 177.0,
1650200708, 112804, 064255,  124.8, 173.0,
1650200707, 112804, 064150,  135.2, 140.0,
1650200705, 112804, 064025,  150.0, 104.0,
1650200703, 112804, 063835,  174.3,  28.0,
1660200821, 122104, 070806,    4.9, 185.0,
1660200819, 122104, 070606,   25.0, 178.0,
1660200817, 122104, 070358,   45.1, 177.0,
1660200816, 122104, 070212,   59.7, 176.0,
1660200814, 122104, 070021,   74.7, 196.0,
1660200813, 122104, 065853,   85.3, 449.0,
1660200811, 122104, 065659,  100.5, 308.0,
1660200810, 122104, 065514,  116.5, 174.0,
1660200808, 122104, 065337,  124.3,  98.0,
1660200807, 122104, 065154,  134.5,  58.0,
1660200805, 122104, 064952,  149.2,  21.0,
1660200803, 122104, 064735,  176.7,   8.0,
1670200721, 020205, 070122,    4.0, 141.0,
1670200719, 020205, 065936,   24.7, 143.0,
1670200717, 020205, 065754,   45.4, 149.0,
1670200716, 020205, 065640,   60.5, 155.0,
1670200714, 020205, 065502,   75.6, 250.0,
1670200713, 020205, 065351,   84.9, 313.0,
1670200711, 020205, 065209,  100.0, 280.0,
1670200710, 020205, 065035,  116.3, 130.0,
1670200708, 020205, 064907,  125.7, 140.0,
1670200707, 020205, 064727,  135.8, 114.0,
1670200705, 020205, 064548,  151.1,  45.0,
1670200703, 020205, 064357,  175.5,  12.0,
1680200721, 030505, 071340,    5.3,  79.0,
1680200719, 030505, 071157,   25.2,  82.0,
1680200717, 030505, 070953,   44.7,  98.0,
1680200716, 030505, 070803,   59.7, 109.0,
1680200714, 030505, 070601,   74.5, 217.0,
1680200713, 030505, 070450,   84.9, 331.0,
1680200711, 030505, 070234,   99.8, 250.0,
1680200710, 030505, 070051,  115.1, 186.0,
1680200708, 030505, 065909,  124.5, 158.0,
