Hawaii Ocean Time-series : 29-Apr-2024 01:18:44
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
0020201011, 120388, 044947,    2.1,  23.0,
0020201009, 120388, 044659,   22.8,  34.0,
0020201008, 120388, 044600,   48.6,  55.0,
0020201007, 120388, 044507,   73.0,  56.0,
0020201006, 120388, 044413,   98.2, 135.0,
0020201005, 120388, 044304,  126.0,  24.0,
0020201004, 120388, 044153,  152.7,   5.0,
0020201003, 120388, 044034,  177.4,   5.0,
0040200608, 022889, 151314,    5.8,  82.0,
0040200607, 022889, 151025,   22.1,  81.0,
0040200606, 022889, 150904,   41.8, 104.0,
0040200605, 022889, 150732,   71.8, 145.0,
0040200604, 022889, 150544,   99.6, 173.0,
0040200603, 022889, 150425,  123.2, 151.0,
0040200602, 022889, 150248,  151.1,  48.0,
0040200601, 022889, 150127,  177.4,  16.0,
0050201612, 032989, 013558,   40.8,  72.0,
0050201611, 032989, 013329,   71.7, 116.0,
0050201610, 032989, 013210,   81.6, 136.0,
0050201609, 032989, 013033,   92.5, 162.0,
0050201608, 032989, 012906,  101.9, 201.0,
0050201607, 032989, 012749,  111.7, 248.0,
0050201606, 032989, 012623,  121.6, 232.0,
0050201605, 032989, 012510,  127.4, 216.0,
0050201604, 032989, 012401,  133.7, 195.0,
0050201603, 032989, 012213,  143.6, 114.0,
0050201602, 032989, 012040,  152.5,  86.0,
0050201601, 032989, 011734,  200.2,   9.0,
0060201308, 051989, 113223,   42.8,  78.0,
0060201307, 051989, 113038,   73.5,  95.0,
0060201306, 051989, 112910,   99.6, 318.0,
0060201305, 051989, 112747,  124.1, 124.0,
0060201304, 051989, 112617,  149.8,  68.0,
0060201303, 051989, 112418,  176.3,  15.0,
0060201302, 051989, 112139,  252.6,   0.0,
0060201301, 051989, 111936,  304.0,   0.0,
0060201812, 052089, 080700,   37.7,  67.0,
0060201811, 052089, 080520,   67.7,  79.0,
0060201810, 052089, 080417,   77.3, 101.0,
0060201809, 052089, 080306,   87.5, 153.0,
0060201808, 052089, 080153,   97.4, 349.0,
0060201807, 052089, 080037,  107.4, 284.0,
0060201806, 052089, 075934,  112.4, 252.0,
0060201805, 052089, 075811,  118.2, 216.0,
0060201804, 052089, 075639,  128.3, 151.0,
0060201803, 052089, 075448,  149.0,  89.0,
0060201802, 052089, 075238,  175.1,  16.0,
0060201801, 052089, 075034,  200.9,   2.0,
0080201812, 073189, 075904,    5.5,  64.0,
0080201811, 073189, 075612,   26.8,  74.0,
0080201810, 073189, 075424,   46.7, 109.0,
0080201809, 073189, 075155,   77.8, 153.0,
0080201808, 073189, 075028,   93.4, 176.0,
0080201807, 073189, 074912,  102.9, 219.0,
0080201806, 073189, 074718,  112.5, 178.0,
0080201805, 073189, 074544,  128.5, 121.0,
0080201804, 073189, 074333,  139.5,  84.0,
0080201803, 073189, 074200,  155.2,  57.0,
0080201802, 073189, 074031,  180.5,  19.0,
0080201801, 073189, 073848,  206.8,   1.0,
0090201712, 082589, 103716,    4.7,  46.0,
0090201711, 082589, 103519,   26.3,  72.0,
0090201710, 082589, 103403,   46.2, 100.0,
0090201709, 082589, 103235,   77.2, 174.0,
0090201708, 082589, 103132,   92.0, 201.0,
0090201707, 082589, 103017,  103.0, 271.0,
0090201706, 082589, 102922,  112.9, 223.0,
0090201705, 082589, 102800,  128.8, 149.0,
0090201704, 082589, 102656,  139.9, 109.0,
0090201703, 082589, 102545,  154.7,  74.0,
0090201702, 082589, 102408,  181.6,  39.0,
0090201701, 082589, 102211,  208.6,  22.0,
0100201723, -00009, -00009,    5.3,  60.0,
0100201721, -00009, -00009,   26.1,  60.0,
0100201719, -00009, -00009,   46.9,  84.0,
0100201717, -00009, -00009,   78.7, 214.0,
0100201715, -00009, -00009,   93.5, 356.0,
0100201713, -00009, -00009,  103.4, 216.0,
0100201701, 092489, 085844,  210.0,   4.0,
0100201820, -00009, -00009,  105.4, 201.0,
0100201817, -00009, -00009,  120.2, 160.0,
0100201814, 092489, 113735,  130.6, 126.0,
0100201811, 092489, 113123,  147.3,  62.0,
0100201808, 092489, 112534,  174.8,  20.0,
0110201223, 101989, 091801,    4.9,  70.0,
0110201222, 101989, 091606,   25.2,  58.0,
0110201217, 101989, 091247,   75.3, 127.0,
0110201216, 101989, 091139,   90.6, 171.0,
0110201214, 101989, 091021,  101.3, 230.0,
0110201212, 101989, 090906,  112.3, 185.0,
0110201210, 101989, 090742,  126.5,  99.0,
0110201208, 101989, 090625,  136.8,  59.0,
0110201206, 101989, 090453,  153.9,  33.0,
0110201204, 101989, 090311,  178.8,  14.0,
0110201202, 101989, 090026,  208.9,  17.0,
0120200118, 112889, 013100,    4.4,  79.0,
0120200115, 112889, 012752,   23.4,  78.0,
0120200112, 112889, 012445,   44.4, 111.0,
0120200108, 112889, 011928,   75.6, 186.0,
0120200105, 112889, 011539,  104.9, 214.0,
0120200103, 112889, 011323,  129.1, 104.0,
0120200102, 112889, 011149,  154.9,  47.0,
0120200101, 112889, 010946,  184.2,  25.0,
0140201623, -00009, -00009,   50.0, 112.0,
0140201622, -00009, -00009,   64.4, 130.0,
0140201621, -00009, -00009,   79.7, 245.0,
0140201620, -00009, -00009,   90.6, 331.0,
0140201610, 021790, 083122,  100.8, 281.0,
0140201609, 021790, 082834,  111.6, 261.0,
0140201608, 021790, 082730,  121.6, 214.0,
0140201607, 021790, 082643,  136.6, 131.0,
0140201606, 021790, 082544,  151.3, 110.0,
0140201605, 021790, 082446,  176.9,  28.0,
0140201603, 021790, 082117,  204.0,   4.0,
0150201308, 032090, 111202,    5.7,  75.0,
0150201307, 032090, 111054,   25.5,  80.0,
0150201306, 032090, 110939,   45.4,  90.0,
0150201305, 032090, 110819,   75.3,  86.0,
0150201304, 032090, 110704,   99.9, 124.0,
0150201303, 032090, 110538,  123.8, 359.0,
0150201302, 032090, 110412,  149.2, 140.0,
0150201301, 032090, 110240,  174.4, 109.0,
0160201514, 041490, 085840,    5.3,  57.0,
0160201513, 041490, 085752,   10.6,  55.0,
0160201512, 041490, 085707,   15.4,  59.0,
0160201511, 041490, 085559,   25.8,  59.0,
0160201510, 041490, 085438,   46.1,  71.0,
0160201509, 041490, 085313,   76.7, 200.0,
0160201508, 041490, 085151,  100.8, 203.0,
0160201507, 041490, 085026,  125.7, 236.0,
0160201506, 041490, 084843,  152.3, 226.0,
0160201505, 041490, 084733,  168.5, 198.0,
0160201504, 041490, 084629,  178.6, 192.0,
0160201502, 041490, 084325,  194.2, 195.0,
0160201501, 041490, 084056,  252.5,   3.0,
0170201416, 051090, 073340,    6.5, 137.0,
0170201415, 051090, 073247,   27.6, 130.0,
0170201414, 051090, 073145,   47.4, 163.0,
0170201413, 051090, 073041,   77.2, 154.0,
0170201412, 051090, 072946,   91.9, 171.0,
0170201411, 051090, 072900,  102.1, 371.0,
0170201410, 051090, 072810,  112.2, 427.0,
0170201408, 051090, 072623,  135.2, 394.0,
0170201407, 051090, 072449,  145.3, 202.0,
0170201406, 051090, 072358,  155.2, 212.0,
0170201405, 051090, 072245,  179.9,  46.0,
