Hawaii Ocean Time-series : 12-Apr-2024 01:24:07
https://hahana.soest.hawaii.edu/hot/hot-dogs/mextraction.html

crn, date, time, frac, depth, carb, 
#, mmddyy, hhmm, #, m, mg/m2, 
 52, 021794, 1108, 0,  181.0,    3.95,
 52, 021794, 1108, 1,  181.0,   14.05,
 52, 021794, 1108, 2,  181.0,    8.89,
 52, 021794, 1108, 3,  181.0,   14.21,
 52, 021794, 1108, 4,  181.0,   11.81,
 52, 021794, 1108, 5,  181.0,   52.91,
 52, 021794, 1345, 0,  132.0,    2.53,
 52, 021794, 1345, 1,  132.0,   22.27,
 52, 021794, 1345, 2,  132.0,   13.32,
 52, 021794, 1345, 3,  132.0,   14.00,
 52, 021794, 1345, 4,  132.0,   10.44,
 52, 021794, 1345, 5,  132.0,   62.55,
 52, 021794, 2300, 0,  151.0,   15.99,
 52, 021794, 2300, 1,  151.0,   89.61,
 52, 021794, 2300, 2,  151.0,   51.09,
 52, 021794, 2300, 3,  151.0,   44.93,
 52, 021794, 2300, 4,  151.0,   27.08,
 52, 021794, 2300, 5,  151.0,  228.70,
 52, 021894,  145, 0,  148.0,   20.19,
 52, 021894,  145, 1,  148.0,   94.40,
 52, 021894,  145, 2,  148.0,   50.06,
 52, 021894,  145, 3,  148.0,   40.96,
 52, 021894,  145, 4,  148.0,   29.63,
 52, 021894,  145, 5,  148.0,  235.24,
 52, 021894, 1057, 0,  189.0,    0.26,
 52, 021894, 1057, 1,  189.0,   13.39,
 52, 021894, 1057, 2,  189.0,    8.58,
 52, 021894, 1057, 3,  189.0,   13.29,
 52, 021894, 1057, 4,  189.0,    8.41,
 52, 021894, 1057, 5,  189.0,   43.92,
 52, 021994,  140, 0,  137.0,   19.62,
 52, 021994,  140, 1,  137.0,   54.48,
 52, 021994,  140, 2,  137.0,   40.77,
 52, 021994,  140, 3,  137.0,   34.21,
 52, 021994,  140, 4,  137.0,   30.42,
 52, 021994,  140, 5,  137.0,  179.50,
 52, 021994, 1256, 0,  139.0,    8.09,
 52, 021994, 1256, 1,  139.0,   54.27,
 52, 021994, 1256, 2,  139.0,   47.86,
 52, 021994, 1256, 3,  139.0,   41.26,
 52, 021994, 1256, 4,  139.0,   27.40,
 52, 021994, 1256, 5,  139.0,  178.87,
 53, 030994, 1145, 0,  189.0,    3.12,
 53, 030994, 1145, 1,  189.0,    8.45,
 53, 030994, 1145, 2,  189.0,   16.88,
 53, 030994, 1145, 3,  189.0,   57.73,
 53, 030994, 1145, 4,  189.0,   76.58,
 53, 030994, 1145, 5,  189.0,  162.76,
 53, 030994, 2315, 0,  129.0,    0.74,
 53, 030994, 2315, 1,  129.0,   12.77,
 53, 030994, 2315, 2,  129.0,   25.14,
 53, 030994, 2315, 3,  129.0,   37.42,
 53, 030994, 2315, 4,  129.0,   61.40,
 53, 030994, 2315, 5,  129.0,  137.47,
 53, 031094,  210, 0,  181.0,   11.84,
 53, 031094,  210, 1,  181.0,   13.79,
 53, 031094,  210, 2,  181.0,   35.84,
 53, 031094,  210, 3,  181.0,   69.23,
 53, 031094,  210, 4,  181.0,  101.09,
 53, 031094,  210, 5,  181.0,  231.79,
 53, 031094, 1110, 0,  164.0,    1.30,
 53, 031094, 1110, 1,  164.0,    3.97,
 53, 031094, 1110, 2,  164.0,    6.14,
 53, 031094, 1110, 3,  164.0,   27.84,
 53, 031094, 1110, 4,  164.0,   58.47,
 53, 031094, 1110, 5,  164.0,   97.72,
 53, 031094, 2305, 0,  177.0,    2.42,
 53, 031094, 2305, 1,  177.0,   28.46,
 53, 031094, 2305, 2,  177.0,   55.78,
 53, 031094, 2305, 3,  177.0,  102.28,
 53, 031094, 2305, 4,  177.0,  121.06,
 53, 031094, 2305, 5,  177.0,  310.01,
 53, 031194, 1050, 0,  109.0,    2.43,
 53, 031194, 1050, 1,  109.0,    4.38,
 53, 031194, 1050, 2,  109.0,    8.59,
 53, 031194, 1050, 3,  109.0,   18.76,
 53, 031194, 1050, 4,  109.0,   46.03,
 53, 031194, 1050, 5,  109.0,   80.19,
 54, 061994, 1035, 0,   98.0,    8.43,
 54, 061994, 1035, 1,   98.0,   15.92,
 54, 061994, 1035, 2,   98.0,   36.24,
 54, 061994, 1035, 3,   98.0,   25.11,
 54, 061994, 1035, 4,   98.0,   25.74,
 54, 061994, 1035, 5,   98.0,  111.45,
 54, 061994, 2304, 0,  129.0,   17.90,
 54, 061994, 2304, 1,  129.0,   60.12,
 54, 061994, 2304, 2,  129.0,   67.38,
 54, 061994, 2304, 3,  129.0,   52.55,
 54, 061994, 2304, 4,  129.0,   50.36,
 54, 061994, 2304, 5,  129.0,  248.30,
 54, 061994,  150, 0,  169.0,   31.55,
 54, 061994,  150, 1,  169.0,   38.47,
 54, 061994,  150, 2,  169.0,   69.29,
 54, 061994,  150, 3,  169.0,   59.84,
 54, 061994,  150, 4,  169.0,   57.90,
 54, 061994,  150, 5,  169.0,  257.06,
 54, 061994, 1135, 0,  124.0,   10.69,
 54, 061994, 1135, 1,  124.0,   12.72,
 54, 061994, 1135, 2,  124.0,   48.66,
 54, 061994, 1135, 3,  124.0,   54.20,
 54, 061994, 1135, 4,  124.0,   34.68,
 54, 061994, 1135, 5,  124.0,  160.95,
 54, 061994,  106, 0,  163.0,    3.43,
 54, 061994,  106, 1,  163.0,   41.37,
 54, 061994,  106, 2,  163.0,   20.31,
 54, 061994,  106, 3,  163.0,   55.44,
 54, 061994,  106, 4,  163.0,   53.24,
 54, 061994,  106, 5,  163.0,  173.80,
 54, 061994, 1306, 0,  184.0,   20.20,
 54, 061994, 1306, 1,  184.0,   -9.00,
 54, 061994, 1306, 2,  184.0,   61.20,
 54, 061994, 1306, 3,  184.0,   42.83,
 54, 061994, 1306, 4,  184.0,   39.50,
 54, 061994, 1306, 5,  184.0,   -9.00,
 55, 072494, 2305, 0,  140.0,   64.07,
 55, 072494, 2305, 1,  140.0,   43.05,
 55, 072494, 2305, 2,  140.0,   65.15,
 55, 072494, 2305, 3,  140.0,   51.35,
 55, 072494, 2305, 4,  140.0,   74.80,
 55, 072494, 2305, 5,  140.0,  298.43,
 55, 072594,    8, 0,  183.0,   20.66,
 55, 072594,    8, 1,  183.0,   69.47,
 55, 072594,    8, 2,  183.0,   68.14,
 55, 072594,    8, 3,  183.0,   76.80,
 55, 072594,    8, 4,  183.0,   62.21,
 55, 072594,    8, 5,  183.0,  297.28,
 55, 072594, 1003, 0,  179.0,    0.21,
 55, 072594, 1003, 1,  179.0,   29.05,
 55, 072594, 1003, 2,  179.0,   87.74,
 55, 072594, 1003, 3,  179.0,   95.63,
 55, 072594, 1003, 4,  179.0,   96.73,
 55, 072594, 1003, 5,  179.0,  309.36,
 55, 072594, 1248, 0,  212.0,    6.64,
 55, 072594, 1248, 1,  212.0,   42.54,
 55, 072594, 1248, 2,  212.0,   92.26,
 55, 072594, 1248, 3,  212.0,   73.19,
 55, 072594, 1248, 4,  212.0,   70.90,
 55, 072594, 1248, 5,  212.0,  285.52,
 56, 083094,    5, 0,  206.0,   30.04,
 56, 083094,    5, 1,  206.0,  204.05,
 56, 083094,    5, 2,  206.0,  127.57,
 56, 083094,    5, 3,  206.0,  105.91,
 56, 083094,    5, 4,  206.0,   94.21,
 56, 083094,    5, 5,  206.0,  561.79,
 56, 083094, 1300, 0,  186.0,    0.97,
 56, 083094, 1300, 1,  186.0,   34.03,
 56, 083094, 1300, 2,  186.0,   58.97,
 56, 083094, 1300, 3,  186.0,   83.16,
 56, 083094, 1300, 4,  186.0,   77.23,
 56, 083094, 1300, 5,  186.0,  254.35,
 56, 083194,   50, 0,  150.0,   13.44,
 56, 083194,   50, 1,  150.0,   76.42,
 56, 083194,   50, 2,  150.0,  106.67,
 56, 083194,   50, 3,  150.0,  134.98,
 56, 083194,   50, 4,  150.0,  102.80,
 56, 083194,   50, 5,  150.0,  434.31,
 56, 083194, 1025, 0,  134.0,    4.30,
 56, 083194, 1025, 1,  134.0,   30.49,
 56, 083194, 1025, 2,  134.0,   66.15,
 56, 083194, 1025, 3,  134.0,   90.66,
 56, 083194, 1025, 4,  134.0,   44.13,
 56, 083194, 1025, 5,  134.0,  235.73,
 56, 083194, 2240, 0,  178.0,   26.43,
 56, 083194, 2240, 1,  178.0,   53.76,
 56, 083194, 2240, 2,  178.0,   87.99,
 56, 083194, 2240, 3,  178.0,   88.06,
 56, 083194, 2240, 4,  178.0,   60.14,
 56, 083194, 2240, 5,  178.0,  316.38,
 56, 083194, 1220, 0,  204.0,    0.00,
 56, 083194, 1220, 1,  204.0,   25.29,
 56, 083194, 1220, 2,  204.0,   87.89,
 56, 083194, 1220, 3,  204.0,   68.91,
 56, 083194, 1220, 4,  204.0,   59.98,
 56, 083194, 1220, 5,  204.0,  242.06,
 57, 092294, 1145, 0,  207.0,   23.12,
 57, 092294, 1145, 1,  207.0,   54.76,
 57, 092294, 1145, 2,  207.0,   75.88,
 57, 092294, 1145, 3,  207.0,   79.33,
 57, 092294, 1145, 4,  207.0,   44.26,
 57, 092294, 1145, 5,  207.0,  277.35,
 57, 092394, 1337, 0,  195.0,    4.97,
 57, 092394, 1337, 1,  195.0,   41.30,
 57, 092394, 1337, 2,  195.0,   67.29,
