Hawaii Ocean Time-series : 29-Jan-2024 23:39:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, nit, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0010200312, 103188, 015704,    4.7,   0.02,
0010200311, 103188, 015529,   39.4,   0.04,
0010200310, 103188, 015401,   99.4,   0.21,
0010200309, 103188, 015220,  150.3,   2.07,
0010200308, 103188, 015059,  191.8,   2.26,
0010200705, 103188, 150832,   10.7,   0.00,
0010200704, 103188, 150658,   25.5,   0.04,
0010200703, 103188, 150517,   42.9,   0.02,
0010200702, 103188, 150335,   68.3,   0.00,
0010200701, 103188, 150129,  114.4,   0.40,
0010201111, 110188, 120733,   16.6,   0.02,
0010201110, 110188, 120612,   36.5,   0.00,
0010201109, 110188, 120440,   56.4,   0.02,
0010201108, 110188, 120300,   77.8,   0.00,
0010201107, 110188, 120127,   97.8,   0.00,
0010201106, 110188, 120000,  117.3,   0.36,
0010201105, 110188, 115843,  137.8,   1.30,
0010201104, 110188, 115719,  157.7,   2.37,
0010201103, 110188, 115519,  181.8,   3.07,
0020200411, 120288, 104126,   15.6,   0.07,
0020200410, 120288, 103231,   99.5,   0.18,
0020200409, 120288, 103002,  136.4,   0.12,
0020200408, 120288, 102305,  173.3,   2.23,
0020200510, 120288, 142015,    1.5,   0.05,
0020200509, 120288, 141852,   21.2,   0.05,
0020200508, 120288, 141745,   46.2,   0.07,
0020200507, 120288, 141647,   71.1,   0.05,
0020200506, 120288, 141521,   97.9,   0.21,
0020200505, 120288, 141354,  122.9,   0.72,
0020200504, 120288, 141204,  148.6,   1.61,
0020200503, 120288, 140959,  177.6,   2.03,
0020200811, 120288, 225346,    1.6,   0.05,
0020200810, 120288, 225240,   16.2,   0.05,
0020200809, 120288, 225126,   37.8,   0.07,
0020200808, 120288, 225026,   57.9,   0.07,
0020200807, 120288, 224941,   79.2,   0.07,
0020200806, 120288, 224846,   98.9,   0.55,
0020200805, 120288, 224756,  119.7,   0.76,
0020200804, 120288, 224703,  139.8,   1.59,
0020200803, 120288, 224558,  161.5,   1.77,
0020200802, 120288, 224503,  181.1,   2.05,
0030200212, 010889, 071857,   35.9,   0.02,
0030200312, 010889, 104034,   19.7,   0.02,
0030200311, 010889, 103714,  118.8,   0.38,
0030200310, 010889, 103432,  186.0,   2.75,
0030200410, 010889, 143637,    4.9,   0.02,
0030200409, 010889, 143356,   22.8,   0.04,
0030200408, 010889, 143232,   43.3,   0.02,
0030200407, 010889, 143045,   72.7,   0.04,
0030200406, 010889, 142841,   97.7,   0.04,
0030200405, 010889, 142715,  122.2,   0.11,
0030200404, 010889, 142546,  146.8,   0.61,
0030200403, 010889, 142417,  176.8,   1.49,
0030200612, 010989, 000336,    2.8,   0.02,
0030200611, 010989, 000035,   18.4,   0.00,
0030200610, 010889, 235717,   38.2,   0.02,
0030200609, 010889, 235445,   56.7,   0.04,
0030200608, 010889, 235244,   79.4,   0.04,
0030200607, 010889, 235041,   96.6,   0.10,
0030200606, 010889, 234853,  117.5,   0.49,
