Hawaii Ocean Time-series : 26-Jun-2024 04:20:14
https://hahana.soest.hawaii.edu/hot/hot-dogs/cextraction.html

crn, julian, press, temp, 
#, day, dbar, ITS-90, 
  1,   30,    0.0, 26.2693,
  1,   30,    2.0, 26.2695,
  1,   30,    4.0, 26.2737,
  1,   30,    6.0, 26.2724,
  1,   30,    8.0, 26.2705,
  1,   30,   10.0, 26.2697,
  1,   30,   12.0, 26.2679,
  1,   30,   14.0, 26.2644,
  1,   30,   16.0, 26.2609,
  1,   30,   18.0, 26.2593,
  1,   30,   20.0, 26.2588,
  1,   30,   22.0, 26.2565,
  1,   30,   24.0, 26.2563,
  1,   30,   26.0, 26.2558,
  1,   30,   28.0, 26.2541,
  1,   30,   30.0, 26.2519,
  1,   30,   32.0, 26.2436,
  1,   30,   34.0, 26.2311,
  1,   30,   36.0, 26.2227,
  1,   30,   38.0, 26.2157,
  1,   30,   40.0, 26.2044,
  1,   30,   42.0, 26.1742,
  1,   30,   44.0, 26.1439,
  1,   30,   46.0, 26.0263,
  1,   30,   48.0, 25.9751,
  1,   30,   50.0, 25.8361,
  1,   30,   52.0, 25.6489,
  1,   30,   54.0, 25.4551,
  1,   30,   56.0, 25.3915,
  1,   30,   58.0, 25.2496,
  1,   30,   60.0, 25.0020,
  1,   30,   62.0, 24.8955,
  1,   30,   64.0, 24.7184,
  1,   30,   66.0, 24.5462,
  1,   30,   68.0, 24.3141,
  1,   30,   70.0, 24.1510,
  1,   30,   72.0, 23.9278,
  1,   30,   74.0, 23.8363,
  1,   30,   76.0, 23.6803,
  1,   30,   78.0, 23.5649,
  1,   30,   80.0, 23.4059,
  1,   30,   82.0, 23.3886,
  1,   30,   84.0, 23.1795,
  1,   30,   86.0, 23.0956,
  1,   30,   88.0, 23.0176,
  1,   30,   90.0, 22.9255,
  1,   30,   92.0, 22.8277,
  1,   30,   94.0, 22.7210,
  1,   30,   96.0, 22.6108,
  1,   30,   98.0, 22.5055,
  1,   30,  100.0, 22.4026,
  1,   30,  102.0, 22.3009,
  1,   30,  104.0, 22.2253,
  1,   30,  106.0, 22.1344,
  1,   30,  108.0, 22.0358,
  1,   30,  110.0, 21.9472,
  1,   30,  112.0, 21.8746,
