Hawaii Ocean Time-series : 11-Sep-2023 23:31:13
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chlc4, 
#, mmddyy, hhmmss, dbar, ng/l, 
0020201011, 120388, 044947,    2.1,   1.0,
0020201009, 120388, 044659,   22.8,   2.0,
0020201008, 120388, 044600,   48.6,   2.0,
0020201007, 120388, 044507,   73.0,   1.0,
0020201006, 120388, 044413,   98.2,   6.0,
0020201005, 120388, 044304,  126.0,   1.0,
0040200608, 022889, 151314,    5.8,   2.0,
0040200607, 022889, 151025,   22.1,   2.0,
0040200606, 022889, 150904,   41.8,   2.0,
0040200605, 022889, 150732,   71.8,   3.0,
0040200604, 022889, 150544,   99.6,   6.0,
0040200603, 022889, 150425,  123.2,   4.0,
0050201612, 032989, 013558,   40.8,   2.0,
0050201611, 032989, 013329,   71.7,   4.0,
0050201610, 032989, 013210,   81.6,   4.0,
0050201609, 032989, 013033,   92.5,   4.0,
0050201608, 032989, 012906,  101.9,   7.0,
0050201607, 032989, 012749,  111.7,  10.0,
0050201606, 032989, 012623,  121.6,   8.0,
0050201605, 032989, 012510,  127.4,   8.0,
0050201604, 032989, 012401,  133.7,   7.0,
0050201603, 032989, 012213,  143.6,   5.0,
0060201308, 051989, 113223,   42.8,   4.0,
0060201307, 051989, 113038,   73.5,   5.0,
0060201306, 051989, 112910,   99.6,  21.0,
0060201305, 051989, 112747,  124.1,   9.0,
0060201304, 051989, 112617,  149.8,   4.0,
0060201812, 052089, 080700,   37.7,   3.0,
0060201811, 052089, 080520,   67.7,   2.0,
0060201810, 052089, 080417,   77.3,   3.0,
0060201809, 052089, 080306,   87.5,   6.0,
0060201808, 052089, 080153,   97.4,  17.0,
0060201807, 052089, 080037,  107.4,  15.0,
0060201806, 052089, 075934,  112.4,  11.0,
0060201805, 052089, 075811,  118.2,  10.0,
0060201804, 052089, 075639,  128.3,   9.0,
0060201803, 052089, 075448,  149.0,   4.0,
0080201812, 073189, 075904,    5.5,   2.0,
0080201811, 073189, 075612,   26.8,   2.0,
0080201810, 073189, 075424,   46.7,   3.0,
0080201809, 073189, 075155,   77.8,   4.0,
0080201808, 073189, 075028,   93.4,   5.0,
0080201807, 073189, 074912,  102.9,   8.0,
0080201806, 073189, 074718,  112.5,   6.0,
0080201805, 073189, 074544,  128.5,   4.0,
0080201804, 073189, 074333,  139.5,   2.0,
0090201712, 082589, 103716,    4.7,   1.0,
0090201711, 082589, 103519,   26.3,   3.0,
0090201710, 082589, 103403,   46.2,   3.0,
0090201709, 082589, 103235,   77.2,   4.0,
0090201708, 082589, 103132,   92.0,   4.0,
0090201707, 082589, 103017,  103.0,  11.0,
0090201706, 082589, 102922,  112.9,   8.0,
0090201705, 082589, 102800,  128.8,   6.0,
0090201704, 082589, 102656,  139.9,   4.0,
0100201723, -00009, -00009,    5.3,   2.0,
0100201721, -00009, -00009,   26.1,   2.0,
0100201719, -00009, -00009,   46.9,   3.0,
0100201717, -00009, -00009,   78.7,   9.0,
0100201715, -00009, -00009,   93.5,   8.0,
0100201713, -00009, -00009,  103.4,   9.0,
0100201820, -00009, -00009,  105.4,  10.0,
0100201817, -00009, -00009,  120.2,   8.0,
0100201814, 092489, 113735,  130.6,   5.0,
0100201811, 092489, 113123,  147.3,   3.0,
0110201223, 101989, 091801,    4.9,   3.0,
0110201222, 101989, 091606,   25.2,   2.0,
0110201217, 101989, 091247,   75.3,   4.0,
0110201216, 101989, 091139,   90.6,   2.0,
0110201214, 101989, 091021,  101.3,   9.0,
0110201212, 101989, 090906,  112.3,   6.0,
0110201210, 101989, 090742,  126.5,   4.0,
0110201208, 101989, 090625,  136.8,   2.0,
0120200118, 112889, 013100,    4.4,   2.0,
0120200115, 112889, 012752,   23.4,   3.0,
0120200112, 112889, 012445,   44.4,   4.0,
0120200108, 112889, 011928,   75.6,   6.0,
0120200105, 112889, 011539,  104.9,  10.0,
0120200103, 112889, 011323,  129.1,  13.0,
0140201623, -00009, -00009,   50.0,   3.0,
0140201622, -00009, -00009,   64.4,   4.0,
0140201621, -00009, -00009,   79.7,   8.0,
0140201620, -00009, -00009,   90.6,  16.0,
0140201610, 021790, 083122,  100.8,  13.0,
0140201609, 021790, 082834,  111.6,  10.0,
0140201608, 021790, 082730,  121.6,   8.0,
0140201607, 021790, 082643,  136.6,   5.0,
0150201303, 032090, 110538,  123.8,  10.0,
0160201514, 041490, 085840,    5.3,   2.0,
0160201513, 041490, 085752,   10.6,   2.0,
0160201512, 041490, 085707,   15.4,   1.0,
0160201511, 041490, 085559,   25.8,   2.0,
0160201510, 041490, 085438,   46.1,   2.0,
0160201509, 041490, 085313,   76.7,   6.0,
0160201508, 041490, 085151,  100.8,   6.0,
0160201507, 041490, 085026,  125.7,   7.0,
0170201415, 051090, 073247,   27.6,   1.0,
0170201414, 051090, 073145,   47.4,   4.0,
0170201413, 051090, 073041,   77.2,   4.0,
0170201412, 051090, 072946,   91.9,   5.0,
0170201411, 051090, 072900,  102.1,   8.0,
0170201410, 051090, 072810,  112.2,   5.0,
0170201408, 051090, 072623,  135.2,   5.0,
0170201407, 051090, 072449,  145.3,   4.0,
0180201418, 061490, 111354,    7.0,   2.0,
0180201417, 061490, 111239,   27.2,   1.0,
0180201414, 061490, 111022,   47.3,   3.0,
0180201413, 061490, 110854,   78.1,   4.0,
0180201412, 061490, 110745,   93.2,   5.0,
0180201411, 061490, 110652,  102.6,  12.0,
0180201410, 061490, 110550,  113.8,   8.0,
0180201409, 061490, 110454,  124.1,   7.0,
0180201408, 061490, 110353,  133.7,   9.0,
0180201407, 061490, 110258,  142.7,   4.0,
0190201410, 072690, 110809,    7.2,   2.0,
0190201409, 072690, 110647,   27.8,   1.0,
0190201408, 072690, 110535,   48.2,   2.0,
0190201407, 072690, 110407,   78.4,   4.0,
0190201406, 072690, 110145,  103.7,   6.0,
0190201405, 072690, 110006,  129.3,   3.0,
0230200515, 020391, 155405,    6.7,   3.0,
0230200514, 020391, 155301,   26.5,   4.0,
0230200513, 020391, 155201,   46.6,   4.0,
0230200512, 020391, 155029,   79.6,   5.0,
0230200511, 020391, 154920,  104.2,  12.0,
0230200510, 020391, 154811,  113.5,  12.0,
0230200509, 020391, 154715,  119.5,  11.0,
0230200507, 020391, 154559,  130.5,   9.0,
0240200723, 030891, 224749,    4.5,   2.0,
0240200722, 030891, 224618,   31.1,   3.0,
0240200721, 030891, 224450,   49.6,   3.0,
0240200720, 030891, 224313,   72.9,   6.0,
0240200719, 030891, 224152,  101.7,   6.0,
0240200717, 030891, 223903,  124.6,   4.0,
0240200716, 030891, 223721,  139.5,   3.0,
0250201317, 041191, 094900,    8.2,   3.0,
0250201316, 041191, 094719,   27.7,   2.0,
0250201315, 041191, 094611,   46.9,   6.0,
0250201314, 041191, 094443,   76.9,   6.0,
0250201312, 041191, 094302,   92.1,   7.0,
0250201311, 041191, 094209,  102.2,   8.0,
0250201308, 041191, 094043,  107.2,  10.0,
0250201307, 041191, 093956,  117.0,  10.0,
0250201306, 041191, 093800,  131.4,   4.0,
0250201305, 041191, 093707,  140.5,   4.0,
0260200722, 050991, 122528,   25.4,   3.0,
0260200721, 050991, 122420,   47.7,   3.0,
