Hawaii Ocean Time-series : 13-Sep-2023 00:42:05
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, d12, 
#, mmddyy, hhmmss, dbar, mg C/m3, 
0080210008, 072989, -00009,    5.0,  0.320,
0080210007, 072989, -00009,   25.0,  0.230,
0080210005, 072989, -00009,   75.0,  0.160,
0080210004, 072989, -00009,  100.0,  0.170,
0080210003, 072989, -00009,  125.0,  0.090,
0080210002, 072989, -00009,  150.0,  0.100,
0100210008, 092289, -00009,    2.0,  0.450,
0100210007, 092289, -00009,   10.0,  0.330,
0100210006, 092289, -00009,   45.0,  0.380,
0100210005, 092289, -00009,   75.0,  0.220,
0100210004, 092289, -00009,  100.0,  0.130,
0100210003, 092289, -00009,  125.0,  0.130,
0100210002, 092289, -00009,  150.0,  0.130,
0110210008, 101889, -00009,    5.0,  0.250,
0110210007, 101889, -00009,   20.0,  0.310,
0110210006, 101889, -00009,   45.0,  0.240,
0110210005, 101889, -00009,   80.0,  0.130,
0110210004, 101889, -00009,  100.0,  0.100,
0110210003, 101889, -00009,  120.0,  0.100,
0120210008, 112889, -00009,    2.0,  0.180,
0120210007, 112889, -00009,   10.0,  0.180,
0120210006, 112889, -00009,   20.0,  0.190,
0120210005, 112889, -00009,   45.0,  0.180,
0120210004, 112889, -00009,   65.0,  0.160,
0120210003, 112889, -00009,   95.0,  0.080,
0120210002, 112889, -00009,  110.0,  0.090,
0120210001, 112889, -00009,  140.0,  0.080,
0130210005, 010590, -00009,   80.0,  0.130,
0130210004, 010590, -00009,   95.0,  0.130,
0130210003, 010590, -00009,  120.0,  0.110,
0130210002, 010590, -00009,  145.0,  0.110,
0140210008, 021590, -00009,    4.0,  0.090,
0140210007, 021590, -00009,   10.0,  0.200,
0140210006, 021590, -00009,   30.0,  0.230,
0140210005, 021590, -00009,   70.0,  0.160,
0140210002, 021590, -00009,  135.0,  0.170,
0160210008, 041390, -00009,    2.0,  0.480,
0160210007, 041390, -00009,   10.0,  0.130,
0160210006, 041390, -00009,   40.0,  0.180,
0160210005, 041390, -00009,   80.0,  0.130,
0160210004, 041390, -00009,   95.0,  0.130,
0160210003, 041390, -00009,  120.0,  0.120,
0160210002, 041390, -00009,  145.0,  0.040,
0170210008, 050990, -00009,    5.0,  0.100,
0170210007, 050990, -00009,   25.0,  0.130,
