Hawaii Ocean Time-series : 07-Sep-2023 21:40:48
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0020200811, 120288, 225346,    1.6,   35.2,
0020200810, 120288, 225240,   16.2,   34.2,
0020200809, 120288, 225126,   37.8,   37.1,
0020200808, 120288, 225026,   57.9,   42.0,
0020200807, 120288, 224941,   79.2,   50.8,
0020200806, 120288, 224846,   98.9,   96.7,
0030200410, 010889, 143637,    4.9,   28.3,
0030200409, 010889, 143356,   22.8,   36.1,
0030200408, 010889, 143232,   43.3,   20.5,
0030200407, 010889, 143045,   72.7,   43.9,
0030200406, 010889, 142841,   97.7,   45.9,
0030200405, 010889, 142715,  122.2,   43.0,
0040200608, 022889, 151314,    5.8,   88.9,
0040200607, 022889, 151025,   22.1,  119.2,
0040200606, 022889, 150904,   41.8,   83.7,
0040200605, 022889, 150732,   71.8,   48.3,
0040200604, 022889, 150544,   99.6,   47.2,
0040200603, 022889, 150425,  123.2,   67.9,
0090202412, -00009, -00009,    6.6,  130.2,
0090202411, -00009, -00009,   26.6,  140.7,
0090202410, -00009, -00009,   47.6,  129.2,
0090202409, -00009, -00009,   78.0,  115.9,
0090202408, -00009, -00009,  102.9,  117.2,
0090202407, -00009, -00009,  125.9,  125.3,
0100201417, -00009, -00009,    8.2,  102.6,
0100201414, -00009, -00009,   27.0,  105.5,
0100201412, -00009, -00009,   47.9,   98.7,
0100201410, 092389, 201241,   78.4,  102.3,
0100201408, 092389, 201117,  104.5,  105.8,
0110201617, 101989, 214946,    4.8,   66.7,
0110201615, 101989, 214629,   45.4,   85.6,
0110201613, 101989, 214504,   76.4,   36.8,
0110201610, 101989, 214309,  106.4,   68.6,
0130200415, 010590, 051004,    4.7,   44.6,
0130200414, 010590, 050844,   14.3,   48.1,
0130200413, 010590, 050729,   24.2,   50.1,
0130200412, 010590, 050628,   34.0,   53.0,
0130200411, 010590, 050532,   45.8,   39.6,
0130200410, 010590, 050424,   60.0,   39.4,
0130200409, 010590, 050321,   75.5,   33.2,
0130200408, 010590, 050156,   85.6,   57.3,
0130200407, 010590, 050059,   95.1,   67.1,
0130200405, 010590, 045822,  117.3,   91.8,
0130200404, 010590, 045652,  126.9,  129.6,
0130200403, 010590, 045410,  136.8,  167.0,
0140201223, 021690, 174137,    4.2,  116.2,
0140201221, 021690, 173923,   24.9,  120.8,
0140201219, 021690, 173743,   45.9,   98.7,
0140201218, 021690, 173651,   60.8,   85.3,
0140201217, 021690, 173556,   75.6,   91.5,
0140201216, 021690, 173508,   85.3,  102.2,
0140201214, 021690, 173327,  105.9,   98.3,
0140201213, 021690, 173238,  115.6,   96.0,
0140201212, 021690, 173151,  125.4,  151.8,
0140201211, 021690, 173058,  135.7,  171.6,
0150200623, 031990, 082925,  116.7,   90.1,
0150200622, 031990, 082816,  126.9,  103.2,
0150200621, 031990, 082706,  137.2,  130.2,
0160200622, 041390, 061446,  117.3,   91.5,
0160200620, 041390, 061157,  137.0,  100.6,
0160200713, 041390, 091248,   16.6,   96.7,
0160200710, 041390, 091046,   36.9,   80.1,
0160200707, 041390, 090806,   61.8,   86.6,
0160200704, 041390, 090513,  108.8,   85.9,
0170201416, 051090, 073340,    6.5,  105.8,
0170201415, 051090, 073247,   27.6,   78.4,
0170201414, 051090, 073145,   47.4,  128.6,
0170201413, 051090, 073041,   77.2,   74.9,
0170201411, 051090, 072900,  102.1,   93.7,
0170201410, 051090, 072810,  112.2,   82.3,
0170201408, 051090, 072623,  135.2,  118.4,
0180200522, 061390, 071330,    5.2,   87.9,
0180200520, 061390, 071021,   26.2,   86.2,
0180200517, 061390, 070813,   45.6,   75.9,
0180200515, 061390, 070606,   76.0,   83.3,
0180200512, 061390, 070321,  106.9,   85.6,
0230200617, 020491, 014603,    6.9,  122.7,
0230200615, 020491, 014433,   26.6,  112.3,
0230200614, 020491, 014325,   46.5,   62.0,
0230200613, 020491, 014204,   76.2,   69.0,
0230200611, 020491, 014021,  105.7,  103.5,
0230200610, 020491, 013856,  129.7,  155.6,
0240200123, 030691, 203200,    5.4,   61.5,
0240200122, 030691, 203200,    5.7,   77.1,
0240200121, 030691, 203000,   16.1,   70.3,
0240200120, 030691, 202900,   19.1,   73.2,
0240200119, 030691, 202800,   26.7,   72.3,
0240200118, 030691, 202700,   36.8,   75.2,
0240200117, 030691, 202600,   39.7,   72.3,
0240200116, 030691, 202100,   63.7,   59.6,
0240200115, 030691, 201900,   78.9,   61.5,
0240200114, 030691, 201800,   86.2,   52.7,
0240200113, 030691, 201700,   94.7,   68.4,
0240200112, 030691, 201600,  105.3,   60.5,
0240200111, 030691, 201500,  117.6,   86.9,
0240200110, 030691, 201300,  126.5,  112.3,
0250200923, 041091, 200942,    6.4,   52.7,
0250200922, 041091, 200903,   11.2,   52.7,
0250200921, 041091, 200800,   27.8,   27.3,
0250200920, 041091, 200655,   48.6,   17.6,
0250200919, 041091, 200611,   62.9,   21.5,
0250200918, 041091, 200514,   78.7,   31.2,
0250200917, 041091, 200424,   88.8,   67.4,
0250200916, 041091, 200324,  104.6,   96.7,
0250200915, 041091, 200234,  120.1,  106.4,
0250200914, 041091, 200150,  129.8,  129.9,
0250200913, 041091, 200057,  142.1,  158.2,
0260200422, 050891, 113810,   10.6,   81.1,
0260200419, 050891, 113614,   27.5,   78.1,
0260200416, 050891, 113254,   46.0,   38.1,
0260200415, 050891, 113151,   64.3,   20.5,
0260200414, 050891, 113100,   78.0,   11.7,
0260200413, 050891, 113007,   86.9,   10.7,
0260200412, 050891, 112835,   98.0,   13.7,
0260200411, 050891, 112740,  104.6,   80.1,
0260200410, 050891, 112641,  114.8,   33.2,
0270200623, 060591, 070845,    6.5,  125.0,
0270200622, 060591, 070758,   12.3,  121.1,
0270200620, 060591, 070701,   16.2,  108.4,
0270200618, 060591, 070512,   37.9,  113.3,
0270200617, 060591, 070421,   47.7,   64.5,
0270200616, 060591, 070315,   63.6,   57.6,
0270200614, 060591, 070106,   90.2,   52.7,
0270200612, 060591, 065911,  109.6,   75.2,
0270200610, 060591, 065723,  130.2,  126.9,
0270200609, 060591, 065633,  139.0,  186.5,
0280200518, 071091, 070208,   23.3,  143.6,
0280200516, 071091, 070037,   43.2,  135.8,
0280200515, 071091, 065939,   58.9,  135.8,
0280200514, 071091, 065843,   73.9,  105.5,
0280200513, 071091, 065751,   84.7,  136.7,
0280200512, 071091, 065656,   94.5,  122.1,
0280200511, 071091, 065603,  104.4,  174.8,
0280200510, 071091, 065511,  115.1,  161.1,
0280200508, 071091, 065257,  135.8,  239.2,
0290200623, 081091, 100542,    7.9,  142.6,
0290200620, 081091, 100225,   26.9,  158.2,
0290200616, 081091, 095848,   59.1,   81.1,
0290200614, 081091, 095639,   87.6,  149.4,
0290200612, 081091, 095417,  107.6,  154.3,
0290200611, 081091, 095321,  117.7,  160.2,
0290200610, 081091, 095219,  129.6,  166.0,
0300200514, 091891, 055457,  111.4,  145.5,
0300200513, 091891, 055406,  121.8,  147.5,
0300200511, 091891, 055209,  141.7,  168.9,
0300200615, 091891, 082714,   11.3,  101.6,
0300200612, 091891, 082414,   31.1,   97.7,
0300200610, 091891, 082113,   50.8,   99.6,
0300200608, 091891, 081922,   67.7,   82.0,
0300200607, 091891, 081804,   83.3,  102.5,
0300200605, 091891, 081542,  105.4,  145.5,
0310200416, 102191, 075430,  103.9,   25.4,
0310200415, 102191, 075327,  114.6,   80.1,
0310200413, 102191, 075154,  124.7,  127.0,
0310200412, 102191, 075100,  135.1,   75.2,
0310200518, 102191, 104230,    6.7,   34.2,
0310200515, 102191, 104021,   27.0,   31.3,
0310200512, 102191, 103810,   46.5,   34.2,
0310200511, 102191, 103710,   61.3,   15.6,
0310200510, 102191, 103606,   76.8,   22.5,
0310200508, 102191, 103421,   97.4,   23.4,
0320201403, 120791, 173848,    7.9,   68.4,
0320201402, 120791, 173255,   13.2,   80.1,
0320201401, 120791, 172631,   23.2,   84.0,
0320201422, 120791, 180306,   33.3,   82.0,
0320201421, 120791, 180217,   43.4,   62.5,
0320201419, 120791, 175956,   49.8,   48.8,
0320201418, 120791, 175914,   70.4,   35.2,
0320201416, 120791, 175723,   88.1,   85.0,
0320201414, 120791, 175512,  108.3,   69.3,
0320201413, 120791, 175421,  124.5,   65.4,
0330200412, -00009, -00009,  107.2,   42.0,
0330200411, -00009, -00009,  115.5,  104.5,
0330200410, -00009, -00009,  126.7,  149.4,
0330200409, -00009, -00009,  135.9,  138.7,
0330200510, -00009, -00009,   26.3,   37.1,
0330200508, -00009, -00009,   46.7,   32.2,
0330200506, -00009, -00009,   77.4,   13.7,
0330200505, -00009, -00009,   87.9,   12.7,
0330200504, -00009, -00009,   96.7,   30.3,
0340201111, 021592, 094245,  108.6,   35.2,
0340201109, 021592, 094030,  127.4,   82.0,
0340201217, 021592, 130334,    5.6,   27.3,
0340201214, 021592, 130057,   29.9,   32.2,
0340201213, 021592, 125951,   37.6,   33.2,
0340201211, 021592, 125659,   63.9,   33.2,
0340201210, 021592, 125447,   77.3,   34.2,
0340201207, 021592, 125045,   92.5,   33.2,
0350200210, -00009, -00009,  126.7,   74.2,
0350200208, -00009, -00009,  136.8,   77.1,
0350200311, -00009, -00009,    7.2,   75.2,
0350200310, -00009, -00009,   17.3,   80.1,
0350200308, -00009, -00009,   37.2,   59.6,
0350200307, -00009, -00009,   47.3,   55.7,
0350200306, -00009, -00009,   61.3,   57.6,
0350200304, -00009, -00009,   87.9,   62.5,
0360200521, -00009, -00009,    8.2,  107.4,
0360200518, -00009, -00009,   29.5,   91.8,
0360200516, -00009, -00009,   48.7,   67.4,
0360200515, -00009, -00009,   62.6,   44.9,
0360200514, -00009, -00009,   78.5,   60.5,
0360200513, -00009, -00009,   88.8,   63.5,
0360200512, -00009, -00009,   99.2,   65.4,
0360200511, -00009, -00009,  109.3,   65.4,
0360200510, -00009, -00009,  119.6,   85.9,
0360200509, -00009, -00009,  128.3,  115.2,
0360200508, -00009, -00009,  138.2,  143.5,
0370200423, 060992, 071802,    4.6,   86.9,
0370200421, 060992, 071608,   14.6,   67.4,
0370200420, 060992, 071444,   24.7,   71.3,
0370200418, 060992, 071302,   34.6,   57.6,
0370200417, 060992, 071144,   44.8,   23.4,
0370200416, 060992, 071021,   59.6,   36.1,
0370200414, 060992, 070726,   84.9,   57.6,
0370200413, 060992, 070602,   94.9,   80.1,
0370200411, 060992, 070317,  113.4,  108.4,
0370200410, 060992, 070139,  124.5,  126.9,
0370200408, 060992, 065839,  148.3,  248.0,
0380200622, 070592, 083712,    8.6,   16.6,
0380200620, 070592, 083559,   17.3,   19.5,
0380200618, 070592, 083455,   28.4,   25.4,
0380200617, 070592, 083414,   38.4,    4.9,
0380200616, 070592, 083332,   48.5,    5.9,
0380200609, 070592, 082709,  129.3,   51.8,
0390201218, 080692, 090714,  128.8,  140.6,
0390201316, 080692, 112648,    9.9,  105.5,
0390201315, 080692, 112636,   10.0,  108.4,
0390201312, 080692, 112443,   31.1,  114.3,
0390201311, 080692, 112430,   31.0,   93.8,
0390201310, 080692, 112346,   40.3,   94.7,
0390201309, 080692, 112307,   49.3,   79.1,
0390201308, 080692, 112220,   64.8,   82.0,
0400200622, -00009, -00009,    5.8,   21.5,
0400200621, -00009, -00009,   15.6,   28.3,
0400200620, -00009, -00009,   25.4,   26.4,
0400200618, -00009, -00009,   35.4,   19.5,
0400200617, -00009, -00009,   45.4,   28.3,
