Hawaii Ocean Time-series : 07-Sep-2023 04:12:37
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, psi, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0760201211, 100396, 005435,    4.8,  12.80,
0760201210, 100396, 005327,   24.3,  15.15,
0760201209, 100396, 005215,   44.4,  41.79,
0760201208, 100396, 005059,   74.4,   9.73,
0760201207, 100396, 004949,   99.2,  10.22,
0760201206, 100396, 004831,  124.3,  25.15,
0760201205, 100396, 004715,  148.8,   8.84,
0800201214, 021997, 005639,    4.6,   0.85,
0800201213, 021997, 005503,   25.3,   0.92,
0800201212, 021997, 005345,   49.8,   4.47,
0800201211, 021997, 005218,   75.2,   4.40,
0800201210, 021997, 005036,  100.2,   7.06,
0800201209, 021997, 004922,  124.4,   7.48,
0800201208, 021997, 004757,  149.8,  13.09,
0810201115, 031297, 214807,    4.5,   3.08,
0810201114, 031297, 214703,   25.4,   2.05,
0810201113, 031297, 214549,   45.8,  11.59,
0810201112, 031297, 214431,   75.7,   9.33,
0810201111, 031297, 214327,  100.1,   8.52,
0810201110, 031297, 214227,  127.2,   0.55,
0830201116, 050797, 215009,    4.6,   4.17,
0830201115, 050797, 214859,   24.4,   4.60,
0830201114, 050797, 214745,   50.2,   2.77,
0830201113, 050797, 214645,   74.8,   0.00,
0830201112, 050797, 214539,   98.9,   0.00,
0830201111, 050797, 214437,  125.5,   3.29,
0840201110, 060497, 215206,    4.6,   8.97,
0840201109, 060497, 215040,   25.8,  23.06,
0840201108, 060497, 214916,   44.9,  20.81,
0840201107, 060497, 214742,   74.5,   6.34,
0840201106, 060497, 214622,   99.8,   7.70,
0840201105, 060497, 214424,  124.4,  10.90,
0840201104, 060497, 214238,  149.5,  39.81,
0850201111, 070997, 215243,    4.6,  17.68,
0850201110, 070997, 215129,   24.9,  21.33,
0850201109, 070997, 215027,   44.7,  20.60,
0850201108, 070997, 214917,   75.9,  24.19,
0850201107, 070997, 214807,  100.4,  11.66,
0850201106, 070997, 214659,  125.2,   8.14,
0860200710, 080297, 224649,    4.4,   3.12,
0860200708, 080297, 224441,   45.2,   8.64,
0860200707, 080297, 224317,   74.3,   0.65,
0860200706, 080297, 224213,   99.0,   8.46,
0860200705, 080297, 224055,  124.4,  13.27,
0860200704, 080297, 223949,  149.6,   3.04,
0910201012, 031998, 005845,    5.5,   3.89,
0910201011, 031998, 005717,   25.3,   2.48,
0910201010, 031998, 005553,   45.1,   4.19,
0910201009, 031998, 005423,   75.3,   9.62,
0910201008, 031998, 005303,  100.3,  13.94,
0910201007, 031998, 005143,  125.6,   7.26,
0920200923, 041598, 181154,    5.3,  76.32,
0920200919, 041598, 180738,   25.3,  30.02,
0920200914, 041598, 180208,   50.5,  24.30,
0920200911, 041598, 175830,   75.0,  24.27,
0920200908, 041598, 175436,  106.2,  24.42,
0920200906, 041598, 175150,  123.8,  53.22,
0920200905, 041598, 175026,  149.7,  34.17,
0930201112, 051498, 011554,    5.4,  20.95,
0930201111, 051498, 011413,   25.7,  74.42,
0930201110, 051498, 011250,   44.3,   8.56,
