Hawaii Ocean Time-series : 05-Sep-2023 03:23:28
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0010200312, 103188, 015704,    4.7,   0.91,
0010200311, 103188, 015529,   39.4,   1.11,
0010200310, 103188, 015401,   99.4,   1.50,
0010200705, 103188, 150832,   10.7,   0.52,
0010200704, 103188, 150658,   25.5,   0.71,
0010200703, 103188, 150517,   42.9,   0.31,
0010200702, 103188, 150335,   68.3,   0.91,
0010200701, 103188, 150129,  114.4,   1.70,
0010201111, 110188, 120733,   16.6,   0.71,
0010201110, 110188, 120612,   36.5,   0.71,
0010201109, 110188, 120440,   56.4,   0.71,
0010201108, 110188, 120300,   77.8,   1.11,
0010201107, 110188, 120127,   97.8,   1.70,
0010201106, 110188, 120000,  117.3,   1.50,
0010201105, 110188, 115843,  137.8,   2.10,
0020200411, 120288, 104126,   15.6,   0.05,
0020200410, 120288, 103231,   99.5,   1.22,
0020200409, 120288, 103002,  136.4,   1.82,
0020200510, 120288, 142015,    1.5,   1.03,
0020200509, 120288, 141852,   21.2,   1.03,
0020200508, 120288, 141745,   46.2,   0.05,
0020200507, 120288, 141647,   71.1,   1.03,
0020200506, 120288, 141521,   97.9,   1.03,
0020200505, 120288, 141354,  122.9,   2.01,
0020200504, 120288, 141204,  148.6,   2.21,
0020200811, 120288, 225346,    1.6,   1.42,
0020200810, 120288, 225240,   16.2,   1.42,
0020200809, 120288, 225126,   37.8,   1.42,
0020200808, 120288, 225026,   57.9,   1.22,
0020200807, 120288, 224941,   79.2,   1.42,
0020200806, 120288, 224846,   98.9,   1.56,
0020200805, 120288, 224756,  119.7,   2.01,
0020200804, 120288, 224703,  139.8,   2.99,
0030200212, 010889, 071857,   35.9,   1.33,
0030200312, 010889, 104034,   19.7,   0.93,
0030200311, 010889, 103714,  118.8,   1.91,
0030200410, 010889, 143637,    4.9,   0.93,
0030200409, 010889, 143356,   22.8,   0.93,
0030200408, 010889, 143232,   43.3,   1.33,
0030200407, 010889, 143045,   72.7,   1.13,
0030200406, 010889, 142841,   97.7,   1.23,
0030200405, 010889, 142715,  122.2,   0.73,
0030200404, 010889, 142546,  146.8,   0.93,
0030200612, 010989, 000336,    2.8,   0.93,
0030200611, 010989, 000035,   18.4,   0.93,
0030200610, 010889, 235717,   38.2,   1.13,
0030200609, 010889, 235445,   56.7,   1.33,
0030200608, 010889, 235244,   79.4,   1.13,
0030200607, 010889, 235041,   96.6,   1.13,
0030200606, 010889, 234853,  117.5,   0.93,
0030200605, 010889, 234611,  139.2,   1.13,
0040200112, 022789, 223252,    8.7,   1.32,
0040200111, 022789, 223105,   18.8,   0.93,
0040200110, 022789, 222926,   38.5,   0.73,
0040200109, 022789, 222811,   58.4,   0.73,
0040200108, 022789, 222651,   78.4,   1.12,
