Hawaii Ocean Time-series : 12-Sep-2023 23:56:22
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, atp, 
#, mmddyy, hhmmss, dbar, ng/kg, 
0010201305, 110188, 213534,    7.7,  24.64,
0010201304, 110188, 213102,   24.4,  23.96,
0010201303, 110188, 212612,   44.2,  26.10,
0010201302, 110188, 212052,   69.4,  31.71,
0010201409, 110288, 002415,  117.3,  15.59,
0020201111, 120388, 075333,    1.8,  23.82,
0020201110, 120388, 075138,   20.6,  60.64,
0020201109, 120388, 074806,   46.6,  42.67,
0020201108, 120388, 074634,   73.5,  39.89,
0020201107, 120388, 074515,   99.4,  42.24,
0020201106, 120388, 074358,  125.0,  15.80,
0020201105, 120388, 074253,  150.1,  10.01,
0020201104, 120388, 074135,  176.3,   7.06,
0030200812, 010989, 060005,    3.9,  26.57,
0030200811, 010989, 055741,   19.4,  27.85,
0030200810, 010989, 055635,   41.6,  26.88,
0030200809, 010989, 055504,   71.4,  28.11,
0030200808, 010989, 055348,  102.9,  22.83,
0030200807, 010989, 055205,  132.6,  18.74,
0030200806, 010989, 055104,  151.8,  10.30,
0030200805, 010989, 055002,  177.0,   6.99,
0040200812, 022889, 211837,    5.0,  29.96,
0040200811, 022889, 211652,   22.2,  42.74,
0040200810, 022889, 211542,   42.0,  41.35,
0040200809, 022889, 211414,   71.8,  29.97,
0040200808, 022889, 211234,  100.2,  24.49,
0040200807, 022889, 211106,  126.4,  19.35,
0040200806, 022889, 210941,  148.4,  12.43,
0040200805, 022889, 210812,  177.6,   8.48,
0050201612, 032989, 013558,   40.8,  44.09,
0050201611, 032989, 013329,   71.7,  46.59,
0050201610, 032989, 013210,   81.6,  38.75,
0050201609, 032989, 013033,   92.5,  36.41,
0050201608, 032989, 012906,  101.9,  37.96,
0050201607, 032989, 012749,  111.7,  27.38,
0050201606, 032989, 012623,  121.6,  24.89,
0050201605, 032989, 012510,  127.4,  20.85,
0050201604, 032989, 012401,  133.7,  17.80,
0050201603, 032989, 012213,  143.6,  17.99,
0050201602, 032989, 012040,  152.5,  10.65,
0060201512, 051989, 200317,    2.9,  19.35,
0060201511, 051989, 200054,   23.0,  29.28,
0060201510, 051989, 195932,   45.8,  38.92,
0060201509, 051989, 195805,   74.4,  32.09,
0060201508, 051989, 195609,  106.9,  41.98,
0060201507, 051989, 195458,  126.9,  15.80,
0060201506, 051989, 195340,  151.8,  14.68,
0060201505, 051989, 195228,  176.8,   7.87,
0080200912, 072989, 225401,    6.0,  38.99,
0080200911, 072989, 225242,   25.3,  37.13,
0080200910, 072989, 225134,   47.7,  31.06,
0080200909, 072989, 225012,   77.6,  62.83,
0080200908, 072989, 224858,  106.1,  24.37,
0080200907, 072989, 224742,  125.0,  18.22,
0080200906, 072989, 224632,  153.2,   8.26,
0080200905, 072989, 224511,  181.9,   6.66,
0090201212, 082489, 204857,  128.4,  15.61,
0090201211, 082489, 204722,  181.1,   7.26,
0090201209, 082489, 204458,  181.0,   5.44,
0090201309, 082489, 235220,    3.6,  23.23,
0090201308, 082489, 235046,   27.0,  38.01,
0090201307, 082489, 234935,   46.7,  40.62,
0090201306, 082489, 234812,   78.2,  33.03,
0090201305, 082489, 234655,  105.8,  21.84,
0090201304, 082489, 234542,  130.7,  14.49,
0090201303, 082489, 234411,  157.8,   9.11,
0100200823, -00009, -00009,    5.8,  27.29,
0100200821, -00009, -00009,   25.8,  43.57,
0100200819, -00009, -00009,   48.3,  56.44,
0100200817, -00009, -00009,   78.1,  40.13,
0100200815, -00009, -00009,  105.0,  22.55,
0100200813, -00009, -00009,  130.0,  16.35,
0100200811, 092289, 222122,  156.8,   9.10,
0100200809, 092289, 221835,  182.4,   6.25,
0110200823, -00009, -00009,    5.7,  22.79,
0110200821, -00009, -00009,   25.6,  33.93,
0110200819, -00009, -00009,   45.3,  26.83,
0110200817, -00009, -00009,   77.1,  23.78,
0110200816, -00009, -00009,  101.8,  15.74,
0110200813, -00009, -00009,  130.2,   9.07,
0110200811, 101889, 212003,  155.2,   4.98,
0110200809, 101889, 211718,  180.0,   5.45,
0120200512, 112889, 181726,    4.6,  27.14,
0120200511, 112889, 181512,   26.6,  26.01,
0120200510, 112889, 181410,   47.4,  34.07,
0120200509, 112889, 181305,   78.0,  22.64,
0120200508, 112889, 181205,  104.0,  16.67,
0120200507, 112889, 181110,  129.0,  10.69,
0120200506, 112889, 181011,  155.2,   8.90,
0120200505, 112889, 180901,  179.9,   6.53,
0130200915, 010590, 205921,    3.7,  24.98,
0130200913, 010590, 205729,   24.7,  29.65,
0130200912, 010590, 205615,   46.1,  23.91,
0130200911, 010590, 205421,   75.7,  23.11,
0130200908, 010590, 205138,  126.6,  32.24,
0130200907, 010590, 205020,  155.1,  13.74,
0130200906, 010590, 204850,  180.9,   8.10,
0140200414, -00009, -00009,    6.5,  25.98,
0140200413, 021590, 082841,   26.5,  26.29,
0140200412, 021590, 082708,   46.4,  21.94,
0140200411, 021590, 082548,   75.7,  31.71,
0140200410, 021590, 082420,  101.8,  24.53,
0140200409, 021590, 082239,  128.8,  21.33,
0140200408, 021590, 082113,  155.8,  11.57,
0140200407, 021590, 081913,  179.0,   5.04,
0150201612, 032090, 210857,    6.5,  16.72,
0150201611, 032090, 210751,   26.5,  36.28,
0150201610, 032090, 210646,   47.2,  40.15,
0150201608, 032090, 210423,  102.8,  32.02,
0150201606, 032090, 210135,  156.4,  19.89,
0150201605, 032090, 210017,  182.6,  11.90,
0150201703, 032090, 233147,   74.4,  45.01,
0150201702, 032090, 233013,  126.4,  42.93,
0160201014, 041390, 191414,    6.2,  36.32,
0160201013, 041390, 191330,   10.3,  43.69,
0160201012, 041390, 191221,   25.0,  43.51,
0160201011, 041390, 191118,   46.7,  43.54,
0160201010, 041390, 190955,   76.6,  46.06,
0160201009, 041390, 190834,  103.1,  34.13,
0160201008, 041390, 190710,  128.1,  20.00,
0160201007, 041390, 190554,  152.7,  27.39,
