Hawaii Ocean Time-series : 08-Sep-2023 01:30:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chl3, 
#, mmddyy, hhmmss, dbar, ng/l, 
0020201007, 120388, 044507,   73.0,   2.0,
0020201006, 120388, 044413,   98.2,   4.0,
0040200608, 022889, 151314,    5.8,   6.0,
0040200607, 022889, 151025,   22.1,   3.0,
0040200606, 022889, 150904,   41.8,   7.0,
0040200605, 022889, 150732,   71.8,   6.0,
0040200604, 022889, 150544,   99.6,   9.0,
0040200603, 022889, 150425,  123.2,   6.0,
0040200602, 022889, 150248,  151.1,   3.0,
0040200601, 022889, 150127,  177.4,   1.0,
0050201612, 032989, 013558,   40.8,   6.0,
0050201611, 032989, 013329,   71.7,   8.0,
0050201610, 032989, 013210,   81.6,   8.0,
0050201609, 032989, 013033,   92.5,   8.0,
0050201608, 032989, 012906,  101.9,  10.0,
0050201607, 032989, 012749,  111.7,  14.0,
0050201606, 032989, 012623,  121.6,  27.0,
0050201605, 032989, 012510,  127.4,  16.0,
0050201604, 032989, 012401,  133.7,  14.0,
0050201603, 032989, 012213,  143.6,   9.0,
0050201602, 032989, 012040,  152.5,   8.0,
0060201812, 052089, 080700,   37.7,   2.0,
0060201811, 052089, 080520,   67.7,   3.0,
0060201810, 052089, 080417,   77.3,   3.0,
0060201809, 052089, 080306,   87.5,   4.0,
0060201808, 052089, 080153,   97.4,  41.0,
0060201807, 052089, 080037,  107.4,  28.0,
0060201806, 052089, 075934,  112.4,  25.0,
0060201805, 052089, 075811,  118.2,  22.0,
0060201804, 052089, 075639,  128.3,  17.0,
0060201803, 052089, 075448,  149.0,   6.0,
0060201802, 052089, 075238,  175.1,   1.0,
0080201812, 073189, 075904,    5.5,   5.0,
0080201811, 073189, 075612,   26.8,   5.0,
0080201810, 073189, 075424,   46.7,   9.0,
0080201809, 073189, 075155,   77.8,   9.0,
0080201808, 073189, 075028,   93.4,   9.0,
0080201807, 073189, 074912,  102.9,  17.0,
0080201806, 073189, 074718,  112.5,  14.0,
0080201805, 073189, 074544,  128.5,  11.0,
0080201804, 073189, 074333,  139.5,   9.0,
0080201803, 073189, 074200,  155.2,   5.0,
0080201802, 073189, 074031,  180.5,   2.0,
0090201712, 082589, 103716,    4.7,   1.0,
0090201711, 082589, 103519,   26.3,   2.0,
0090201710, 082589, 103403,   46.2,   6.0,
0090201709, 082589, 103235,   77.2,  11.0,
0090201708, 082589, 103132,   92.0,  12.0,
0090201707, 082589, 103017,  103.0,  17.0,
0090201706, 082589, 102922,  112.9,  13.0,
0090201705, 082589, 102800,  128.8,  13.0,
0090201704, 082589, 102656,  139.9,   9.0,
0090201703, 082589, 102545,  154.7,   6.0,
0090201702, 082589, 102408,  181.6,   3.0,
0100201723, -00009, -00009,    5.3,   1.0,
0100201721, -00009, -00009,   26.1,   1.0,
0100201719, -00009, -00009,   46.9,   2.0,
0100201717, -00009, -00009,   78.7,   8.0,
0100201715, -00009, -00009,   93.5,  14.0,
0100201713, -00009, -00009,  103.4,   8.0,
0100201820, -00009, -00009,  105.4,   8.0,
0100201817, -00009, -00009,  120.2,   8.0,
0100201814, 092489, 113735,  130.6,   7.0,
0100201811, 092489, 113123,  147.3,   2.0,
0100201808, 092489, 112534,  174.8,   1.0,
0110201217, 101989, 091247,   75.3,   3.0,
0110201216, 101989, 091139,   90.6,  10.0,
0110201214, 101989, 091021,  101.3,  13.0,
0110201212, 101989, 090906,  112.3,   9.0,
0110201210, 101989, 090742,  126.5,   5.0,
0110201208, 101989, 090625,  136.8,   2.0,
0110201206, 101989, 090453,  153.9,   1.0,
0110201204, 101989, 090311,  178.8,   1.0,
0120200118, 112889, 013100,    4.4,   1.0,
0120200115, 112889, 012752,   23.4,   2.0,
0120200112, 112889, 012445,   44.4,   2.0,
0120200108, 112889, 011928,   75.6,  14.0,
0120200105, 112889, 011539,  104.9,  10.0,
0120200103, 112889, 011323,  129.1,   5.0,
0120200102, 112889, 011149,  154.9,   2.0,
0120200101, 112889, 010946,  184.2,   2.0,
0140201623, -00009, -00009,   50.0,   4.0,
0140201622, -00009, -00009,   64.4,   8.0,
0140201620, -00009, -00009,   90.6,  29.0,
0140201610, 021790, 083122,  100.8,  26.0,
0140201609, 021790, 082834,  111.6,  23.0,
0140201608, 021790, 082730,  121.6,  20.0,
0140201607, 021790, 082643,  136.6,  14.0,
0140201606, 021790, 082544,  151.3,  12.0,
0140201605, 021790, 082446,  176.9,   1.0,
0150201308, 032090, 111202,    5.7,   5.0,
0150201307, 032090, 111054,   25.5,   3.0,
0150201306, 032090, 110939,   45.4,   4.0,
0150201305, 032090, 110819,   75.3,   6.0,
0150201304, 032090, 110704,   99.9,   6.0,
0150201303, 032090, 110538,  123.8,  18.0,
0150201302, 032090, 110412,  149.2,   9.0,
0150201301, 032090, 110240,  174.4,   7.0,
0160201514, 041490, 085840,    5.3,   2.0,
0160201513, 041490, 085752,   10.6,   3.0,
0160201512, 041490, 085707,   15.4,   4.0,
0160201511, 041490, 085559,   25.8,   2.0,
0160201510, 041490, 085438,   46.1,   4.0,
0160201509, 041490, 085313,   76.7,  12.0,
0160201508, 041490, 085151,  100.8,  10.0,
0160201507, 041490, 085026,  125.7,  10.0,
0160201506, 041490, 084843,  152.3,  14.0,
0160201505, 041490, 084733,  168.5,  12.0,
0160201504, 041490, 084629,  178.6,  16.0,
0160201502, 041490, 084325,  194.2,  18.0,
0170201416, 051090, 073340,    6.5,   2.0,
0170201414, 051090, 073145,   47.4,   1.0,
0170201413, 051090, 073041,   77.2,   4.0,
0170201412, 051090, 072946,   91.9,   6.0,
0170201411, 051090, 072900,  102.1,  17.0,
0170201410, 051090, 072810,  112.2,  26.0,
0170201408, 051090, 072623,  135.2,  22.0,
0170201407, 051090, 072449,  145.3,  17.0,
0170201406, 051090, 072358,  155.2,  17.0,
0170201405, 051090, 072245,  179.9,   6.0,
0180201418, 061490, 111354,    7.0,   2.0,
0180201417, 061490, 111239,   27.2,   2.0,
0180201414, 061490, 111022,   47.3,   5.0,
0180201413, 061490, 110854,   78.1,   6.0,
0180201412, 061490, 110745,   93.2,   7.0,
0180201411, 061490, 110652,  102.6,  24.0,
0180201410, 061490, 110550,  113.8,  20.0,
0180201409, 061490, 110454,  124.1,  16.0,
0180201408, 061490, 110353,  133.7,  11.0,
0180201407, 061490, 110258,  142.7,   7.0,
0180201406, 061490, 110156,  156.5,   4.0,
0180201405, 061490, 110033,  182.0,   2.0,
0190201410, 072690, 110809,    7.2,   3.0,
0190201409, 072690, 110647,   27.8,   4.0,
0190201408, 072690, 110535,   48.2,   5.0,
0190201407, 072690, 110407,   78.4,   8.0,
0190201406, 072690, 110145,  103.7,  14.0,
0190201405, 072690, 110006,  129.3,   9.0,
0190201404, 072690, 105804,  156.6,   7.0,
0190201403, 072690, 105602,  182.3,   4.0,
0220201223, 121990, 164049,    7.1,   4.0,
0220201222, 121990, 163952,   26.9,   4.0,
0220201221, 121990, 163903,   46.3,   3.0,
0220201220, 121990, 163758,   77.1,   3.0,
0220201219, 121990, 163657,  102.3,   9.0,
0220201215, 121990, 163400,  123.1,  18.0,
0220201209, 121990, 163001,  152.3,   6.0,
0220201205, 121990, 162637,  183.3,   1.0,
0230200515, 020391, 155405,    6.7,   4.0,
0230200514, 020391, 155301,   26.5,   2.0,
0230200513, 020391, 155201,   46.6,   4.0,
0230200512, 020391, 155029,   79.6,   7.0,
0230200511, 020391, 154920,  104.2,  15.0,
0230200510, 020391, 154811,  113.5,  19.0,
0230200509, 020391, 154715,  119.5,  19.0,
0230200507, 020391, 154559,  130.5,  15.0,
0230200506, 020391, 154342,  162.4,   7.0,
0240200723, 030891, 224749,    4.5,   2.0,
0240200722, 030891, 224618,   31.1,   6.0,
0240200721, 030891, 224450,   49.6,   6.0,
0240200720, 030891, 224313,   72.9,  18.0,
0240200719, 030891, 224152,  101.7,  14.0,
0240200717, 030891, 223903,  124.6,  19.0,
0240200716, 030891, 223721,  139.5,   8.0,
0240200713, 030891, 223322,  156.0,   3.0,
0240200712, 030891, 223201,  179.9,   2.0,
0250201317, 041191, 094900,    8.2,   4.0,
0250201316, 041191, 094719,   27.7,   6.0,
0250201315, 041191, 094611,   46.9,   9.0,
0250201314, 041191, 094443,   76.9,   4.0,
0250201312, 041191, 094302,   92.1,   8.0,
0250201311, 041191, 094209,  102.2,   9.0,
0250201308, 041191, 094043,  107.2,  16.0,
0250201307, 041191, 093956,  117.0,  19.0,
0250201306, 041191, 093800,  131.4,  14.0,
0250201305, 041191, 093707,  140.5,  11.0,
0250201304, 041191, 093601,  155.7,   5.0,
0250201303, 041191, 093443,  181.0,   2.0,
0260200722, 050991, 122528,   25.4,   2.0,
0260200721, 050991, 122420,   47.7,   3.0,
0260200720, 050991, 122246,   80.5,   4.0,
0260200719, 050991, 122028,  104.5,   8.0,
0260200718, 050991, 121830,  113.5,   7.0,
0260200716, 050991, 121705,  125.7,   3.0,
0260200714, 050991, 121527,  134.9,  11.0,
0260200713, 050991, 121435,  138.9,  14.0,
0260200712, 050991, 121344,  140.6,  20.0,
0260200709, 050991, 121247,  140.8,  21.0,
0260200708, 050991, 121058,  143.0,  20.0,
0260200707, 050991, 120937,  152.2,  20.0,
0260200703, 050991, 120355,  179.9,  10.0,
0260200923, 050991, 213430,    6.7,   4.0,
0260200922, 050991, 213332,   21.1,   5.0,
0260200921, 050991, 213246,   27.1,   5.0,
0260200920, 050991, 213157,   31.7,   3.0,
0260200919, 050991, 213105,   36.2,   5.0,
0260200918, 050991, 213000,   40.8,   8.0,
0260200917, 050991, 212810,   47.8,   3.0,
0260200916, 050991, 212702,   52.8,   5.0,
0260200915, 050991, 212516,   57.6,   5.0,
0260200913, 050991, 212253,   73.6,   5.0,
0260200912, 050991, 212154,   79.4,   9.0,
0260200911, 050991, 212041,   94.5,  13.0,
0260200910, 050991, 211946,  104.4,   8.0,
0280200617, 071091, 105929,    8.8,   4.0,
0280200616, 071091, 105829,   28.1,   3.0,
0280200615, 071091, 105727,   50.0,   4.0,
0280200614, 071091, 105630,   77.5,   6.0,
0280200613, 071091, 105544,   98.0,   9.0,
0280200612, 071091, 105447,  110.0,   7.0,
0280200611, 071091, 105335,  120.2,  11.0,
0280200607, 071091, 105202,  130.9,   7.0,
0280200606, 071091, 105100,  139.0,   6.0,
0280200605, 071091, 104952,  154.7,   4.0,
0280200604, 071091, 104951,  181.7,   2.0,
0280201623, 071291, 064107,   24.0,   7.0,
0280201622, 071291, 064041,   23.9,   6.0,
0280201617, 071291, 063652,   75.7,  17.0,
0280201614, 071291, 063435,  100.1,  13.0,
0280201613, 071291, 063411,  100.7,  13.0,
0280201611, 071291, 063235,  119.7,  22.0,
0280201610, 071291, 063209,  120.1,  16.0,
0280201607, 071291, 062937,  155.8,   3.0,
0280201606, 071291, 062902,  155.4,   4.0,
0290201214, 081191, 072934,    5.8,   3.0,
0290201212, 081191, 072739,   49.4,   3.0,
0290201211, 081191, 072633,   77.2,   4.0,
0290201210, 081191, 072533,  101.8,   7.0,
0290201209, 081191, 072446,  111.8,  16.0,
0290201208, 081191, 072405,  117.0,  27.0,
0290201206, 081191, 072219,  131.2,  18.0,
0290201205, 081191, 072107,  155.1,  15.0,
0290201204, 081191, 071952,  184.1,   6.0,
0300201515, 091991, 095901,   13.5,   5.0,
0300201512, 091991, 095716,   33.1,   2.0,
0300201511, 091991, 095701,   32.8,   5.0,
0300201510, 091991, 095600,   52.2,   6.0,
0300201509, 091991, 095443,   81.6,  11.0,
0300201508, 091991, 095327,  107.2,  14.0,
0300201507, 091991, 095310,  107.3,  11.0,
0300201506, 091991, 095151,  132.5,   6.0,
0300201503, 091991, 094710,  186.2,   6.0,
0320201820, 120891, 071943,    5.5,   4.0,
0320201819, 120891, 071821,   24.8,   4.0,
0320201818, 120891, 071757,   24.8,   4.0,
0320201817, 120891, 071655,   45.1,   3.0,
0320201816, 120891, 071525,   75.0,   3.0,
0320201815, 120891, 071431,   90.9,   7.0,
0320201814, 120891, 071244,  100.8,  12.0,
0320201813, 120891, 071224,  101.1,  12.0,
0320201812, 120891, 071140,  111.2,   9.0,
0320201811, 120891, 071044,  126.2,  18.0,
0320201810, 120891, 070857,  152.7,   6.0,
0320201809, 120891, 070621,  171.4,   1.0,
0330201517, -00009, -00009,    7.0,   5.0,
0330201516, -00009, -00009,   26.3,   4.0,
0330201515, -00009, -00009,   26.3,   3.0,
0330201514, -00009, -00009,   45.6,   4.0,
0330201513, -00009, -00009,   76.3,  15.0,
0330201512, -00009, -00009,   81.5,  19.0,
0330201511, -00009, -00009,   86.4,  22.0,
0330201510, -00009, -00009,   91.4,  20.0,
0330201509, -00009, -00009,   96.5,  19.0,
0330201508, -00009, -00009,  101.5,  15.0,
0330201507, -00009, -00009,  101.3,  13.0,
0330201505, -00009, -00009,  126.4,  10.0,
0330201504, -00009, -00009,  152.7,   7.0,
0340201822, 021692, 085557,    7.3,   3.0,
0340201820, 021692, 085359,   27.6,   6.0,
0340201819, 021692, 085255,   47.6,   6.0,
0340201818, 021692, 085148,   77.7,  10.0,
0340201817, 021692, 085113,   82.9,  12.0,
0340201816, 021692, 085027,   88.6,  15.0,
0340201815, 021692, 084938,   93.5,  18.0,
0340201814, 021692, 084842,   98.6,  18.0,
0340201813, 021692, 084755,  103.3,  14.0,
0340201810, 021692, 084551,  126.8,   8.0,
0340201808, 021692, 084408,  146.9,   3.0,
0340201807, 021692, 084208,  175.1,   2.0,
0350200818, -00009, -00009,   13.8,   4.0,
0350200817, -00009, -00009,   26.4,   6.0,
0350200816, -00009, -00009,   46.6,   9.0,
0350200815, -00009, -00009,   79.1,   4.0,
0350200814, -00009, -00009,   91.3,   8.0,
0350200813, -00009, -00009,  100.6,   9.0,
0350200812, -00009, -00009,  105.7,  16.0,
0350200811, -00009, -00009,  110.5,  19.0,
0350200810, -00009, -00009,  115.4,  16.0,
