Hawaii Ocean Time-series : 05-Sep-2023 23:00:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, doc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200512, 012093, 100604,    9.1,  89.65,
0440200511, 012093, 100428,   24.7,  86.04,
0440200510, 012093, 100321,   35.6,  83.79,
0440200509, 012093, 100211,   45.3,  84.96,
0440200507, 012093, 095907,   75.5,  80.76,
0440200506, 012093, 095814,   86.1,  82.71,
0440200505, 012093, 095707,   95.3,  75.58,
0440200504, 012093, 095551,  104.0,  70.70,
0440200502, 012093, 095354,  130.4,  74.80,
0450200621, 021793, 071005,    5.1,  85.85,
0450200620, 021793, 070835,   14.9,  79.99,
0450200618, 021793, 070703,   24.3,  88.49,
0450200616, 021793, 070450,   45.4,  78.42,
0450200614, 021793, 070157,   74.3,  72.46,
0450200611, 021793, 065829,  104.7,  66.21,
0450200609, 021793, 065354,  124.5,  63.77,
0450200607, 021793, 065048,  151.5,  60.55,
0450200605, 021793, 064800,  175.4,  59.77,
0460200323, 041493, 071322,    3.8,  91.60,
0460200320, 041493, 071013,   26.0,  89.45,
0460200319, 041493, 070922,   34.9,  86.62,
0460200318, 041493, 070831,   44.4,  88.58,
0460200317, 041493, 070738,   60.2,  81.84,
0460200316, 041493, 070643,   75.5,  85.64,
0460200315, 041493, 070547,   85.4,  74.51,
0460200314, 041493, 070452,   95.9,  69.63,
0460200313, 041493, 070356,  104.9,  71.29,
0460200312, 041493, 070245,  115.0,  70.16,
0460200311, 041493, 070154,  125.0,  69.04,
0460200310, 041493, 070057,  134.9,  70.50,
0460200309, 041493, 065937,  150.4,  71.09,
0460200307, 041493, 065652,  176.2,  70.70,
0460200305, 041493, 065418,  196.2,  60.20,
0470200924, 052193, 020723,    6.5,  78.42,
0470200922, 052193, 020536,   14.8,  79.30,
0470200920, 052193, 020352,   24.5,  79.20,
0470200919, 052193, 020232,   34.9,  84.86,
0470200918, 052193, 020124,   45.0,  81.15,
0470200917, 052193, 015956,   55.1,  80.57,
0470200915, 052193, 015715,   85.0,  79.20,
0470200914, 052193, 015611,   95.3,  76.37,
0470200913, 052193, 015432,  106.3,  76.76,
0470200912, 052193, 015321,  116.4,  75.58,
0470200911, 052193, 015212,  124.5,  71.68,
0470200910, 052193, 015057,  134.8,  73.43,
0470200909, 052193, 014941,  150.1,  74.70,
0470200907, 052193, 014625,  176.4,  75.19,
0490200723, 091493, 063900,    5.4, 115.90,
0490200722, 091493, 063652,   15.6, 115.81,
0490200721, 091493, 063459,   25.6, 112.49,
0490200720, 091493, 063257,   36.7, 105.36,
0490200719, 091493, 063103,   46.6, 100.57,
0490200717, 091493, 062724,   61.4,  84.95,
0490200716, 091493, 062523,   76.2,  85.73,
0490200715, 091493, 062336,   86.5,  72.16,
0490200714, 091493, 062137,   96.4,  73.92,
0490200713, 091493, 061950,  105.9,  74.41,
0490200712, 091493, 061805,  116.2,  72.02,
0490200710, 091493, 061437,  125.6,  70.70,
0490200708, 091493, 061111,  136.3,  70.31,
0490200705, 091493, 060454,  177.7,  67.88,
0500200623, 102993, 074530,    7.1,  94.33,
0500200622, 102993, 074421,   17.2,  91.40,
0500200619, 102993, 074117,   37.3,  79.88,
0500200618, 102993, 074000,   48.4,  77.04,
0500200617, 102993, 073831,   58.5,  78.99,
0500200616, 102993, 073558,   80.3,  73.82,
0500200615, 102993, 073442,   78.9,  73.04,
0500200614, 102993, 073318,   93.4,  71.18,
0500200613, 102993, 073200,  105.2,  72.46,
0500200612, 102993, 073009,  117.8,  72.11,
0500200611, 102993, 072858,  118.7,  66.50,
0500200610, 102993, 072754,  125.0,  69.23,
0500200608, 102993, 072512,  138.4,  68.65,
0500200607, 102993, 072336,  148.9,  59.47,
0500200606, 102993, 072201,  163.4,  55.91,
0500200605, 102993, 072023,  176.8,  56.55,
0500200603, 102993, 071650,  197.4,  56.26,
0510200422, 012094, 091215,    7.5,  74.31,
0510200421, 012094, 091156,   17.1,  73.73,
0510200419, 012094, 090954,   27.3,  72.85,
0510200418, 012094, 090940,   36.7,  78.22,
0510200416, 012094, 090726,   62.9,  87.69,
0510200415, 012094, 090613,   76.6,  79.39,
0510200414, 012094, 090504,   85.8,  67.87,
0510200413, 012094, 090409,   96.1,  77.43,
0510200412, 012094, 090312,  106.4,  77.43,
0510200411, 012094, 090218,  114.6,  83.98,
0510200410, 012094, 090118,  125.7,  83.30,
0510200409, 012094, 090023,  136.4,  72.85,
0510200408, 012094, 085920,  153.1,  69.82,
0510200406, 012094, 085648,  168.8,  69.72,
0520200418, 021794, 040115,  174.9,  59.08,
0520200416, 021794, 035901,  199.0,  61.04,
0520200517, 021794, 065711,    4.8,  99.13,
0520200516, 021794, 065604,   15.0,  95.52,
0520200515, 021794, 065455,   25.4,  92.58,
0520200514, 021794, 065351,   35.0,  88.67,
0520200513, 021794, 065249,   44.9,  82.42,
0520200512, 021794, 065129,   61.4,  80.85,
0520200511, 021794, 065000,   77.8,  84.37,
0520200510, 021794, 064852,   85.6,  85.64,
0520200509, 021794, 064752,   95.4,  92.57,
0520200508, 021794, 064651,  106.1,  93.45,
0520200507, 021794, 064545,  114.4,  95.30,
0520200506, 021794, 064445,  125.5,  90.23,
0520200505, 021794, 064343,  135.2,  82.90,
0520200504, 021794, 064230,  150.4,  70.31,
0530200621, 030994, 060838,    4.6,  79.10,
0530200620, 030994, 060708,   14.9,  79.30,
0530200618, 030994, 060546,   25.2,  82.52,
0530200617, 030994, 060448,   36.8,  79.29,
0530200616, 030994, 060347,   45.5,  82.03,
0530200615, 030994, 060226,   60.1,  82.12,
0530200614, 030994, 060130,   75.0,  71.48,
0530200613, 030994, 060043,   83.3,  67.18,
0530200612, 030994, 055938,   95.2,  61.22,
0530200611, 030994, 055837,  104.9,  64.84,
0530200610, 030994, 055737,  115.9,  60.78,
0530200609, 030994, 055642,  125.8,  69.43,
0530200608, 030994, 055535,  135.0,  70.99,
0530200607, 030994, 055225,  149.2,  67.76,
0530200605, 030994, 055008,  174.7,  69.72,
0530201516, 031094, 085819,    4.5,  78.91,
0530201515, 031094, 085707,   24.4,  88.18,
0530201514, 031094, 085604,   44.5,  84.86,
0530201513, 031094, 085457,   74.7,  94.33,
0530201512, 031094, 085345,   99.4,  90.62,
0530201511, 031094, 085213,  124.6,  84.56,
0530201510, 031094, 085103,  141.0,  74.41,
0530201509, 031094, 085009,  145.1,  69.82,
0530201508, 031094, 084919,  150.0,  62.59,
