Hawaii Ocean Time-series : 12-Sep-2023 23:57:29
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, n2o, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0400201621, -00009, -00009,   26.0,   7.32,
0400201620, -00009, -00009,   58.9,   7.32,
0400201619, -00009, -00009,   90.1,   8.18,
0400201618, -00009, -00009,  100.2,   8.20,
0400201617, -00009, -00009,  110.3,   8.25,
0400201616, -00009, -00009,  114.7,   8.36,
0400201615, -00009, -00009,  119.8,   8.39,
0400201614, -00009, -00009,  125.0,   8.78,
0400201613, -00009, -00009,  130.4,   8.32,
0400201612, -00009, -00009,  135.2,   8.25,
0400201611, -00009, -00009,  139.5,   8.44,
0400201610, -00009, -00009,  145.4,   8.63,
0400201609, -00009, -00009,  152.0,   8.84,
0400201608, -00009, -00009,  154.3,   9.32,
0400201607, -00009, -00009,  162.4,   9.59,
0400201606, -00009, -00009,  172.8,   9.94,
0400201605, -00009, -00009,  193.8,  10.18,
0410201621, -00009, -00009,   24.5,   8.15,
0410201615, -00009, -00009,  109.3,   7.61,
0410201614, -00009, -00009,  114.2,   7.82,
0410201613, -00009, -00009,  119.3,   7.79,
0410201612, -00009, -00009,  124.3,   8.77,
0410201611, -00009, -00009,  130.6,   9.01,
0410201610, -00009, -00009,  134.7,   8.47,
0410201609, -00009, -00009,  139.8,   8.47,
0410201608, -00009, -00009,  144.9,   8.36,
0410201606, -00009, -00009,  154.3,   8.73,
0410201605, -00009, -00009,  164.2,   9.06,
0410201604, -00009, -00009,  173.9,  10.22,
0450201623, -00009, -00009,    5.7,   7.37,
0450201622, -00009, -00009,   29.8,   7.61,
0450201621, -00009, -00009,   55.5,   7.46,
0450201620, -00009, -00009,   81.0,   8.02,
0450201619, -00009, -00009,   90.4,   6.88,
0450201618, 021893, 114557,  110.3,   7.24,
0450201617, 021893, 114351,  121.2,   7.84,
0450201616, 021893, 114205,  130.7,   9.46,
0450201614, 021893, 113917,  155.6,   8.78,
0450201613, 021893, 113818,  162.2,   8.42,
0450201612, 021893, 113723,  174.0,  10.23,
0500201524, 103093, 114215,    6.4,   7.74,
0500201521, 103093, 113853,   46.1,   7.92,
0500201519, 103093, 113621,   75.4,   8.35,
0500201517, 103093, 113331,   95.9,   7.73,
0500201516, 103093, 113227,  105.8,   8.31,
0500201515, 103093, 113120,  115.9,   8.72,
0500201514, 103093, 113012,  125.8,   8.50,
0500201513, 103093, 112904,  134.9,   9.39,
0500201512, 103093, 112800,  144.8,  10.35,
