Hawaii Ocean Time-series : 11-Aug-2023 02:31:37
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, no2, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0100201417, -00009, -00009,    8.2,    0.0,
0100201414, -00009, -00009,   27.0,    1.2,
0100201412, -00009, -00009,   47.9,    0.2,
0100201410, 092389, 201241,   78.4,    0.4,
0100201408, 092389, 201117,  104.5,    2.5,
0100201406, 092389, 201013,  129.2,  129.9,
0100201404, 092389, 200736,  155.9,   42.7,
0100201402, 092389, 200519,  181.0,   14.8,
0110201612, 101989, 214425,   86.7,    2.9,
0110201611, 101989, 214344,   96.5,    6.8,
0110201610, 101989, 214309,  106.4,  108.4,
0110201609, 101989, 214234,  116.8,  193.3,
0110201608, 101989, 214149,  129.7,  102.5,
0110201607, 101989, 214059,  153.9,   31.2,
0120200613, 112889, 203245,    5.8,    0.2,
0120200612, 112889, 203153,   25.3,    1.4,
0120200611, 112889, 203109,   45.6,    0.8,
0120200610, 112889, 203027,   61.6,    0.2,
0120200609, 112889, 202949,   76.5,    0.4,
0120200608, 112889, 202912,   86.6,    0.7,
0120200607, 112889, 202834,   96.3,   42.7,
0120200606, 112889, 202758,  106.7,  131.0,
0120200605, 112889, 202715,  119.6,   65.5,
0120200604, 112889, 202629,  130.6,   48.5,
0120200603, 112889, 202534,  155.4,   30.2,
0120200602, 112889, 202436,  181.5,   12.4,
0130200414, 010590, 050844,   14.3,    0.4,
0130200412, 010590, 050628,   34.0,    0.1,
0130200411, 010590, 050532,   45.8,    0.3,
0130200410, 010590, 050424,   60.0,    0.5,
0130200409, 010590, 050321,   75.5,    0.3,
0130200408, 010590, 050156,   85.6,    1.8,
0130200407, 010590, 050059,   95.1,   51.2,
0130200406, 010590, 045956,  105.9,   93.3,
0130200405, 010590, 045822,  117.3,  176.7,
0130200404, 010590, 045652,  126.9,   19.7,
0130200403, 010590, 045410,  136.8,   16.2,
0140201222, 021690, 174024,   14.0,    1.9,
0140201220, 021690, 173834,   34.9,   15.9,
0140201217, 021690, 173556,   75.6,   55.0,
0140201216, 021690, 173508,   85.3,   49.4,
0140201215, 021690, 173419,   96.4,  168.4,
0140201214, 021690, 173327,  105.9,  117.4,
0140201213, 021690, 173238,  115.6,  137.8,
0140201212, 021690, 173151,  125.4,  138.5,
0140201211, 021690, 173058,  135.7,   82.8,
0140201210, 021690, 172959,  151.0,   54.1,
0150200622, 031990, 082816,  126.9,   34.3,
0150200621, 031990, 082706,  137.2,  110.5,
0150200620, 031990, 082556,  151.7,   41.0,
0150200618, 031990, 082356,  177.8,   27.5,
0150200713, 031990, 114727,    5.6,    0.0,
0150200710, 031990, 114432,   35.1,    0.0,
0150200707, 031990, 114116,   75.1,    0.7,
0150200705, 031990, 113852,   99.0,    1.5,
0160200623, 041390, 061646,   81.5,    0.0,
0160200622, 041390, 061446,  117.3,   20.5,
0160200621, 041390, 061327,  128.7,   10.7,
0160200620, 041390, 061157,  137.0,   72.3,
0160200619, 041390, 061027,  152.2,  139.6,
0160200618, 041390, 060917,  162.4,  145.5,
0160200617, 041390, 060801,  178.8,   93.7,
0160200616, 041390, 060623,  190.6,   72.3,
0160200714, 041390, 091344,    6.3,    4.6,
0160200710, 041390, 091046,   36.9,    0.2,
0160200708, 041390, 090901,   61.8,    0.6,
