Hawaii Ocean Time-series : 07-Sep-2023 21:39:02
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, p15n, 
#, mmddyy, hhmmss, dbar, permil, 
1150200323, 052300, 225132,    4.3,  -0.19,
1150200321, 052300, 225017,   24.2,  -0.36,
1150200320, 052300, 224922,   43.9,  -0.49,
1150200315, 052300, 224712,   74.6,  -0.44,
1150200313, 052300, 224557,   99.2,   0.67,
1150200311, 052300, 224422,  124.1,   0.22,
1150200307, 052300, 224222,  148.5,   2.83,
1150200305, 052300, 224007,  175.8,   3.94,
1160200424, 062000, 224735,    3.9,  -1.19,
1160200420, 062000, 224530,   29.6,  -0.40,
1160200416, 062000, 224325,   44.0,  -1.24,
1160200413, 062000, 224150,   74.0,  -0.98,
1160200411, 062000, 224034,   99.4,  -0.62,
1160200409, 062000, 223925,  123.6,   1.64,
1160200407, 062000, 223820,  149.1,   2.49,
1160200405, 062000, 223705,  174.2,   3.67,
1170200808, 072600, 195404,  124.2,   0.29,
1170200807, 072600, 195234,  148.2,   1.70,
1170200806, 072600, 195109,  175.2,   3.19,
1170201024, 072700, 015326,    4.4,  -1.28,
1170201020, 072700, 015140,   14.3,  -0.98,
1170201018, 072700, 015020,   24.3,  -1.16,
1170201010, 072700, 014531,   59.5,  -0.27,
1170201007, 072700, 014229,  104.3,  -0.11,
1170201004, 072700, 013941,  150.2,   2.81,
1180200412, 082200, 215155,    5.2,  -2.15,
1180200411, 082200, 215040,   25.3,  -1.14,
1180200410, 082200, 214940,   44.6,  -2.11,
1180200409, 082200, 214810,   74.2,  -1.87,
1180200408, 082200, 214656,  100.0,  -1.54,
1180200407, 082200, 214529,  125.0,   1.31,
1180200406, 082200, 214327,  149.7,   1.86,
1180200405, 082200, 214156,  175.6,   3.18,
1190200416, 101800, 005953,    4.6,  -0.77,
1190200415, 101800, 005843,   24.9,  -0.71,
1190200410, 101800, 005704,   45.3,  -1.03,
1190200409, 101800, 005603,   74.4,  -0.11,
1190200408, 101800, 005453,   99.1,  -0.34,
1190200407, 101800, 005353,  124.4,   1.98,
1190200406, 101800, 005253,  148.8,   3.20,
1190200405, 101800, 005143,  175.8,   5.35,
1200200519, 113000, 040611,    4.7,   0.63,
1200200517, 113000, 040427,   24.7,   0.26,
1200200515, 113000, 040257,   44.6,  -0.18,
1200200513, 113000, 040057,   74.8,  -0.18,
1200200511, 113000, 035911,  100.3,   0.68,
1200200510, 113000, 035743,  125.2,   0.96,
1200200508, 113000, 035452,  174.2,   6.07,
1200200507, 113000, 035326,  199.2,   5.55,
1210200617, 122000, 035534,    4.3,   0.62,
1210200616, 122000, 035352,   23.9,   0.31,
1210200615, 122000, 035219,   44.6,   0.24,
1210200614, 122000, 035040,   74.7,  -0.74,
1210200613, 122000, 034859,   98.7,   0.09,
1210200612, 122000, 034731,  124.1,   1.18,
1210200611, 122000, 034424,  150.9,   3.81,
1210200610, 122000, 034242,  175.4,   5.04,
1220201015, 011701, 185631,    3.9,   0.02,
1220201014, 011701, 185532,   24.0,  -0.10,
1220201013, 011701, 185432,   43.8,   0.01,
1220201012, 011701, 185332,   73.3,  -0.34,
1220201011, 011701, 185227,  100.3,  -0.18,
1220201010, 011701, 185132,  122.8,   0.28,
1220201009, 011701, 185027,  149.7,   3.21,
1220201008, 011701, 184932,  174.6,   4.74,
1220201007, 011701, 184832,  199.0,   5.99,
1230200418, 021501, 053329,   24.4,  -0.72,
1230200417, 021501, 053230,   44.6,  -0.61,
1230200415, 021501, 053109,   74.0,  -0.77,
1230200414, 021501, 053004,   99.0,   0.41,
1230200413, 021501, 052849,  125.4,   2.96,
1230200412, 021501, 052739,  148.5,   4.73,
1230200409, 021501, 052604,  174.9,   4.41,
1230200407, 021501, 052435,  199.3,   5.42,
1240200419, 032101, 130658,   75.4,  -0.76,
