Hawaii Ocean Time-series : 07-Sep-2023 04:06:15
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
2360200621, 110511, 065107,    4.8,   18.3,
2360200619, 110511, 064957,   24.4,   14.2,
2360200617, 110511, 064852,   44.3,   17.0,
2360200615, 110511, 064738,   76.2,   16.1,
2360200613, 110511, 064627,   99.6,    8.5,
2360200611, 110511, 064517,  124.3,    6.9,
2360200610, 110511, 064413,  149.0,    6.6,
2360200607, 110511, 064257,  173.5,    4.4,
2360200606, 110511, 064142,  199.8,    6.3,
2370200321, 112911, 055859,    4.9,   17.7,
2370200319, 112911, 055733,   25.8,   16.1,
2370200315, 112911, 055434,   76.3,   16.4,
2370200313, 112911, 055302,  100.4,   16.4,
2370200311, 112911, 055131,  124.4,   22.7,
2370200309, 112911, 055008,  152.2,    6.3,
2370200307, 112911, 054832,  174.2,    6.0,
2370200306, 112911, 054659,  195.0,    6.0,
2380200522, 122011, 032354,    4.7,   16.4,
2380200521, 122011, 032142,   24.2,   15.1,
2380200520, 122011, 032008,   45.0,   16.1,
2380200519, 122011, 031807,   74.8,   13.9,
2380200518, 122011, 031608,  101.5,   15.4,
2380200517, 122011, 031428,  123.9,   11.0,
2380200515, 122011, 031228,  149.5,    4.7,
2380200514, 122011, 031028,  174.5,    4.4,
2390200614, 011912, 032601,    5.3,   16.1,
2390200613, 011912, 032441,   24.5,   10.4,
2390200612, 011912, 032331,   45.3,   15.4,
2390200611, 011912, 032215,   73.4,   14.5,
2390200610, 011912, 032055,   99.8,   12.9,
2390200609, 011912, 031936,  126.3,   10.7,
2390200608, 011912, 031811,  149.2,    6.0,
2390200607, 011912, 031650,  175.7,    4.4,
2400200617, 032612, 010931,    5.5,   14.5,
2400200615, 032612, 010511,   25.1,   13.6,
2400200614, 032612, 010337,   45.4,   15.4,
2400200613, 032612, 010146,   75.4,   14.2,
2400200612, 032612, 010023,   99.3,   12.9,
2400200611, 032612, 005842,  124.3,    7.6,
2400200610, 032612, 005706,  150.1,    1.6,
2400200609, 032612, 005536,  174.3,    1.6,
2400200608, 032612, 005412,  200.0,    0.6,
2410200514, 050212, 041645,    5.1,   14.8,
2410200513, 050212, 041509,   25.1,   14.2,
2410200512, 050212, 041345,   46.1,   18.9,
2410200511, 050212, 041200,   76.1,   14.2,
2410200509, 050212, 040845,  125.1,   12.0,
2410200508, 050212, 040705,  149.8,    7.6,
2410200507, 050212, 040525,  176.5,    6.0,
2420200521, 053112, 042102,    5.5,   14.2,
2420200519, 053112, 041917,   25.4,   16.1,
2420200517, 053112, 041747,   44.5,   17.0,
2420200515, 053112, 041557,   74.6,   15.4,
2420200513, 053112, 041402,  100.6,   17.0,
2420200511, 053112, 041228,  125.2,   11.3,
2420200509, 053112, 041037,  150.8,   10.1,
2420200507, 053112, 040857,  175.9,    7.3,
2430200521, 062712, 072827,    5.7,    8.2,
2430200519, 062712, 072524,   25.6,   16.4,
2430200517, 062712, 072304,   44.5,   19.2,
2430200515, 062712, 072058,   73.8,   11.7,
2430200513, 062712, 071900,  100.5,   14.2,
2430200511, 062712, 071729,  125.3,   13.6,
2430200509, 062712, 071548,  148.5,    7.3,
2430200507, 062712, 071403,  175.0,    5.7,
2430200506, 062712, 071236,  199.5,    5.4,
2440200614, 080112, 040246,   10.4,   15.1,
2440200613, 080112, 040112,   25.7,   15.4,
2440200612, 080112, 035947,   45.6,   16.7,
2440200611, 080112, 035807,   75.3,   18.9,
2440200610, 080112, 035617,  100.4,   17.0,
2440200609, 080112, 035452,  125.4,   12.9,
2440200608, 080112, 035312,  150.0,    9.5,
2440200607, 080112, 035132,  175.0,    7.3,
2450200514, 081812, 040104,    5.4,   16.7,
2450200513, 081812, 035915,   25.4,   17.7,
2450200512, 081812, 035740,   45.2,   20.2,
2450200511, 081812, 035600,   75.4,   18.6,
2450200510, 081812, 035404,  100.1,   13.2,
2450200509, 081812, 035230,  125.0,   14.5,
2450200508, 081812, 035110,  150.5,   11.3,
2450200507, 081812, 034935,  175.2,    7.9,
2460200515, 091512, 040732,   25.2,   15.4,
2460200514, 091512, 040540,   45.3,   15.1,
2460200513, 091512, 040324,   74.9,   17.3,
2460200512, 091512, 040133,  100.3,   12.9,
2460200509, 091512, 035901,  125.4,   11.0,
2460200508, 091512, 035711,  150.5,    8.5,
2460200507, 091512, 035532,  175.5,    6.9,
2470200522, 100812, 041231,    5.3,   17.0,
2470200520, 100812, 041032,   25.4,   16.1,
2470200518, 100812, 040907,   45.6,   16.1,
2470200516, 100812, 040717,   74.7,   17.7,
2470200514, 100812, 040543,  100.3,   13.2,
2470200512, 100812, 040407,  124.4,    9.1,
2470200510, 100812, 040233,  149.6,    6.0,
2470200508, 100812, 040053,  174.6,    5.4,
2480200524, 120412, 062021,    6.9,   14.8,
2480200516, 120412, 061741,   25.6,   14.8,
2480200515, 120412, 061617,   43.3,   13.2,
2480200514, 120412, 061432,   76.3,   14.8,
2480200513, 120412, 061311,  100.1,   13.2,
2480200512, 120412, 061141,  124.8,    9.8,
2480200508, 120412, 060931,  150.2,    7.3,
2480200507, 120412, 060747,  176.6,    5.7,
2490200517, 021313, 041249,    7.7,   16.1,
2490200515, 021313, 040929,   24.7,   16.1,
2490200514, 021313, 040749,   44.6,   16.7,
2490200513, 021313, 040549,   74.3,   13.6,
2490200512, 021313, 040359,  100.7,   12.6,
2490200511, 021313, 040208,  125.4,   12.0,
2490200509, 021313, 035929,  150.8,    8.5,
2490200508, 021313, 035739,  176.3,    6.0,
2500200615, 030713, 035958,    6.0,   15.8,
2500200614, 030713, 035738,   26.1,   14.5,
2500200613, 030713, 035608,   45.5,   14.5,
2500200612, 030713, 035419,   74.8,   15.4,
2500200611, 030713, 035238,  100.2,   11.3,
2500200610, 030713, 035058,  126.1,   10.4,
2500200609, 030713, 034918,  150.8,    8.8,
2500200608, 030713, 034738,  175.9,    6.0,
2510200522, 040613, 040246,    5.3,   14.8,
2510200521, 040613, 040116,   25.9,   16.4,
2510200519, 040613, 035926,   45.8,   14.5,
2510200518, 040613, 035726,   75.7,   14.5,
2510200517, 040613, 035536,  101.0,   12.9,
2510200516, 040613, 035336,  125.5,   10.7,
2510200514, 040613, 035126,  150.9,    7.6,
2510200512, 040613, 034926,  175.8,    7.2,
2520200624, 051813, 040340,    7.1,   14.5,
2520200617, 051813, 040029,   25.3,   12.9,
2520200616, 051813, 035909,   46.0,   15.1,
2520200615, 051813, 035800,   74.6,   15.1,
2520200614, 051813, 035649,  100.8,   13.6,
2520200613, 051813, 035539,  124.9,   10.4,
2520200612, 051813, 035429,  149.2,    8.5,
2520200611, 051813, 035319,  174.7,    6.9,
2530200622, 062613, 040758,    6.9,   15.8,
2530200621, 062613, 040508,   25.5,   14.2,
2530200620, 062613, 040348,   45.5,   14.8,
2530200619, 062613, 040218,   74.6,   17.3,
2530200618, 062613, 040058,  100.5,   16.4,
2530200617, 062613, 035908,  125.7,   14.5,
2530200616, 062613, 035738,  149.9,   12.0,
2530200615, 062613, 035608,  176.3,    6.9,
2540200514, 091213, 040643,    7.3,   12.3,
2540200513, 091213, 040423,   25.6,   16.4,
2540200512, 091213, 040318,   45.9,   11.3,
2540200511, 091213, 040154,   74.9,   16.4,
2540200510, 091213, 040023,  100.4,   12.3,
2540200508, 091213, 035703,  149.2,    6.0,
2540200507, 091213, 035529,  176.2,    4.7,
2550200522, 100213, 041733,    7.0,   19.9,
2550200521, 100213, 041533,   24.9,   18.6,
2550200520, 100213, 041413,   44.9,   16.7,
2550200519, 100213, 041242,   75.0,   16.4,
2550200518, 100213, 041122,  101.6,   12.3,
2550200517, 100213, 040952,  126.2,    8.5,
2550200516, 100213, 040832,  150.2,    5.0,
2550200515, 100213, 040723,  174.5,    4.7,
2560200522, 102813, 040526,    7.0,   17.3,
2560200521, 102813, 040336,   25.7,   16.1,
2560200520, 102813, 040206,   45.2,   15.4,
2560200519, 102813, 040026,   75.8,   17.0,
2560200518, 102813, 035846,  100.0,   11.3,
2560200517, 102813, 035706,  125.5,    8.8,
2560200516, 102813, 035516,  150.2,    6.3,
2560200515, 102813, 035346,  175.2,    5.0,
2570200516, 112713, 032757,    5.9,   16.1,
2570200514, 112713, 032538,   25.2,   15.4,
2570200512, 112713, 032337,   44.9,   16.4,
2570200511, 112713, 032207,   75.1,   14.2,
2570200510, 112713, 032047,  100.9,    8.5,
2570200509, 112713, 031918,  125.1,    6.6,
2570200508, 112713, 031807,  149.8,    5.7,
