Hawaii Ocean Time-series : 12-Sep-2023 23:47:19
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
1750201021, 111205, 134034,    9.2,  2.094,
1750201018, 111205, 133734,   24.5,  2.125,
1750201015, 111205, 133544,   43.5,  2.112,
1750201012, 111205, 133259,   73.6,  2.044,
1750201008, 111205, 133019,   99.0,  0.834,
1750201005, 111205, 132804,  123.8,  0.356,
1750201004, 111205, 132619,  148.8,  0.152,
1750201003, 111205, 132418,  174.7,  0.078,
1760200920, 121305, 125600,    5.0,  2.021,
1760200917, 121305, 125334,   25.2,  1.425,
1760200914, 121305, 125146,   44.5,  1.790,
1760200911, 121305, 124942,   75.8,  2.077,
1760200908, 121305, 124734,  100.8,  1.135,
1760200905, 121305, 124556,  125.1,  0.562,
1760200904, 121305, 124420,  149.2,  0.209,
1760200903, 121305, 124244,  178.7,  0.035,
1770200320, 012506, 132448,    7.7,  1.952,
1770200317, 012506, 132157,   24.7,  1.991,
1770200314, 012506, 131959,   46.9,  1.977,
1770200311, 012506, 131758,   74.8,  1.908,
1770200308, 012506, 131559,  100.4,  1.840,
1770200305, 012506, 131408,  125.2,  2.127,
1770200304, 012506, 131220,  149.8,  0.616,
1770200303, 012506, 131018,  175.7,  0.089,
1780200920, 021506, 131134,   10.3,  2.192,
1780200917, 021506, 130904,   24.6,  2.299,
1780200914, 021506, 130739,   45.3,  2.303,
1780200911, 021506, 130604,   73.9,  1.192,
1780200909, 021506, 130447,  100.4,  0.339,
1780200906, 021506, 130306,  125.3,  0.115,
1780200904, 021506, 130144,  149.8,  0.023,
1780200903, 021506, 130019,  177.0,  0.004,
1790201220, 031006, 131146,    5.4,  1.983,
1790201217, 031006, 130949,   24.5,  2.029,
1790201214, 031006, 130803,   46.2,  2.087,
1790201211, 031006, 130627,   75.5,  2.095,
1790201208, 031006, 130505,   99.7,  2.015,
1790201205, 031006, 130340,  123.1,  1.611,
1790201204, 031006, 130218,  150.0,  0.346,
1790201203, 031006, 130033,  173.6,  0.039,
1800200920, 040206, 130244,    6.2,  2.263,
1800200917, 040206, 125949,   25.5,  2.966,
1800200914, 040206, 125800,   45.0,  2.281,
1800200911, 040206, 125554,   75.6,  1.905,
1800200908, 040206, 125353,  100.5,  1.040,
1800200905, 040206, 125204,  124.3,  0.351,
1800200904, 040206, 125035,  149.7,  0.117,
1800200903, 040206, 124844,  176.3,  0.043,
1810201022, 052706, 131051,    7.3,  1.646,
1810201019, 052706, 130801,   26.5,  1.870,
1810201016, 052706, 130621,   46.4,  2.029,
1810201013, 052706, 130451,   76.3,  1.358,
1810201010, 052706, 130321,  101.2,  0.775,
1810201007, 052706, 130139,  124.6,  0.460,
1810201006, 052706, 125950,  150.4,  0.223,
1810201005, 052706, 125745,  176.2,  0.030,
1820200822, 061406, 153316,    8.2,  2.356,
1820200819, 061406, 152904,   25.0,  2.081,
1820200816, 061406, 152730,   46.0,  2.571,
1820200813, 061406, 152544,   76.1,  2.468,
1820200810, 061406, 152349,  100.9,  2.785,
1820200807, 061406, 152205,  124.9,  0.855,
1820200806, 061406, 152039,  150.9,  0.321,
1820200805, 061406, 151919,  176.6,  0.043,
1830201013, 071306, 131634,   75.0,  2.727,
1830201010, 071306, 131411,  100.7,  1.369,
1830201007, 071306, 131159,  125.5,  0.184,
1830201006, 071306, 130929,  149.8,  0.058,
1830201005, 071306, 130714,  174.5,  0.045,
1840200922, 080906, 103440,    7.5,  1.378,
1840200919, 080906, 103026,   25.8,  1.293,
1840200916, 080906, 102548,   60.0,  2.274,
1840200913, 080906, 102140,   89.8,  1.997,
1840200910, 080906, 101740,  115.0,  0.435,
1840200907, 080906, 101245,  150.5,  0.136,
1840200906, 080906, 101111,  164.5,  0.050,
1840200905, 080906, 100950,  174.8,  0.035,
1850200920, 091606, 125620,    6.3,  2.163,
1850200917, 091606, 125435,   26.3,  2.384,
1850200914, 091606, 125242,   46.1,  2.634,
1850200911, 091606, 124927,   75.6,  2.499,
1850200908, 091606, 124725,  100.8,  2.453,
1850200905, 091606, 124537,  125.3,  0.699,
1850200904, 091606, 124409,  150.4,  0.120,
1850200903, 091606, 124235,  175.7,  0.018,
1860201820, 102106, 130025,    8.7,  1.862,
1860201817, 102106, 125740,   25.3,  2.088,
1860201814, 102106, 125526,   45.1,  2.891,
1860201811, 102106, 125331,   74.5,  2.799,
1860201808, 102106, 125040,  101.4,  1.801,
1860201805, 102106, 124840,  126.0,  0.449,
1860201804, 102106, 124650,  151.6,  0.272,
1860201803, 102106, 124511,  173.6,  0.067,
1870200920, 110906, 130815,    6.9,  2.002,
