Hawaii Ocean Time-series : 09-Aug-2023 23:54:04
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0220201407, 122090, 063251,  101.8,  0.633,
0220201403, 122090, 062911,  122.0,  0.289,
0220201401, 122090, 062707,  144.9,  0.077,
0220201509, 122090, 101403,    7.7,  1.704,
0220201506, 122090, 101056,   26.1,  1.610,
0220201504, 122090, 100904,   52.4,  1.100,
0220201503, 122090, 100742,   77.6,  1.026,
0230200515, 020391, 155405,    6.7,  1.748,
0230200514, 020391, 155301,   26.5,  1.603,
0230200513, 020391, 155201,   46.6,  2.129,
0230200512, 020391, 155029,   79.6,  1.466,
0230200511, 020391, 154920,  104.2,  1.292,
0230200510, 020391, 154811,  113.5,  0.925,
0230200509, 020391, 154715,  119.5,  0.664,
0230200507, 020391, 154559,  130.5,  0.557,
0230200506, 020391, 154342,  162.4,  0.149,
0230200504, 020391, 154159,  185.0,  0.000,
0240200723, 030891, 224749,    4.5,  1.993,
0240200722, 030891, 224618,   31.1,  2.112,
0240200721, 030891, 224450,   49.6,  2.184,
0240200720, 030891, 224313,   72.9,  0.916,
0240200719, 030891, 224152,  101.7,  0.595,
0240200717, 030891, 223903,  124.6,  0.372,
0240200716, 030891, 223721,  139.5,  0.189,
0240200714, 030891, 223433,  147.6,  0.031,
0240200713, 030891, 223322,  156.0,  0.076,
0240200712, 030891, 223201,  179.9,  0.072,
0250201317, 041191, 094900,    8.2,  1.791,
0250201316, 041191, 094719,   27.7,  1.877,
0250201315, 041191, 094611,   46.9,  1.849,
0250201314, 041191, 094443,   76.9,  2.244,
0250201312, 041191, 094302,   92.1,  1.926,
0250201311, 041191, 094209,  102.2,  1.597,
0250201308, 041191, 094043,  107.2,  1.060,
0250201307, 041191, 093956,  117.0,  0.730,
0250201306, 041191, 093800,  131.4,  0.280,
0250201305, 041191, 093707,  140.5,  0.191,
0250201304, 041191, 093601,  155.7,  0.059,
0250201303, 041191, 093443,  181.0,  0.017,
0260200722, 050991, 122528,   25.4,  1.620,
0260200721, 050991, 122420,   47.7,  1.580,
0260200720, 050991, 122246,   80.5,  1.846,
0270200720, 060591, 101708,    6.1,  2.175,
0270200714, 060591, 101422,   27.4,  2.035,
0270200713, 060591, 101244,   50.5,  2.080,
0270200712, 060591, 101127,   79.8,  2.019,
0270200711, 060591, 101017,  105.8,  1.282,
0270200710, 060591, 100853,  132.1,  0.572,
0270200708, 060591, 100744,  141.0,  0.285,
0270200706, 060591, 100611,  157.1,  0.098,
0270200705, 060591, 100502,  184.4,  0.037,
0280200617, 071091, 105929,    8.8,  1.077,
0280200616, 071091, 105829,   28.1,  0.530,
0280200615, 071091, 105727,   50.0,  1.770,
0280200614, 071091, 105630,   77.5,  2.018,
0280200613, 071091, 105544,   98.0,  0.227,
0280200612, 071091, 105447,  110.0,  1.883,
0280200611, 071091, 105335,  120.2,  0.167,
0280200607, 071091, 105202,  130.9,  0.074,
0280200606, 071091, 105100,  139.0,  0.024,
0280200605, 071091, 104952,  154.7,  0.005,
0290201214, 081191, 072934,    5.8,  1.521,
0290201213, 081191, 072840,   24.9,  1.605,
0290201212, 081191, 072739,   49.4,  1.986,
0290201211, 081191, 072633,   77.2,  2.417,
0290201210, 081191, 072533,  101.8,  2.093,
0290201209, 081191, 072446,  111.8,  2.059,
0290201208, 081191, 072405,  117.0,  1.662,
0290201207, 081191, 072317,  121.5,  0.953,
0290201206, 081191, 072219,  131.2,  0.200,
0290201205, 081191, 072107,  155.1,  0.174,
0290201204, 081191, 071952,  184.1,  0.028,
0300201515, 091991, 095901,   13.5,  1.945,
0300201512, 091991, 095716,   33.1,  2.312,
0300201510, 091991, 095600,   52.2,  2.450,
0300201509, 091991, 095443,   81.6,  1.886,
0300201507, 091991, 095310,  107.3,  0.497,
0300201506, 091991, 095151,  132.5,  0.218,
0300201504, 091991, 094958,  157.6,  0.081,
0300201503, 091991, 094710,  186.2,  0.024,
0310201320, 102291, 101003,    7.2,  1.486,
0310201317, 102291, 100756,   27.2,  1.568,
0310201315, 102291, 100629,   46.8,  1.796,
0310201314, 102291, 100531,   60.1,  1.882,
0310201313, 102291, 100429,   75.4,  1.585,
0310201312, 102291, 100329,   87.8,  0.785,
0310201310, 102291, 100200,  101.0,  0.475,
0310201309, 102291, 100107,  111.8,  0.308,
0310201308, 102291, 100011,  125.4,  0.001,
0310201307, 102291, 095829,  152.3,  0.106,
0310201306, 102291, 095743,  158.9,  0.063,
0360201423, -00009, -00009,    7.3,  0.573,
0360201422, -00009, -00009,   28.1,  1.422,
0360201421, -00009, -00009,   48.1,  1.560,
0360201420, -00009, -00009,   78.6,  1.465,
0360201419, -00009, -00009,  104.4,  0.661,
0360201418, -00009, -00009,  114.5,  0.541,
0360201417, -00009, -00009,  124.5,  0.525,
0360201416, -00009, -00009,  129.3,  0.431,
0360201414, -00009, -00009,  140.0,  0.249,
0360201413, -00009, -00009,  144.4,  0.176,
0360201412, -00009, -00009,  154.3,  0.132,
0360201410, -00009, -00009,  178.7,  0.008,
0370201217, 061092, 100258,    9.0,  1.063,
0370201216, 061092, 100159,   28.8,  1.504,
0370201215, 061092, 100047,   48.4,  1.651,
0370201214, 061092, 095915,   79.0,  1.256,
0370201213, 061092, 095757,  104.4,  0.796,
0370201212, 061092, 095701,  119.3,  0.703,
0370201211, 061092, 095620,  123.7,  0.650,
0370201210, 061092, 095521,  129.0,  0.622,
0370201209, 061092, 095429,  134.0,  0.480,
0370201208, 061092, 095324,  139.0,  0.450,
0370201207, 061092, 095206,  156.5,  0.216,
0370201206, 061092, 095010,  180.3,  0.065,
0380201619, 070692, 132331,    9.6,  1.240,
0380201618, 070692, 132226,   29.3,  0.810,
0380201617, 070692, 132136,   47.5,  1.161,
0380201616, 070692, 132037,   78.4,  1.410,
0380201614, 070692, 131905,   98.8,  0.984,
0380201613, 070692, 131821,  109.0,  0.520,
0380201612, 070692, 131741,  114.1,  0.424,
0380201611, 070692, 131702,  119.0,  0.363,
0380201610, 070692, 131623,  124.8,  0.335,
0380201609, 070692, 131540,  134.9,  0.198,
0380201608, 070692, 131444,  154.6,  0.075,
0380201607, 070692, 131332,  179.0,  0.021,
0390200517, 080592, 073823,    9.8,  1.106,
0390200516, 080592, 073723,   29.9,  1.363,
0390200514, 080592, 073611,   49.0,  1.345,
0390200513, 080592, 073516,   64.5,  1.150,
0390200512, 080592, 073413,   79.7,  1.093,
0390200511, 080592, 073326,   88.8,  0.971,
0390200510, 080592, 073231,  104.4,  0.741,
0390200509, 080592, 073124,  119.7,  0.492,
0390200508, 080592, 073032,  128.6,  0.315,
0390200507, 080592, 072935,  141.0,  0.225,
0390200506, 080592, 072818,  158.6,  0.141,
0390200505, 080592, 072657,  177.3,  0.087,
0400201514, -00009, -00009,   44.9,  1.251,
0400201513, -00009, -00009,   60.1,  1.369,
0400201512, -00009, -00009,   74.1,  1.460,
0400201511, -00009, -00009,   89.3,  1.371,
0400201510, -00009, -00009,   99.6,  1.296,
0400201509, -00009, -00009,  109.5,  0.979,
0400201508, -00009, -00009,  124.7,  0.700,
0400201507, -00009, -00009,  134.7,  0.304,
0400201506, -00009, -00009,  149.9,  0.215,
0400201505, -00009, -00009,  174.8,  0.002,
0420200512, -00009, -00009,    5.0,  1.337,
0420200511, -00009, -00009,   25.0,  1.411,
0420200510, -00009, -00009,   60.0,  1.362,
0420200509, -00009, -00009,   80.0,  1.397,
0420200508, -00009, -00009,   90.0,  0.536,
0420200507, -00009, -00009,  100.0,  0.462,
0420200506, -00009, -00009,  110.0,  0.197,
0420200505, -00009, -00009,  125.0,  0.045,
0420200504, -00009, -00009,  150.0,  0.013,
0420200503, -00009, -00009,  175.0,  0.000,
0430200212, -00009, -00009,    5.0,  1.560,
0430200210, -00009, -00009,   45.0,  1.494,
0430200209, -00009, -00009,   75.0,  1.505,
0430200208, -00009, -00009,   90.0,  1.275,
0430200207, -00009, -00009,  100.0,  0.793,
0430200206, -00009, -00009,  110.0,  0.507,
0430200205, -00009, -00009,  120.0,  0.293,
0430200204, -00009, -00009,  130.0,  0.215,
0430200203, -00009, -00009,  140.0,  0.164,
0430200202, -00009, -00009,  150.0,  0.145,
0440201312, 012193, 114728,    5.2,  1.943,
0440201311, 012193, 114612,   24.7,  1.962,
0440201310, 012193, 114512,   43.4,  2.005,
0440201309, 012193, 114355,   74.6,  1.896,
0440201308, 012193, 114258,   90.0,  1.402,
0440201306, 012193, 114106,  113.4,  0.455,
0440201305, 012193, 114002,  124.5,  0.189,
0440201304, 012193, 113843,  150.9,  0.059,
0440201303, 012193, 113719,  176.5,  0.004,
0450201521, -00009, -00009,    5.8,  1.371,
0450201520, -00009, -00009,   26.1,  1.515,
0450201519, -00009, -00009,   46.0,  1.873,
0450201518, -00009, -00009,   64.9,  1.292,
0450201517, -00009, -00009,   71.0,  1.527,
0450201516, 021893, 094807,   75.5,  1.139,
0450201515, 021893, 094627,   85.2,  0.897,
0450201514, 021893, 094501,   95.2,  0.812,
0450201513, 021893, 094357,  105.2,  0.722,
0450201512, 021893, 094300,  125.2,  0.153,
0450201511, 021893, 094205,  150.9,  0.059,
0450201510, 021893, 094111,  176.6,  0.005,
0460200924, 041593, 074146,    5.8,  1.284,
0460200923, 041593, 073917,   23.7,  1.517,
0460200922, 041593, 073706,   43.8,  1.638,
0460200921, 041593, 073446,   74.2,  1.745,
0460200920, 041593, 073259,   89.6,  1.658,
0460200919, 041593, 073056,  100.2,  1.651,
0460200918, 041593, 072907,  103.7,  1.610,
0460200917, 041593, 072714,  109.2,  1.047,
0460200911, 041593, 071518,  119.5,  1.128,
0460200909, 041593, 071047,  135.1,  0.478,
0460200908, 041593, 070838,  149.8,  0.256,
0460200903, 041593, 065936,  173.1,  0.073,
0470200323, 052093, 075043,   24.5,  1.752,
