Hawaii Ocean Time-series : 02-Aug-2023 03:53:25
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, temp, csal, bsal, hplc, 
#, mmddyy, hhmmss, dbar, ITS-90, PSS-78, PSS-78, ng/l, 
0020200411, 120288, 104126,   15.6, 25.7084, 34.9703, -9.0000,  -9.0,
0020200410, 120288, 103231,   99.5, 23.2828, 35.0917, -9.0000,  -9.0,
0020200409, 120288, 103002,  136.4, 21.4463, 35.1840, -9.0000,  -9.0,
0020200408, 120288, 102305,  173.3, 19.9543, 35.1129, -9.0000,  -9.0,
0020200407, 120288, 102024,  238.0, 16.4576, 34.7614, -9.0000,  -9.0,
0020200510, 120288, 142015,    1.5, 25.6144, 34.9858, 34.9870,  -9.0,
0020200509, 120288, 141852,   21.2, 25.6120, 34.9874, -9.0000,  -9.0,
0020200508, 120288, 141745,   46.2, 25.5971, 34.9908, -9.0000,  -9.0,
0020200507, 120288, 141647,   71.1, 25.4668, 34.9960, -9.0000,  -9.0,
0020200506, 120288, 141521,   97.9, 23.5648, 35.0740, -9.0000,  -9.0,
0020200505, 120288, 141354,  122.9, 22.3977, 35.1547, -9.0000,  -9.0,
0020200504, 120288, 141204,  148.6, 21.1397, 35.1535, -9.0000,  -9.0,
0020200503, 120288, 140959,  177.6, 19.8832, 35.1512, 35.1328,  -9.0,
0020200604, 120288, 170444,    2.1, 25.6140, 34.9846, 34.9835,  -9.0,
0020200603, 120288, 170324,   24.1, 25.5838, 34.9941, 34.9921,  -9.0,
0020200602, 120288, 170020,  162.0, 20.6601, 35.1608, 35.1540,  -9.0,
0020200711, 120288, 195217,    0.9, 25.6171, 34.9834, -9.0000,  -9.0,
0020200710, 120288, 195030,   26.1, 25.5580, 34.9895, -9.0000,  -9.0,
0020200709, 120288, 194930,   46.2, 25.5274, 34.9902, 34.9919,  -9.0,
0020200708, 120288, 194812,   71.9, 25.4115, 35.0044, -9.0000,  -9.0,
0020200707, 120288, 194653,   97.8, 24.1513, 35.0467, -9.0000,  -9.0,
0020200706, 120288, 194535,  122.6, 22.7780, 35.1213, -9.0000,  -9.0,
0020200705, 120288, 194418,  150.6, 21.4127, 35.1576, 35.1531,  -9.0,
0020200704, 120288, 194308,  173.6, 20.4001, 35.1460, -9.0000,  -9.0,
0020200811, 120288, 225346,    1.6, 25.6601, 34.9833, -9.0000,  -9.0,
0020200810, 120288, 225240,   16.2, 25.6166, 34.9839, 34.9848,  -9.0,
0020200809, 120288, 225126,   37.8, 25.6044, 34.9863, -9.0000,  -9.0,
0020200808, 120288, 225026,   57.9, 25.4601, 35.0007, -9.0000,  -9.0,
0020200807, 120288, 224941,   79.2, 24.6345, 35.0122, -9.0000,  -9.0,
0020200806, 120288, 224846,   98.9, 23.0035, 35.1029, -9.0000,  -9.0,
0020200805, 120288, 224756,  119.7, 22.0435, 35.1664, 35.1526,  -9.0,
0020200804, 120288, 224703,  139.8, 21.2280, 35.1460, -9.0000,  -9.0,
0020200803, 120288, 224558,  161.5, 20.3669, 35.1563, -9.0000,  -9.0,
0020200802, 120288, 224503,  181.1, 19.6735, 35.1233, -9.0000,  -9.0,
0020201011, 120388, 044947,    2.1, 25.7462, 34.9653, -9.0000,  23.0,
0020201010, 120388, 044857,    5.9, 25.7525, 34.9652, -9.0000,  -9.0,
0020201009, 120388, 044659,   22.8, 25.7021, 34.9678, 34.9689,  34.0,
0020201008, 120388, 044600,   48.6, 25.6577, 34.9745, -9.0000,  55.0,
0020201007, 120388, 044507,   73.0, 24.9854, 34.9983, -9.0000,  56.0,
0020201006, 120388, 044413,   98.2, 23.7401, 35.1073, -9.0000, 135.0,
0020201005, 120388, 044304,  126.0, 21.9425, 35.1598, -9.0000,  24.0,
0020201004, 120388, 044153,  152.7, 20.3735, 35.1769, -9.0000,   5.0,
0020201003, 120388, 044034,  177.4, 19.1747, 35.0760, -9.0000,   5.0,
0020201111, 120388, 075333,    1.8, 25.7229, 34.9825, 34.9862,  -9.0,
0020201110, 120388, 075138,   20.6, 25.6521, 34.9827, -9.0000,  -9.0,
0020201109, 120388, 074806,   46.6, 25.6432, 34.9860, -9.0000,  -9.0,
0020201108, 120388, 074634,   73.5, 25.4890, 34.9865, -9.0000,  -9.0,
0020201107, 120388, 074515,   99.4, 23.8381, 35.0523, -9.0000,  -9.0,
0020201106, 120388, 074358,  125.0, 22.0939, 35.1588, -9.0000,  -9.0,
0020201105, 120388, 074253,  150.1, 21.2247, 35.1914, -9.0000,  -9.0,
0020201104, 120388, 074135,  176.3, 19.5932, 35.1065, -9.0000,  -9.0,
0020201205, 120388, 105100,   11.5, 25.6951, 34.9987, -9.0000,  -9.0,
0020201204, 120388, 104705,  152.2, 21.6619, 35.1589, 35.1542,  -9.0,
0020201311, 120388, 135443,    1.7, 25.6663, 34.9723, -9.0000,  -9.0,
0020201310, 120388, 135335,   21.4, 25.6623, 34.9748, 34.9744,  -9.0,
0020201309, 120388, 135225,   46.1, 25.6514, 34.9913, -9.0000,  -9.0,
0020201308, 120388, 135111,   72.3, 24.3089, 35.0239, -9.0000,  -9.0,
0020201307, 120388, 135000,   96.9, 23.4025, 35.1068, -9.0000,  -9.0,
0020201306, 120388, 134846,  124.1, 22.1991, 35.1483, -9.0000,  -9.0,
0020201305, 120388, 134730,  148.8, 21.4061, 35.1639, 35.1805,  -9.0,
0020201304, 120388, 134558,  175.6, 19.9551, 35.1673, -9.0000,  -9.0,
0020201404, 120388, 164401,   32.6, 25.6519, 35.0031, 35.0036,  -9.0,
0020201403, 120388, 164122,  159.4, 20.8448, 35.1920, 35.1852,  -9.0,
0020201402, 120388, 164001,  208.2, 17.8189, 34.9292, -9.0000,  -9.0,
0020201511, 120388, 194714,    1.6, 25.6492, 34.9795, -9.0000,  -9.0,
0020201510, 120388, 194554,   21.6, 25.6437, 34.9801, 34.9811,  -9.0,
0020201509, 120388, 194453,   46.4, 25.5414, 34.9928, -9.0000,  -9.0,
0020201508, 120388, 194342,   72.1, 24.9616, 35.0094, -9.0000,  -9.0,
0020201507, 120388, 194222,   97.9, 23.4095, 35.1034, -9.0000,  -9.0,
0020201506, 120388, 194103,  125.8, 22.4511, 35.1359, -9.0000,  -9.0,
0020201505, 120388, 193945,  151.1, 21.3547, 35.1585, 35.1443,  -9.0,
0020201504, 120388, 193850,  176.9, 19.8846, 35.1407, -9.0000,  -9.0,
0020201607, 120388, 225007,   19.3, 25.6453, 34.9893, -9.0000,  -9.0,
0020201803, 120488, 012727,   23.1, 25.6613, 34.9860, 34.9825,  -9.0,
0020201802, 120488, 012450,  141.8, 21.4330, 35.1626, 35.1555,  -9.0,
0020201903, 120488, 024920,   17.4, 25.6708, 34.9795, 34.9776,  -9.0,
0020201902, 120488, 024549,  138.8, 21.6790, 35.1714, 35.1677,  -9.0,
0020202003, -00009, -00009,   17.6, 25.6579, 34.9855, 34.9794,  -9.0,
0020202002, -00009, -00009,  140.0, 21.4187, 35.1536, 35.1557,  -9.0,
0020202103, -00009, -00009,   25.3, 25.6639, 34.9955, 34.9913,  -9.0,
0020202102, -00009, -00009,  144.0, 20.8669, 35.1409, 35.1354,  -9.0,
0020202203, -00009, -00009,   21.2, 25.6611, 34.9964, 34.9927,  -9.0,
0020202202, -00009, -00009,  140.9, 20.8918, 35.1482, 35.1410,  -9.0,
0020202303, -00009, -00009,   21.4, 25.6422, 34.9879, 34.9832,  -9.0,
0020202302, -00009, -00009,  150.4, 20.0972, 35.1462, 35.1513,  -9.0,
0020202403, -00009, -00009,   15.4, 25.6424, 34.9844, 34.9817,  -9.0,
0020202402, -00009, -00009,  140.7, 21.8887, 35.1729, 35.1602,  -9.0,
0020202503, -00009, -00009,   17.9, 25.7200, 34.9705, 34.9668,  -9.0,
0020202502, -00009, -00009,  140.5, 21.7718, 35.1707, 35.1614,  -9.0,
0020202603, -00009, -00009,   31.4, 25.7264, 35.0262, 35.0253,  -9.0,
0020202602, -00009, -00009,  160.6, 21.1105, 35.1777, 35.1702,  -9.0,
0020202703, -00009, -00009,   25.8, 25.6794, 35.0173, 35.0178,  -9.0,
0020202702, -00009, -00009,  158.3, 21.1693, 35.1913, 35.1812,  -9.0,
0020202802, -00009, -00009,  159.2, 21.1115, 35.1457, 35.1450,  -9.0,
0020202903, -00009, -00009,   31.9, 25.6729, 35.0365, 35.0332,  -9.0,
0020202902, -00009, -00009,  160.7, 20.8355, 35.1379, 35.1392,  -9.0,
0020203003, -00009, -00009,   32.6, 25.6521, 35.0144, 35.0121,  -9.0,
0020203002, -00009, -00009,  160.9, 21.3768, 35.1699, 35.1567,  -9.0,
0020203103, -00009, -00009,   31.9, 25.6207, 34.9899, 34.9867,  -9.0,
0020203102, -00009, -00009,  159.3, 21.2405, 35.1605, 35.1487,  -9.0,
