Hawaii Ocean Time-series : 09-May-2023 02:16:39
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0220201407, 122090, 063251,  101.8,  2.890,
0220201403, 122090, 062911,  122.0,  2.330,
0220201401, 122090, 062707,  144.9,  1.506,
0220201509, 122090, 101403,    7.7,  3.363,
0220201506, 122090, 101056,   26.1,  3.926,
0220201504, 122090, 100904,   52.4,  3.877,
0220201503, 122090, 100742,   77.6,  3.692,
0230200515, 020391, 155405,    6.7,  4.122,
0230200514, 020391, 155301,   26.5,  3.706,
0230200513, 020391, 155201,   46.6,  4.035,
0230200512, 020391, 155029,   79.6,  3.096,
0230200511, 020391, 154920,  104.2,  3.264,
0230200510, 020391, 154811,  113.5,  3.085,
0230200509, 020391, 154715,  119.5,  2.831,
0230200507, 020391, 154559,  130.5,  2.502,
0230200506, 020391, 154342,  162.4,  1.930,
0230200504, 020391, 154159,  185.0,  0.838,
0240200723, 030891, 224749,    4.5,  4.526,
0240200722, 030891, 224618,   31.1,  4.138,
0240200721, 030891, 224450,   49.6,  3.815,
0240200720, 030891, 224313,   72.9,  3.295,
0240200719, 030891, 224152,  101.7,  3.425,
0240200717, 030891, 223903,  124.6,  2.869,
0240200716, 030891, 223721,  139.5,  2.427,
0240200714, 030891, 223433,  147.6,  1.807,
0240200713, 030891, 223322,  156.0,  2.115,
0240200712, 030891, 223201,  179.9,  2.028,
0250201317, 041191, 094900,    8.2,  4.623,
0250201316, 041191, 094719,   27.7,  4.766,
0250201315, 041191, 094611,   46.9,  4.008,
0250201314, 041191, 094443,   76.9,  3.510,
0250201312, 041191, 094302,   92.1,  3.542,
0250201311, 041191, 094209,  102.2,  3.818,
0250201308, 041191, 094043,  107.2,  4.169,
0250201307, 041191, 093956,  117.0,  3.183,
0250201306, 041191, 093800,  131.4,  2.561,
0250201305, 041191, 093707,  140.5,  2.188,
0250201304, 041191, 093601,  155.7,  1.727,
0250201303, 041191, 093443,  181.0,  1.445,
0260200722, 050991, 122528,   25.4,  4.785,
0260200721, 050991, 122420,   47.7,  4.577,
0260200720, 050991, 122246,   80.5,  4.927,
0270200720, 060591, 101708,    6.1,  4.818,
0270200714, 060591, 101422,   27.4,  4.588,
0270200713, 060591, 101244,   50.5,  4.430,
0270200712, 060591, 101127,   79.8,  4.784,
0270200711, 060591, 101017,  105.8,  3.457,
0270200710, 060591, 100853,  132.1,  4.138,
0270200708, 060591, 100744,  141.0,  3.322,
0270200706, 060591, 100611,  157.1,  3.505,
0270200705, 060591, 100502,  184.4,  2.365,
0280200617, 071091, 105929,    8.8,  3.039,
0280200616, 071091, 105829,   28.1,  3.051,
0280200615, 071091, 105727,   50.0,  3.851,
0280200614, 071091, 105630,   77.5,  3.932,
0280200613, 071091, 105544,   98.0,  2.410,
0280200612, 071091, 105447,  110.0,  3.794,
0280200611, 071091, 105335,  120.2,  2.382,
0280200607, 071091, 105202,  130.9,  2.114,
0280200606, 071091, 105100,  139.0,  1.736,
0280200605, 071091, 104952,  154.7,  1.542,
0290201214, 081191, 072934,    5.8,  3.805,
0290201213, 081191, 072840,   24.9,  4.029,
0290201212, 081191, 072739,   49.4,  4.506,
0290201211, 081191, 072633,   77.2,  5.275,
0290201210, 081191, 072533,  101.8,  4.232,
0290201209, 081191, 072446,  111.8,  4.242,
0290201208, 081191, 072405,  117.0,  4.006,
0290201207, 081191, 072317,  121.5,  3.611,
0290201206, 081191, 072219,  131.2,  2.163,
0290201205, 081191, 072107,  155.1,  2.841,
0290201204, 081191, 071952,  184.1,  2.067,
0300201515, 091991, 095901,   13.5,  5.514,
0300201512, 091991, 095716,   33.1,  5.679,
0300201510, 091991, 095600,   52.2,  5.821,
0300201509, 091991, 095443,   81.6,  3.962,
0300201507, 091991, 095310,  107.3,  2.674,
0300201506, 091991, 095151,  132.5,  2.191,
0300201504, 091991, 094958,  157.6,  1.978,
0300201503, 091991, 094710,  186.2,  1.762,
0310201320, 102291, 101003,    7.2,  3.581,
0310201317, 102291, 100756,   27.2,  3.675,
0310201315, 102291, 100629,   46.8,  3.389,
0310201314, 102291, 100531,   60.1,  3.331,
0310201313, 102291, 100429,   75.4,  3.107,
0310201312, 102291, 100329,   87.8,  2.840,
0310201310, 102291, 100200,  101.0,  2.633,
0310201309, 102291, 100107,  111.8,  2.098,
0310201308, 102291, 100011,  125.4,  4.846,
0310201307, 102291, 095829,  152.3,  1.613,
0310201306, 102291, 095743,  158.9,  2.399,
0360201423, -00009, -00009,    7.3,  1.707,
0360201422, -00009, -00009,   28.1,  3.562,
0360201421, -00009, -00009,   48.1,  3.731,
0360201420, -00009, -00009,   78.6,  2.911,
0360201419, -00009, -00009,  104.4,  2.902,
0360201418, -00009, -00009,  114.5,  2.693,
0360201417, -00009, -00009,  124.5,  2.675,
0360201416, -00009, -00009,  129.3,  2.480,
0360201414, -00009, -00009,  140.0,  2.279,
0360201413, -00009, -00009,  144.4,  2.286,
0360201412, -00009, -00009,  154.3,  2.132,
0360201410, -00009, -00009,  178.7,  1.555,
0370201217, 061092, 100258,    9.0,  4.001,
0370201216, 061092, 100159,   28.8,  4.326,
0370201215, 061092, 100047,   48.4,  4.175,
0370201214, 061092, 095915,   79.0,  3.154,
0370201213, 061092, 095757,  104.4,  3.175,
0370201212, 061092, 095701,  119.3,  3.362,
0370201211, 061092, 095620,  123.7,  3.175,
0370201210, 061092, 095521,  129.0,  3.009,
0370201209, 061092, 095429,  134.0,  2.420,
0370201208, 061092, 095324,  139.0,  2.284,
0370201207, 061092, 095206,  156.5,  2.019,
0370201206, 061092, 095010,  180.3,  1.727,
0380201619, 070692, 132331,    9.6,  3.108,
0380201618, 070692, 132226,   29.3,  3.533,
0380201617, 070692, 132136,   47.5,  3.868,
0380201616, 070692, 132037,   78.4,  2.602,
0380201614, 070692, 131905,   98.8,  2.434,
0380201613, 070692, 131821,  109.0,  2.598,
0380201612, 070692, 131741,  114.1,  2.574,
0380201611, 070692, 131702,  119.0,  2.432,
0380201610, 070692, 131623,  124.8,  2.580,
0380201609, 070692, 131540,  134.9,  2.199,
0380201608, 070692, 131444,  154.6,  1.837,
0380201607, 070692, 131332,  179.0,  1.988,
0390200517, 080592, 073823,    9.8,  3.250,
0390200516, 080592, 073723,   29.9,  3.986,
0390200514, 080592, 073611,   49.0,  3.777,
0390200513, 080592, 073516,   64.5,  3.334,
0390200512, 080592, 073413,   79.7,  3.267,
0390200511, 080592, 073326,   88.8,  2.969,
0390200510, 080592, 073231,  104.4,  2.811,
0390200509, 080592, 073124,  119.7,  2.747,
0390200508, 080592, 073032,  128.6,  2.569,
0390200507, 080592, 072935,  141.0,  2.370,
0390200506, 080592, 072818,  158.6,  2.070,
0390200505, 080592, 072657,  177.3,  2.015,
0400201514, -00009, -00009,   44.9,  3.596,
0400201513, -00009, -00009,   60.1,  3.888,
0400201512, -00009, -00009,   74.1,  3.713,
0400201511, -00009, -00009,   89.3,  3.326,
0400201510, -00009, -00009,   99.6,  3.054,
0400201509, -00009, -00009,  109.5,  2.844,
0400201508, -00009, -00009,  124.7,  2.686,
0400201507, -00009, -00009,  134.7,  2.234,
0400201506, -00009, -00009,  149.9,  2.011,
0400201505, -00009, -00009,  174.8,  0.862,
0420200512, -00009, -00009,    5.0,  5.038,
0420200511, -00009, -00009,   25.0,  4.998,
0420200510, -00009, -00009,   60.0,  5.355,
0420200509, -00009, -00009,   80.0,  5.032,
0420200508, -00009, -00009,   90.0,  5.589,
0420200507, -00009, -00009,  100.0,  5.433,
0420200506, -00009, -00009,  110.0,  4.451,
0420200505, -00009, -00009,  125.0,  4.607,
0420200504, -00009, -00009,  150.0,  4.507,
0420200503, -00009, -00009,  175.0,  2.725,
0430200212, -00009, -00009,    5.0,  3.586,
0430200210, -00009, -00009,   45.0,  3.550,
0430200209, -00009, -00009,   75.0,  3.367,
0430200208, -00009, -00009,   90.0,  2.523,
0430200207, -00009, -00009,  100.0,  3.353,
0430200206, -00009, -00009,  110.0,  3.104,
0430200205, -00009, -00009,  120.0,  2.862,
0430200204, -00009, -00009,  130.0,  2.601,
0430200203, -00009, -00009,  140.0,  2.405,
0430200202, -00009, -00009,  150.0,  2.209,
0440201312, 012193, 114728,    5.2,  2.625,
0440201311, 012193, 114612,   24.7,  3.184,
