Hawaii Ocean Time-series : 06-Dec-2022 05:30:51
https://hahana.soest.hawaii.edu/hot/hot-dogs/cextraction.html

crn, julian, press, temp, sal, nit, 
#, day, dbar, ITS-90, PSS-78, umol/kg, 
  1,   30,    0.0, 26.2693, 35.2335,  -9.000,
  1,   30,    2.0, 26.2695, 35.2252,  -9.000,
  1,   30,    4.0, 26.2737, 35.2079,  -9.000,
  1,   30,    6.0, 26.2724, 35.2076,  -9.000,
  1,   30,    8.0, 26.2705, 35.2095,  -9.000,
  1,   30,   10.0, 26.2697, 35.2109,  -9.000,
  1,   30,   12.0, 26.2679, 35.2094,  -9.000,
  1,   30,   14.0, 26.2644, 35.2093,  -9.000,
  1,   30,   16.0, 26.2609, 35.2092,  -9.000,
  1,   30,   18.0, 26.2593, 35.2095,  -9.000,
  1,   30,   20.0, 26.2588, 35.2125,  -9.000,
  1,   30,   22.0, 26.2565, 35.2124,  -9.000,
  1,   30,   24.0, 26.2563, 35.2123,  -9.000,
  1,   30,   26.0, 26.2558, 35.2122,  -9.000,
  1,   30,   28.0, 26.2541, 35.2117,  -9.000,
  1,   30,   30.0, 26.2519, 35.2117,  -9.000,
  1,   30,   32.0, 26.2436, 35.2115,  -9.000,
  1,   30,   34.0, 26.2311, 35.2121,  -9.000,
  1,   30,   36.0, 26.2227, 35.2129,  -9.000,
  1,   30,   38.0, 26.2157, 35.2133,  -9.000,
  1,   30,   40.0, 26.2044, 35.2137,  -9.000,
  1,   30,   42.0, 26.1742, 35.2175,  -9.000,
  1,   30,   44.0, 26.1439, 35.2161,  -9.000,
  1,   30,   46.0, 26.0263, 35.2139,  -9.000,
  1,   30,   48.0, 25.9751, 35.2173,  -9.000,
  1,   30,   50.0, 25.8361, 35.2189,  -9.000,
  1,   30,   52.0, 25.6489, 35.2200,  -9.000,
  1,   30,   54.0, 25.4551, 35.2127,  -9.000,
  1,   30,   56.0, 25.3915, 35.2111,  -9.000,
  1,   30,   58.0, 25.2496, 35.2111,  -9.000,
  1,   30,   60.0, 25.0020, 35.2143,  -9.000,
  1,   30,   62.0, 24.8955, 35.2166,  -9.000,
  1,   30,   64.0, 24.7184, 35.2154,  -9.000,
  1,   30,   66.0, 24.5462, 35.2155,  -9.000,
  1,   30,   68.0, 24.3141, 35.2176,  -9.000,
  1,   30,   70.0, 24.1510, 35.2213,  -9.000,
  1,   30,   72.0, 23.9278, 35.2180,  -9.000,
  1,   30,   74.0, 23.8363, 35.2183,  -9.000,
  1,   30,   76.0, 23.6803, 35.2202,  -9.000,
  1,   30,   78.0, 23.5649, 35.2210,  -9.000,
  1,   30,   80.0, 23.4059, 35.2217,  -9.000,
  1,   30,   82.0, 23.3886, 35.2202,  -9.000,
  1,   30,   84.0, 23.1795, 35.2219,  -9.000,
  1,   30,   86.0, 23.0956, 35.2231,  -9.000,
  1,   30,   88.0, 23.0176, 35.2266,  -9.000,
  1,   30,   90.0, 22.9255, 35.2350,  -9.000,
  1,   30,   92.0, 22.8277, 35.2321,  -9.000,
  1,   30,   94.0, 22.7210, 35.2331,  -9.000,
  1,   30,   96.0, 22.6108, 35.2393,  -9.000,
  1,   30,   98.0, 22.5055, 35.2375,  -9.000,
  1,   30,  100.0, 22.4026, 35.2376,  -9.000,
  1,   30,  102.0, 22.3009, 35.2370,  -9.000,
  1,   30,  104.0, 22.2253, 35.2359,  -9.000,
  1,   30,  106.0, 22.1344, 35.2351,  -9.000,
  1,   30,  108.0, 22.0358, 35.2333,  -9.000,
  1,   30,  110.0, 21.9472, 35.2312,  -9.000,
  1,   30,  112.0, 21.8746, 35.2293,  -9.000,
  1,   30,  114.0, 21.7782, 35.2300,  -9.000,
  1,   30,  116.0, 21.6774, 35.2285,  -9.000,
  1,   30,  118.0, 21.5457, 35.2253,  -9.000,
  1,   30,  120.0, 21.4876, 35.2241,  -9.000,
  1,   30,  122.0, 21.2931, 35.2119,  -9.000,
  1,   30,  124.0, 21.1770, 35.2057,  -9.000,
  1,   30,  126.0, 21.0376, 35.1980,  -9.000,
  1,   30,  128.0, 20.8714, 35.1964,  -9.000,
