Hawaii Ocean Time-series : 20-Nov-2022 23:00:21
https://hahana.soest.hawaii.edu/hot/hot-dogs/cextraction.html

crn, julian, press, fluor, 
#, day, dbar, ug/l, 
  1,   30,    0.0,  0.0208,
  1,   30,    2.0,  0.0492,
  1,   30,    4.0,  0.0424,
  1,   30,    6.0,  0.0508,
  1,   30,    8.0,  0.0482,
  1,   30,   10.0,  0.0560,
  1,   30,   12.0,  0.0637,
  1,   30,   14.0,  0.0706,
  1,   30,   16.0,  0.0690,
  1,   30,   18.0,  0.0699,
  1,   30,   20.0,  0.0738,
  1,   30,   22.0,  0.0807,
  1,   30,   24.0,  0.0920,
  1,   30,   26.0,  0.0883,
  1,   30,   28.0,  0.0858,
  1,   30,   30.0,  0.0921,
  1,   30,   32.0,  0.1038,
  1,   30,   34.0,  0.1107,
  1,   30,   36.0,  0.1362,
  1,   30,   38.0,  0.1431,
  1,   30,   40.0,  0.1486,
  1,   30,   42.0,  0.1556,
  1,   30,   44.0,  0.1593,
  1,   30,   46.0,  0.1708,
  1,   30,   48.0,  0.1850,
  1,   30,   50.0,  0.2874,
  1,   30,   52.0,  0.2960,
  1,   30,   54.0,  0.2755,
  1,   30,   56.0,  0.2837,
  1,   30,   58.0,  0.3029,
  1,   30,   60.0,  0.3277,
  1,   30,   62.0,  0.3421,
  1,   30,   64.0,  0.3605,
  1,   30,   66.0,  0.3846,
  1,   30,   68.0,  0.4102,
  1,   30,   70.0,  0.4351,
  1,   30,   72.0,  0.4805,
  1,   30,   74.0,  0.4926,
  1,   30,   76.0,  0.5223,
  1,   30,   78.0,  0.5483,
  1,   30,   80.0,  0.5997,
  1,   30,   82.0,  0.6078,
  1,   30,   84.0,  0.6436,
  1,   30,   86.0,  0.6688,
  1,   30,   88.0,  0.6860,
  1,   30,   90.0,  0.6950,
  1,   30,   92.0,  0.7043,
  1,   30,   94.0,  0.7304,
  1,   30,   96.0,  0.7542,
  1,   30,   98.0,  0.7694,
  1,   30,  100.0,  0.7880,
  1,   30,  102.0,  0.7919,
