# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,   TG
  260,20001101,   76
  260,20001102,   78
  260,20001103,   77
  260,20001104,   68
  260,20001105,   71
  260,20001106,   94
  260,20001107,   85
  260,20001108,   82
  260,20001109,   78
  260,20001110,   71
  260,20001111,   86
  260,20001112,   87
  260,20001113,   79
  260,20001114,   56
  260,20001115,   57
  260,20001116,   72
  260,20001117,   50
  260,20001118,   64
  260,20001119,   91
  260,20001120,   63
  260,20001121,   62
  260,20001122,   86
  260,20001123,   84
  260,20001124,   70
  260,20001125,   72
  260,20001126,   76
  260,20001127,   66
  260,20001128,  119
  260,20001129,  111
  260,20001130,  106
  260,20001201,  116
  260,20001202,  105
  260,20001203,   84
  260,20001204,   70
  260,20001205,   96
  260,20001206,  109
  260,20001207,   98
  260,20001208,  122
  260,20001209,   94
  260,20001210,   96
  260,20001211,  120
  260,20001212,  131
  260,20001213,  108
  260,20001214,   74
  260,20001215,   56
  260,20001216,   41
  260,20001217,   25
  260,20001218,   32
  260,20001219,   27
  260,20001220,   16
  260,20001221,   -1
  260,20001222,  -23
  260,20001223,  -20
  260,20001224,    6
  260,20001225,   -6
  260,20001226,  -22
  260,20001227,  -10
  260,20001228,    5
  260,20001229,    6
  260,20001230,   17
  260,20001231,   -1
  260,20010101,   34
  260,20010102,   87
  260,20010103,   67
  260,20010104,   78
  260,20010105,   76
  260,20010106,   59
  260,20010107,   52
  260,20010108,   39
  260,20010109,   40
  260,20010110,   24
  260,20010111,   12
  260,20010112,    7
  260,20010113,  -11
  260,20010114,  -19
  260,20010115,  -21
  260,20010116,  -31
  260,20010117,  -48
  260,20010118,  -37
  260,20010119,   -5
  260,20010120,    1
  260,20010121,   -1
  260,20010122,   28
  260,20010123,   70
  260,20010124,   84
  260,20010125,   55
  260,20010126,   45
  260,20010127,   42
  260,20010128,   40
  260,20010129,   23
  260,20010130,    7
  260,20010131,   11
  260,20010201,    6
  260,20010202,    5
  260,20010203,    6
  260,20010204,   27
  260,20010205,   88
  260,20010206,  106
  260,20010207,  101
  260,20010208,   86
  260,20010209,   27
  260,20010210,   25
  260,20010211,   99
  260,20010212,  100
  260,20010213,   58
  260,20010214,   33
  260,20010215,   43
  260,20010216,   24
  260,20010217,   41
  260,20010218,   48
  260,20010219,   51
  260,20010220,   53
  260,20010221,   64
  260,20010222,   55
  260,20010223,   26
  260,20010224,  -10
  260,20010225,   10
  260,20010226,   19
  260,20010227,   22
  260,20010228,   38
  260,20010301,   19
  260,20010302,   13
  260,20010303,  -11
  260,20010304,   13
  260,20010305,   18
  260,20010306,   33
  260,20010307,   75
  260,20010308,   88
  260,20010309,   93
  260,20010310,   99
  260,20010311,  111
  260,20010312,   84
  260,20010313,   59
  260,20010314,   54
  260,20010315,   60
  260,20010316,   70
  260,20010317,   34
  260,20010318,   27
  260,20010319,   19
  260,20010320,   19
  260,20010321,    9
  260,20010322,   28
  260,20010323,   67
  260,20010324,   64
  260,20010325,   29
  260,20010326,   30
  260,20010327,   35
  260,20010328,   71
  260,20010329,   66
  260,20010330,   65
  260,20010331,   92
  260,20010401,  113
  260,20010402,  144
  260,20010403,  120
  260,20010404,   92
  260,20010405,   80
  260,20010406,  113
  260,20010407,   89
  260,20010408,   69
  260,20010409,   78
  260,20010410,   96
  260,20010411,   84
  260,20010412,   48
  260,20010413,   38
  260,20010414,   18
  260,20010415,   76
  260,20010416,   66
  260,20010417,   61
  260,20010418,   51
  260,20010419,   39
  260,20010420,   37
  260,20010421,   57
  260,20010422,   59
  260,20010423,   80
  260,20010424,  104
  260,20010425,  102
  260,20010426,  106
  260,20010427,  106
  260,20010428,  106
  260,20010429,  126
  260,20010430,  127
  260,20010501,  107
  260,20010502,  140
  260,20010503,  122
  260,20010504,   84
  260,20010505,   81
  260,20010506,  106
  260,20010507,  111
  260,20010508,  107
  260,20010509,  175
  260,20010510,  194
  260,20010511,  187
  260,20010512,  183
  260,20010513,  187
  260,20010514,  147
  260,20010515,  144
  260,20010516,  137
  260,20010517,  121
  260,20010518,  117
  260,20010519,  118
  260,20010520,  116
  260,20010521,  123
  260,20010522,  139
  260,20010523,  168
  260,20010524,  157
  260,20010525,  154
  260,20010526,  165
  260,20010527,  157
  260,20010528,  175
  260,20010529,  166
  260,20010530,  163
  260,20010531,  133
  260,20010601,  127
  260,20010602,  113
  260,20010603,   97
  260,20010604,  120
  260,20010605,  157
  260,20010606,  159
  260,20010607,  132
  260,20010608,  116
  260,20010609,  106
  260,20010610,  122
  260,20010611,  127
  260,20010612,  141
  260,20010613,  143
  260,20010614,  158
  260,20010615,  171
  260,20010616,  155
  260,20010617,  151
  260,20010618,  132
  260,20010619,  137
  260,20010620,  170
  260,20010621,  149
  260,20010622,  141
  260,20010623,  158
  260,20010624,  183
  260,20010625,  188
  260,20010626,  215
  260,20010627,  198
  260,20010628,  188
  260,20010629,  199
  260,20010630,  194
  260,20010701,  182
  260,20010702,  184
  260,20010703,  207
  260,20010704,  227
  260,20010705,  252
  260,20010706,  247
  260,20010707,  207
  260,20010708,  175
  260,20010709,  174
  260,20010710,  183
  260,20010711,  165
  260,20010712,  153
  260,20010713,  152
  260,20010714,  138
  260,20010715,  141
  260,20010716,  146
  260,20010717,  164
  260,20010718,  157
  260,20010719,  157
  260,20010720,  148
  260,20010721,  155
  260,20010722,  193
  260,20010723,  188
  260,20010724,  193
  260,20010725,  197
  260,20010726,  220
  260,20010727,  216
  260,20010728,  205
  260,20010729,  207
  260,20010730,  217
  260,20010731,  195
  260,20010801,  174
  260,20010802,  201
  260,20010803,  188
  260,20010804,  173
  260,20010805,  158
  260,20010806,  173
  260,20010807,  182
  260,20010808,  161
  260,20010809,  150
  260,20010810,  145
  260,20010811,  163
  260,20010812,  164
  260,20010813,  187
  260,20010814,  216
  260,20010815,  244
  260,20010816,  195
  260,20010817,  179
  260,20010818,  200
  260,20010819,  199
  260,20010820,  177
  260,20010821,  185
  260,20010822,  212
  260,20010823,  226
  260,20010824,  230
  260,20010825,  240
  260,20010826,  225
  260,20010827,  169
  260,20010828,  142
  260,20010829,  150
  260,20010830,  163
  260,20010831,  159
  260,20010901,  146
  260,20010902,  157
  260,20010903,  158
  260,20010904,  138
  260,20010905,  145
  260,20010906,  151
  260,20010907,  150
  260,20010908,  132
  260,20010909,  118
  260,20010910,  130
  260,20010911,  140
  260,20010912,  151
  260,20010913,  128
  260,20010914,  127
  260,20010915,  126
  260,20010916,  103
  260,20010917,  110
  260,20010918,  111
  260,20010919,  112
  260,20010920,  126
  260,20010921,  126
  260,20010922,  126
  260,20010923,  130
  260,20010924,  128
  260,20010925,  111
  260,20010926,  125
  260,20010927,  154
  260,20010928,  160
  260,20010929,  148
  260,20010930,  163
  260,20011001,  169
  260,20011002,  162
  260,20011003,  151
  260,20011004,  138
  260,20011005,  138
  260,20011006,  156
  260,20011007,  153
  260,20011008,  145
  260,20011009,  143
  260,20011010,  140
  260,20011011,  147
  260,20011012,  145
  260,20011013,  166
  260,20011014,  166
  260,20011015,  167
  260,20011016,  130
  260,20011017,  140
  260,20011018,  153
  260,20011019,  157
  260,20011020,  151
  260,20011021,  139
  260,20011022,  120
  260,20011023,  126
  260,20011024,  119
  260,20011025,  131
  260,20011026,  130
  260,20011027,  127
  260,20011028,  112
  260,20011029,  116
  260,20011030,  153
  260,20011031,  118
