# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,   TG
  260,20220501,   91
  260,20220502,  108
  260,20220503,   97
  260,20220504,  103
  260,20220505,  121
  260,20220506,  137
  260,20220507,  147
  260,20220508,  119
  260,20220509,  143
  260,20220510,  171
  260,20220511,  164
  260,20220512,  142
  260,20220513,  145
  260,20220514,  156
  260,20220515,  183
  260,20220516,  178
  260,20220517,  185
  260,20220518,  192
  260,20220519,  169
  260,20220520,  133
  260,20220521,  140
  260,20220522,  156
  260,20220523,  158
  260,20220524,  133
  260,20220525,  137
  260,20220526,  161
  260,20220527,  138
  260,20220528,  119
  260,20220529,  104
  260,20220530,  104
  260,20220531,  119
  260,20220601,  126
  260,20220602,  137
  260,20220603,  173
  260,20220604,  168
  260,20220605,  164
  260,20220606,  139
  260,20220607,  155
  260,20220608,  156
  260,20220609,  164
  260,20220610,  177
  260,20220611,  179
  260,20220612,  160
  260,20220613,  144
  260,20220614,  152
  260,20220615,  178
  260,20220616,  178
  260,20220617,  221
  260,20220618,  212
  260,20220619,  148
  260,20220620,  150
  260,20220621,  157
  260,20220622,  186
  260,20220623,  228
  260,20220624,  190
  260,20220625,  184
  260,20220626,  175
  260,20220627,  162
  260,20220628,  176
  260,20220629,  206
  260,20220630,  178
  260,20220701,  162
  260,20220702,  181
  260,20220703,  167
  260,20220704,  165
  260,20220705,  157
  260,20220706,  168
  260,20220707,  164
  260,20220708,  179
  260,20220709,  171
  260,20220710,  173
  260,20220711,  181
  260,20220712,  208
  260,20220713,  215
  260,20220714,  172
  260,20220715,  170
  260,20220716,  172
  260,20220717,  178
  260,20220718,  223
  260,20220719,  269
  260,20220720,  237
  260,20220721,  177
  260,20220722,  175
  260,20220723,  183
  260,20220724,  228
  260,20220725,  210
  260,20220726,  171
  260,20220727,  158
  260,20220728,  172
  260,20220729,  189
  260,20220730,  192
  260,20220731,  191
  260,20220801,  181
  260,20220802,  210
  260,20220803,  230
  260,20220804,  214
  260,20220805,  174
  260,20220806,  157
  260,20220807,  166
  260,20220808,  173
  260,20220809,  194
  260,20220810,  223
  260,20220811,  240
  260,20220812,  238
  260,20220813,  224
  260,20220814,  240
  260,20220815,  224
  260,20220816,  211
  260,20220817,  194
  260,20220818,  199
  260,20220819,  193
  260,20220820,  188
  260,20220821,  177
  260,20220822,  199
  260,20220823,  217
  260,20220824,  231
  260,20220825,  242
  260,20220826,  192
  260,20220827,  168
  260,20220828,  156
  260,20220829,  169
  260,20220830,  185
  260,20220831,  184
  260,20220901,  187
