Hawaii Ocean Time-series : 22-Mar-2023 16:53:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0040200809, 022889, 211414,   71.8,   1.73,
0040200807, 022889, 211106,  126.4,   2.21,
0040200806, 022889, 210941,  148.4,   1.45,
0040200805, 022889, 210812,  177.6,   0.73,
0040200804, 022889, 210603,  247.7,   0.50,
0040200803, 022889, 210414,  303.2,   0.45,
0060200812, 051889, 225802,    1.3,   1.64,
0060200811, 051889, 225524,   20.8,   2.19,
0060200810, 051889, 225259,   40.9,   1.96,
0060200809, 051889, 225112,   73.5,   1.63,
0060200808, 051889, 224937,   98.2,   1.85,
0060200807, 051889, 224811,  125.2,   1.15,
0060200806, 051889, 224640,  149.8,   0.54,
0060200805, 051889, 224527,  174.6,   0.50,
0060200804, 051889, 224218,  252.3,   0.35,
0060200803, 051889, 223653,  467.5,   0.27,
0060200802, 051889, 222953,  767.5,   0.35,
0060200801, 051889, 222357, 1011.0,   0.15,
0080201412, 073089, 221704,    7.6,   2.15,
0080201411, 073089, 221553,   27.8,   2.27,
0080201410, 073089, 221444,   47.4,   2.59,
0080201409, 073089, 221321,   76.2,   2.10,
0080201408, 073089, 221202,  105.0,   1.59,
0080201407, 073089, 221049,  129.8,   1.08,
0080201406, 073089, 220920,  154.2,   0.56,
0080201405, 073089, 220758,  180.7,   0.71,
0080201404, 073089, 220453,  255.7,   0.37,
0080201402, 073089, 215104,  762.2,   0.22,
0080201401, 073089, 214343, 1017.9,   0.20,
0090201812, 082589, 195735,    6.1,   1.96,
0090201811, 082589, 195537,   26.3,   2.10,
0090201810, 082589, 195429,   46.9,   1.78,
0090201809, 082589, 195311,   77.2,   1.62,
0090201808, 082589, 195155,  103.2,   1.50,
0090201807, 082589, 195041,  130.1,   1.01,
0090201806, 082589, 194910,  156.9,   0.76,
0090201805, 082589, 194743,  183.6,   0.54,
0090201802, 082589, 193450,  762.0,   0.15,
0090202206, -00009, -00009,    7.4,   2.02,
0090202205, -00009, -00009,   49.2,   2.01,
0090202204, -00009, -00009,  106.8,   1.37,
0090202203, -00009, -00009,  258.6,   0.49,
0090202202, -00009, -00009,  512.0,   0.76,
0090202201, -00009, -00009, 1010.6,   0.40,
0100201509, 092489, 002043,   27.7,   2.32,
0100201508, 092489, 001947,   47.4,   2.35,
0100201507, 092489, 001828,   78.0,   2.36,
0100201506, 092489, 001704,  104.1,   1.81,
0100201505, 092489, 001525,  155.7,   1.11,
