Hawaii Ocean Time-series : 07-Aug-2023 03:37:49
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, temp, csal, pbact, 
#, mmddyy, hhmmss, dbar, ITS-90, PSS-78, #*1e5/ml, 
0010200312, 103188, 015704,    4.7, 26.2879, 35.2344, -9.000,
0010200311, 103188, 015529,   39.4, 26.1874, 35.2253, -9.000,
0010200310, 103188, 015401,   99.4, 21.7978, 35.2462, -9.000,
0010200309, 103188, 015220,  150.3, 19.4209, 35.0890, -9.000,
0010200308, 103188, 015059,  191.8, 17.7063, 34.9198, -9.000,
0010200705, 103188, 150832,   10.7, 26.2640, 35.1900, -9.000,
0010200704, 103188, 150658,   25.5, 26.2683, 35.1894, -9.000,
0010200703, 103188, 150517,   42.9, 26.2624, 35.1900, -9.000,
0010200702, 103188, 150335,   68.3, 23.6416, 35.1883, -9.000,
0010200701, 103188, 150129,  114.4, 21.5803, 35.1784, -9.000,
0010200808, -00009, -00009,    2.3, 26.2718, 35.1871, -9.000,
0010201010, 110188, 063545,    4.1, 26.2626, 35.1480, -9.000,
0010201009, 110188, 063421,   19.8, 26.2655, 35.1350, -9.000,
0010201008, 110188, 063300,   38.8, 26.2417, 35.1332, -9.000,
0010201007, 110188, 063054,   68.6, 23.4053, 35.2510, -9.000,
0010201006, 110188, 062845,  117.6, 21.0355, 35.1837, -9.000,
0010201111, 110188, 120733,   16.6, 26.2706, 35.2632, -9.000,
0010201110, 110188, 120612,   36.5, 26.2833, 35.2337, -9.000,
0010201109, 110188, 120440,   56.4, 25.8320, 35.2712, -9.000,
0010201108, 110188, 120300,   77.8, 24.2782, 35.3049, -9.000,
0010201107, 110188, 120127,   97.8, 23.1146, 35.2926, -9.000,
0010201106, 110188, 120000,  117.3, 21.7271, 35.2829, -9.000,
0010201105, 110188, 115843,  137.8, 20.4543, 35.2583, -9.000,
0010201104, 110188, 115719,  157.7, 19.5230, 35.1679, -9.000,
0010201103, 110188, 115519,  181.8, 18.0922, 35.0481, -9.000,
0010201305, 110188, 213534,    7.7, 26.2769, -9.0000, -9.000,
0010201304, 110188, 213102,   24.4, 26.2496, -9.0000, -9.000,
0010201303, 110188, 212612,   44.2, 26.2553, -9.0000, -9.000,
0010201302, 110188, 212052,   69.4, 26.0637, -9.0000, -9.000,
0010201402, 110288, 000249,   11.8, 26.3370, 35.1802, -9.000,
0010201411, -00009, -00009,   11.7, 26.3434, 35.1758, -9.000,
0010201410, 110288, 002445,   52.9, 26.2473, 35.1737, -9.000,
0010201409, 110288, 002415,  117.3, 21.2662, 35.2196, -9.000,
0010201408, 110288, 002239,  115.8, 21.3620, 35.2177, -9.000,
0010201510, -00009, -00009,    8.9, 26.3115, 35.1708, -9.000,
0010201509, 110288, 030628,   18.9, 26.2764, 35.1716, -9.000,
0010201508, 110288, 030508,   38.9, 26.2667, 35.1722, -9.000,
0010201507, 110288, 030304,   66.7, 23.9003, 35.2255, -9.000,
0010201506, 110288, 030137,  116.1, 20.9679, 35.1673, -9.000,
0010201607, 110288, 065824,   10.0, 26.2832, 35.1818, -9.000,
0010201606, 110288, 065635,   82.5, 23.6680, 35.2382, -9.000,
0010201605, 110288, 065507,  132.5, 20.1342, 35.1301, -9.000,
0010201707, 110288, 112239,   28.3, 26.2818, 35.1948, -9.000,
0020200411, 120288, 104126,   15.6, 25.7084, 34.9703, -9.000,
0020200410, 120288, 103231,   99.5, 23.2828, 35.0917, -9.000,
0020200409, 120288, 103002,  136.4, 21.4463, 35.1840, -9.000,
0020200408, 120288, 102305,  173.3, 19.9543, 35.1129, -9.000,
0020200510, 120288, 142015,    1.5, 25.6144, 34.9858, -9.000,
0020200509, 120288, 141852,   21.2, 25.6120, 34.9874, -9.000,
0020200508, 120288, 141745,   46.2, 25.5971, 34.9908, -9.000,
0020200507, 120288, 141647,   71.1, 25.4668, 34.9960, -9.000,
0020200506, 120288, 141521,   97.9, 23.5648, 35.0740, -9.000,
0020200505, 120288, 141354,  122.9, 22.3977, 35.1547, -9.000,
0020200504, 120288, 141204,  148.6, 21.1397, 35.1535, -9.000,
0020200503, 120288, 140959,  177.6, 19.8832, 35.1512, -9.000,
0020200604, 120288, 170444,    2.1, 25.6140, 34.9846, -9.000,
0020200603, 120288, 170324,   24.1, 25.5838, 34.9941, -9.000,
0020200602, 120288, 170020,  162.0, 20.6601, 35.1608, -9.000,
0020200711, 120288, 195217,    0.9, 25.6171, 34.9834, -9.000,
0020200710, 120288, 195030,   26.1, 25.5580, 34.9895, -9.000,
0020200709, 120288, 194930,   46.2, 25.5274, 34.9902, -9.000,
0020200708, 120288, 194812,   71.9, 25.4115, 35.0044, -9.000,
0020200707, 120288, 194653,   97.8, 24.1513, 35.0467, -9.000,
0020200706, 120288, 194535,  122.6, 22.7780, 35.1213, -9.000,
0020200705, 120288, 194418,  150.6, 21.4127, 35.1576, -9.000,
0020200704, 120288, 194308,  173.6, 20.4001, 35.1460, -9.000,
0020200811, 120288, 225346,    1.6, 25.6601, 34.9833, -9.000,
0020200810, 120288, 225240,   16.2, 25.6166, 34.9839, -9.000,
0020200809, 120288, 225126,   37.8, 25.6044, 34.9863, -9.000,
0020200808, 120288, 225026,   57.9, 25.4601, 35.0007, -9.000,
0020200807, 120288, 224941,   79.2, 24.6345, 35.0122, -9.000,
0020200806, 120288, 224846,   98.9, 23.0035, 35.1029, -9.000,
0020200805, 120288, 224756,  119.7, 22.0435, 35.1664, -9.000,
0020200804, 120288, 224703,  139.8, 21.2280, 35.1460, -9.000,
0020200803, 120288, 224558,  161.5, 20.3669, 35.1563, -9.000,
0020200802, 120288, 224503,  181.1, 19.6735, 35.1233, -9.000,
0020201011, 120388, 044947,    2.1, 25.7462, 34.9653, -9.000,
0020201010, 120388, 044857,    5.9, 25.7525, 34.9652, -9.000,
0020201009, 120388, 044659,   22.8, 25.7021, 34.9678, -9.000,
0020201008, 120388, 044600,   48.6, 25.6577, 34.9745, -9.000,
0020201007, 120388, 044507,   73.0, 24.9854, 34.9983, -9.000,
0020201006, 120388, 044413,   98.2, 23.7401, 35.1073, -9.000,
0020201005, 120388, 044304,  126.0, 21.9425, 35.1598, -9.000,
0020201004, 120388, 044153,  152.7, 20.3735, 35.1769, -9.000,
0020201003, 120388, 044034,  177.4, 19.1747, 35.0760, -9.000,
0020201111, 120388, 075333,    1.8, 25.7229, 34.9825, -9.000,
0020201110, 120388, 075138,   20.6, 25.6521, 34.9827, -9.000,
0020201109, 120388, 074806,   46.6, 25.6432, 34.9860, -9.000,
0020201108, 120388, 074634,   73.5, 25.4890, 34.9865, -9.000,
0020201107, 120388, 074515,   99.4, 23.8381, 35.0523, -9.000,
0020201106, 120388, 074358,  125.0, 22.0939, 35.1588, -9.000,
0020201105, 120388, 074253,  150.1, 21.2247, 35.1914, -9.000,
0020201104, 120388, 074135,  176.3, 19.5932, 35.1065, -9.000,
0020201205, 120388, 105100,   11.5, 25.6951, 34.9987, -9.000,
0020201204, 120388, 104705,  152.2, 21.6619, 35.1589, -9.000,
0020201311, 120388, 135443,    1.7, 25.6663, 34.9723, -9.000,
0020201310, 120388, 135335,   21.4, 25.6623, 34.9748, -9.000,
0020201309, 120388, 135225,   46.1, 25.6514, 34.9913, -9.000,
0020201308, 120388, 135111,   72.3, 24.3089, 35.0239, -9.000,
0020201307, 120388, 135000,   96.9, 23.4025, 35.1068, -9.000,
0020201306, 120388, 134846,  124.1, 22.1991, 35.1483, -9.000,
0020201305, 120388, 134730,  148.8, 21.4061, 35.1639, -9.000,
0020201304, 120388, 134558,  175.6, 19.9551, 35.1673, -9.000,
0020201404, 120388, 164401,   32.6, 25.6519, 35.0031, -9.000,
0020201403, 120388, 164122,  159.4, 20.8448, 35.1920, -9.000,
0020201511, 120388, 194714,    1.6, 25.6492, 34.9795, -9.000,
0020201510, 120388, 194554,   21.6, 25.6437, 34.9801, -9.000,
0020201509, 120388, 194453,   46.4, 25.5414, 34.9928, -9.000,
0020201508, 120388, 194342,   72.1, 24.9616, 35.0094, -9.000,
0020201507, 120388, 194222,   97.9, 23.4095, 35.1034, -9.000,
0020201506, 120388, 194103,  125.8, 22.4511, 35.1359, -9.000,
0020201505, 120388, 193945,  151.1, 21.3547, 35.1585, -9.000,
0020201504, 120388, 193850,  176.9, 19.8846, 35.1407, -9.000,
0020201607, 120388, 225007,   19.3, 25.6453, 34.9893, -9.000,
0020201803, 120488, 012727,   23.1, 25.6613, 34.9860, -9.000,
0020201802, 120488, 012450,  141.8, 21.4330, 35.1626, -9.000,
0020201903, 120488, 024920,   17.4, 25.6708, 34.9795, -9.000,
0020201902, 120488, 024549,  138.8, 21.6790, 35.1714, -9.000,
0020202003, -00009, -00009,   17.6, 25.6579, 34.9855, -9.000,
0020202002, -00009, -00009,  140.0, 21.4187, 35.1536, -9.000,
0020202103, -00009, -00009,   25.3, 25.6639, 34.9955, -9.000,
0020202102, -00009, -00009,  144.0, 20.8669, 35.1409, -9.000,
0020202203, -00009, -00009,   21.2, 25.6611, 34.9964, -9.000,
0020202202, -00009, -00009,  140.9, 20.8918, 35.1482, -9.000,
0020202303, -00009, -00009,   21.4, 25.6422, 34.9879, -9.000,
0020202302, -00009, -00009,  150.4, 20.0972, 35.1462, -9.000,
0020202403, -00009, -00009,   15.4, 25.6424, 34.9844, -9.000,
0020202402, -00009, -00009,  140.7, 21.8887, 35.1729, -9.000,
0020202503, -00009, -00009,   17.9, 25.7200, 34.9705, -9.000,
0020202502, -00009, -00009,  140.5, 21.7718, 35.1707, -9.000,
0020202603, -00009, -00009,   31.4, 25.7264, 35.0262, -9.000,
0020202602, -00009, -00009,  160.6, 21.1105, 35.1777, -9.000,
0020202703, -00009, -00009,   25.8, 25.6794, 35.0173, -9.000,
0020202702, -00009, -00009,  158.3, 21.1693, 35.1913, -9.000,
0020202802, -00009, -00009,  159.2, 21.1115, 35.1457, -9.000,
0020202903, -00009, -00009,   31.9, 25.6729, 35.0365, -9.000,
0020202902, -00009, -00009,  160.7, 20.8355, 35.1379, -9.000,
0020203003, -00009, -00009,   32.6, 25.6521, 35.0144, -9.000,
0020203002, -00009, -00009,  160.9, 21.3768, 35.1699, -9.000,
0020203103, -00009, -00009,   31.9, 25.6207, 34.9899, -9.000,
0020203102, -00009, -00009,  159.3, 21.2405, 35.1605, -9.000,
0030200212, 010889, 071857,   35.9, 24.7111, 35.0380, -9.000,
0030200312, 010889, 104034,   19.7, 24.6773, 35.0352, -9.000,
0030200311, 010889, 103714,  118.8, 22.9668, 35.1023, -9.000,
0030200310, 010889, 103432,  186.0, 19.8478, 35.0726, -9.000,
0030200410, 010889, 143637,    4.9, 24.6509, 35.0310, -9.000,
0030200409, 010889, 143356,   22.8, 24.6506, 35.0314, -9.000,
0030200408, 010889, 143232,   43.3, 24.6620, 35.0312, -9.000,
0030200407, 010889, 143045,   72.7, 24.6651, 35.0309, -9.000,
0030200406, 010889, 142841,   97.7, 24.6700, 35.0312, -9.000,
0030200405, 010889, 142715,  122.2, 23.9860, 35.0630, -9.000,
0030200404, 010889, 142546,  146.8, 22.5308, 35.1306, -9.000,
0030200403, 010889, 142417,  176.8, 21.1149, 35.1359, -9.000,
0030200512, 010889, 211812,    3.7, 24.6240, 35.0235, -9.000,
0030200511, 010889, 211535,   17.7, 24.6263, 35.0238, -9.000,
0030200510, 010889, 211402,   37.9, 24.6279, 35.0240, -9.000,
0030200509, 010889, 211226,   57.4, 24.6317, 35.0244, -9.000,
0030200508, 010889, 211052,   78.1, 24.6352, 35.0240, -9.000,
0030200507, 010889, 210907,   97.1, 24.6188, 35.0251, -9.000,
0030200506, 010889, 210722,  117.1, 23.0680, 35.1021, -9.000,
0030200505, 010889, 210357,  139.0, 21.8504, 35.1504, -9.000,
0030200504, 010889, 205841,  147.9, 21.8025, 35.1562, -9.000,
0030200503, 010889, 205707,  161.7, 21.0489, 35.1249, -9.000,
0030200502, 010889, 205539,  181.3, 20.0444, 35.0779, -9.000,
0030200612, 010989, 000336,    2.8, 24.6301, 35.0248, -9.000,
0030200611, 010989, 000035,   18.4, 24.6297, 35.0253, -9.000,
0030200610, 010889, 235717,   38.2, 24.6328, 35.0264, -9.000,
0030200609, 010889, 235445,   56.7, 24.6372, 35.0264, -9.000,
0030200608, 010889, 235244,   79.4, 24.6411, 35.0264, -9.000,
0030200607, 010889, 235041,   96.6, 24.2463, 35.0527, -9.000,
0030200606, 010889, 234853,  117.5, 22.4823, 35.1298, -9.000,
0030200605, 010889, 234611,  139.2, 21.6190, 35.1512, -9.000,
0030200604, 010889, 234437,  151.6, 20.9569, 35.1216, -9.000,
0030200603, 010889, 234239,  163.4, 20.4608, 35.1109, -9.000,
0030200602, 010889, 234017,  186.7, 19.1337, 35.0254, -9.000,
0030200812, 010989, 060005,    3.9, 24.6214, 35.0323, -9.000,
0030200811, 010989, 055741,   19.4, 24.6387, 35.0332, -9.000,
0030200810, 010989, 055635,   41.6, 24.6444, 35.0329, -9.000,
